 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- C- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   7.144E-01  1.309E+00     404 A       138 A       101 A   
  13.00 keV   7.435E-01  1.285E+00     435 A       147 A       108 A   
  14.00 keV   7.716E-01  1.262E+00     467 A       156 A       114 A   
  15.00 keV   7.987E-01  1.239E+00     499 A       165 A       121 A   
  16.00 keV   8.249E-01  1.218E+00     530 A       173 A       127 A   
  17.00 keV   8.503E-01  1.197E+00     562 A       181 A       134 A   
  18.00 keV   8.749E-01  1.177E+00     594 A       190 A       140 A   
  20.00 keV   9.222E-01  1.138E+00     658 A       206 A       153 A   
  22.50 keV   9.782E-01  1.094E+00     738 A       225 A       169 A   
  25.00 keV   1.031E+00  1.054E+00     818 A       244 A       184 A   
  27.50 keV   1.081E+00  1.017E+00     898 A       261 A       199 A   
  30.00 keV   1.130E+00  9.826E-01     978 A       279 A       214 A   
  32.50 keV   1.171E+00  9.510E-01    1058 A       295 A       229 A   
  35.00 keV   1.196E+00  9.216E-01    1138 A       312 A       243 A   
  37.50 keV   1.221E+00  8.944E-01    1218 A       328 A       258 A   
  40.00 keV   1.247E+00  8.689E-01    1299 A       343 A       272 A   
  45.00 keV   1.298E+00  8.229E-01    1461 A       374 A       300 A   
  50.00 keV   1.348E+00  7.822E-01    1624 A       403 A       328 A   
  55.00 keV   1.397E+00  7.460E-01    1786 A       431 A       355 A   
  60.00 keV   1.445E+00  7.136E-01    1949 A       458 A       381 A   
  65.00 keV   1.492E+00  6.843E-01    2110 A       484 A       407 A   
  70.00 keV   1.536E+00  6.577E-01    2271 A       508 A       432 A   
  80.00 keV   1.622E+00  6.111E-01    2590 A       555 A       482 A   
  90.00 keV   1.702E+00  5.716E-01    2906 A       598 A       529 A   
 100.00 keV   1.777E+00  5.376E-01    3217 A       638 A       574 A   
 110.00 keV   1.848E+00  5.080E-01    3524 A       675 A       618 A   
 120.00 keV   1.915E+00  4.820E-01    3827 A       710 A       659 A   
 130.00 keV   1.978E+00  4.588E-01    4126 A       742 A       699 A   
 140.00 keV   2.037E+00  4.381E-01    4421 A       773 A       738 A   
 150.00 keV   2.094E+00  4.195E-01    4712 A       802 A       774 A   
 160.00 keV   2.148E+00  4.025E-01    5000 A       829 A       810 A   
 170.00 keV   2.199E+00  3.871E-01    5284 A       855 A       845 A   
 180.00 keV   2.249E+00  3.730E-01    5565 A       880 A       878 A   
 200.00 keV   2.343E+00  3.480E-01    6118 A       927 A       941 A   
 225.00 keV   2.454E+00  3.216E-01    6792 A       982 A      1015 A   
 250.00 keV   2.561E+00  2.994E-01    7448 A      1031 A      1083 A   
 275.00 keV   2.665E+00  2.804E-01    8086 A      1075 A      1147 A   
 300.00 keV   2.769E+00  2.639E-01    8708 A      1115 A      1206 A   
 325.00 keV   2.872E+00  2.495E-01    9313 A      1152 A      1262 A   
 350.00 keV   2.975E+00  2.367E-01    9903 A      1186 A      1314 A   
 375.00 keV   3.078E+00  2.254E-01    1.05 um     1217 A      1363 A   
 400.00 keV   3.181E+00  2.151E-01    1.10 um     1245 A      1409 A   
 450.00 keV   3.386E+00  1.975E-01    1.21 um     1300 A      1494 A   
 500.00 keV   3.589E+00  1.829E-01    1.31 um     1348 A      1570 A   
 550.00 keV   3.790E+00  1.704E-01    1.41 um     1389 A      1638 A   
 600.00 keV   3.988E+00  1.597E-01    1.50 um     1425 A      1700 A   
 650.00 keV   4.184E+00  1.504E-01    1.59 um     1457 A      1756 A   
 700.00 keV   4.378E+00  1.423E-01    1.68 um     1486 A      1808 A   
 800.00 keV   4.756E+00  1.285E-01    1.84 um     1543 A      1898 A   
 900.00 keV   5.122E+00  1.174E-01    1.99 um     1590 A      1975 A   
   1.00 MeV   5.477E+00  1.083E-01    2.13 um     1629 A      2042 A   
   1.10 MeV   5.821E+00  1.005E-01    2.26 um     1663 A      2101 A   
   1.20 MeV   6.152E+00  9.393E-02    2.39 um     1692 A      2152 A   
   1.30 MeV   6.472E+00  8.821E-02    2.51 um     1717 A      2198 A   
   1.40 MeV   6.779E+00  8.320E-02    2.62 um     1739 A      2240 A   
   1.50 MeV   7.075E+00  7.878E-02    2.73 um     1760 A      2277 A   
   1.60 MeV   7.358E+00  7.484E-02    2.84 um     1778 A      2312 A   
   1.70 MeV   7.629E+00  7.131E-02    2.94 um     1794 A      2343 A   
   1.80 MeV   7.888E+00  6.812E-02    3.03 um     1809 A      2372 A   
   2.00 MeV   8.369E+00  6.259E-02    3.22 um     1845 A      2423 A   
   2.25 MeV   8.906E+00  5.692E-02    3.44 um     1888 A      2479 A   
   2.50 MeV   9.373E+00  5.226E-02    3.65 um     1925 A      2526 A   
   2.75 MeV   9.776E+00  4.835E-02    3.85 um     1958 A      2568 A   
   3.00 MeV   1.012E+01  4.503E-02    4.04 um     1988 A      2605 A   
   3.25 MeV   1.042E+01  4.217E-02    4.23 um     2015 A      2639 A   
   3.50 MeV   1.067E+01  3.967E-02    4.41 um     2040 A      2670 A   
   3.75 MeV   1.088E+01  3.748E-02    4.58 um     2063 A      2698 A   
   4.00 MeV   1.105E+01  3.553E-02    4.76 um     2085 A      2725 A   
   4.50 MeV   1.133E+01  3.222E-02    5.10 um     2153 A      2773 A   
   5.00 MeV   1.151E+01  2.951E-02    5.44 um     2216 A      2816 A   
   5.50 MeV   1.163E+01  2.725E-02    5.77 um     2275 A      2855 A   
   6.00 MeV   1.171E+01  2.533E-02    6.10 um     2331 A      2892 A   
   6.50 MeV   1.175E+01  2.369E-02    6.42 um     2385 A      2926 A   
   7.00 MeV   1.176E+01  2.225E-02    6.75 um     2438 A      2959 A   
   8.00 MeV   1.171E+01  1.988E-02    7.40 um     2621 A      3020 A   
   9.00 MeV   1.160E+01  1.799E-02    8.06 um     2795 A      3076 A   
  10.00 MeV   1.145E+01  1.644E-02    8.73 um     2961 A      3131 A   
  11.00 MeV   1.127E+01  1.516E-02    9.40 um     3122 A      3183 A   
  12.00 MeV   1.107E+01  1.407E-02   10.09 um     3281 A      3233 A   
  13.00 MeV   1.087E+01  1.314E-02   10.79 um     3437 A      3283 A   
  14.00 MeV   1.066E+01  1.233E-02   11.51 um     3592 A      3333 A   
  15.00 MeV   1.045E+01  1.162E-02   12.23 um     3746 A      3382 A   
  16.00 MeV   1.025E+01  1.099E-02   12.98 um     3899 A      3431 A   
  17.00 MeV   1.005E+01  1.043E-02   13.73 um     4053 A      3480 A   
  18.00 MeV   9.855E+00  9.930E-03   14.50 um     4207 A      3530 A   
  20.00 MeV   9.483E+00  9.065E-03   16.09 um     4786 A      3630 A   
  22.50 MeV   9.051E+00  8.184E-03   18.17 um     5633 A      3758 A   
  25.00 MeV   8.656E+00  7.468E-03   20.34 um     6433 A      3891 A   
  27.50 MeV   8.295E+00  6.873E-03   22.61 um     7206 A      4029 A   
  30.00 MeV   7.963E+00  6.371E-03   24.97 um     7961 A      4172 A   
  32.50 MeV   7.682E+00  5.940E-03   27.43 um     8704 A      4320 A   
  35.00 MeV   7.484E+00  5.567E-03   29.96 um     9430 A      4474 A   
  37.50 MeV   7.260E+00  5.241E-03   32.57 um     1.01 um     4632 A   
  40.00 MeV   7.017E+00  4.952E-03   35.26 um     1.09 um     4796 A   
  45.00 MeV   6.575E+00  4.465E-03   40.92 um     1.35 um     5141 A   
  50.00 MeV   6.193E+00  4.070E-03   46.95 um     1.60 um     5510 A   
  55.00 MeV   5.859E+00  3.742E-03   53.33 um     1.84 um     5903 A   
  60.00 MeV   5.563E+00  3.465E-03   60.06 um     2.08 um     6319 A   
  65.00 MeV   5.299E+00  3.228E-03   67.14 um     2.31 um     6759 A   
