 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- C- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.027E-02  1.985E-01       4 A         3 A         2 A   
10.9999 eV    2.126E-02  2.085E-01       4 A         3 A         2 A   
11.9999 eV    2.221E-02  2.180E-01       5 A         3 A         2 A   
12.9999 eV    2.311E-02  2.269E-01       5 A         3 A         2 A   
13.9999 eV    2.398E-02  2.355E-01       5 A         3 A         2 A   
14.9999 eV    2.483E-02  2.437E-01       5 A         3 A         2 A   
15.9999 eV    2.564E-02  2.516E-01       5 A         3 A         2 A   
16.9999 eV    2.643E-02  2.592E-01       5 A         4 A         3 A   
17.9999 eV    2.720E-02  2.665E-01       5 A         4 A         3 A   
19.9999 eV    2.867E-02  2.803E-01       6 A         4 A         3 A   
22.4999 eV    3.041E-02  2.964E-01       6 A         4 A         3 A   
24.9999 eV    3.205E-02  3.113E-01       6 A         4 A         3 A   
27.4999 eV    3.361E-02  3.253E-01       7 A         4 A         3 A   
29.9999 eV    3.511E-02  3.384E-01       7 A         5 A         3 A   
32.4999 eV    3.654E-02  3.508E-01       7 A         5 A         3 A   
34.9999 eV    3.792E-02  3.625E-01       8 A         5 A         3 A   
37.4999 eV    3.925E-02  3.736E-01       8 A         5 A         4 A   
39.9999 eV    4.054E-02  3.842E-01       8 A         5 A         4 A   
44.9999 eV    4.300E-02  4.040E-01       9 A         5 A         4 A   
