 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in  H- C- O

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   3.645E-01  2.133E-01    1250 A       446 A       363 A   
  13.00 keV   3.794E-01  2.046E-01    1358 A       474 A       389 A   
  14.00 keV   3.937E-01  1.968E-01    1465 A       500 A       415 A   
  15.00 keV   4.071E-01  1.896E-01    1572 A       525 A       440 A   
  16.00 keV   4.201E-01  1.831E-01    1678 A       549 A       465 A   
  17.00 keV   4.327E-01  1.770E-01    1784 A       573 A       490 A   
  18.00 keV   4.450E-01  1.714E-01    1890 A       595 A       513 A   
  20.00 keV   4.687E-01  1.613E-01    2098 A       638 A       560 A   
  22.50 keV   4.968E-01  1.505E-01    2356 A       688 A       615 A   
  25.00 keV   5.237E-01  1.413E-01    2609 A       734 A       667 A   
  27.50 keV   5.494E-01  1.333E-01    2858 A       777 A       717 A   
  30.00 keV   5.742E-01  1.262E-01    3102 A       816 A       764 A   
  32.50 keV   5.981E-01  1.200E-01    3342 A       853 A       809 A   
  35.00 keV   6.212E-01  1.144E-01    3578 A       887 A       852 A   
  37.50 keV   6.436E-01  1.094E-01    3809 A       919 A       892 A   
  40.00 keV   6.655E-01  1.049E-01    4036 A       949 A       931 A   
  45.00 keV   7.075E-01  9.702E-02    4479 A      1005 A      1005 A   
  50.00 keV   7.476E-01  9.037E-02    4907 A      1054 A      1072 A   
  55.00 keV   7.860E-01  8.468E-02    5322 A      1098 A      1134 A   
  60.00 keV   8.228E-01  7.974E-02    5723 A      1138 A      1191 A   
  65.00 keV   8.583E-01  7.542E-02    6113 A      1175 A      1245 A   
  70.00 keV   8.924E-01  7.159E-02    6492 A      1208 A      1295 A   
  80.00 keV   9.571E-01  6.510E-02    7221 A      1268 A      1386 A   
  90.00 keV   1.017E+00  5.981E-02    7915 A      1320 A      1467 A   
 100.00 keV   1.074E+00  5.539E-02    8579 A      1365 A      1539 A   
 110.00 keV   1.127E+00  5.165E-02    9216 A      1404 A      1605 A   
 120.00 keV   1.177E+00  4.842E-02    9831 A      1439 A      1665 A   
 130.00 keV   1.225E+00  4.562E-02    1.04 um     1471 A      1720 A   
 140.00 keV   1.271E+00  4.315E-02    1.10 um     1499 A      1770 A   
 150.00 keV   1.316E+00  4.096E-02    1.16 um     1525 A      1818 A   
 160.00 keV   1.360E+00  3.901E-02    1.21 um     1549 A      1861 A   
 170.00 keV   1.404E+00  3.725E-02    1.26 um     1571 A      1902 A   
 180.00 keV   1.447E+00  3.566E-02    1.31 um     1591 A      1940 A   
 200.00 keV   1.531E+00  3.288E-02    1.41 um     1630 A      2010 A   
 225.00 keV   1.635E+00  3.001E-02    1.53 um     1673 A      2087 A   
 250.00 keV   1.737E+00  2.765E-02    1.64 um     1709 A      2153 A   
 275.00 keV   1.836E+00  2.566E-02    1.74 um     1740 A      2213 A   
 300.00 keV   1.932E+00  2.395E-02    1.84 um     1767 A      2265 A   
 325.00 keV   2.024E+00  2.248E-02    1.94 um     1791 A      2312 A   
 350.00 keV   2.114E+00  2.120E-02    2.03 um     1812 A      2355 A   
 375.00 keV   2.199E+00  2.006E-02    2.12 um     1831 A      2394 A   
 400.00 keV   2.282E+00  1.905E-02    2.20 um     1849 A      2430 A   
 450.00 keV   2.436E+00  1.733E-02    2.36 um     1885 A      2493 A   
 500.00 keV   2.577E+00  1.591E-02    2.51 um     1916 A      2547 A   
 550.00 keV   2.704E+00  1.473E-02    2.65 um     1944 A      2595 A   
 600.00 keV   2.818E+00  1.372E-02    2.79 um     1967 A      2638 A   
 650.00 keV   2.921E+00  1.285E-02    2.92 um     1989 A      2676 A   
 700.00 keV   3.013E+00  1.209E-02    3.05 um     2008 A      2711 A   
 800.00 keV   3.168E+00  1.083E-02    3.30 um     2058 A      2773 A   
 900.00 keV   3.290E+00  9.823E-03    3.54 um     2101 A      2826 A   
   1.00 MeV   3.385E+00  8.999E-03    3.76 um     2139 A      2874 A   
   1.10 MeV   3.457E+00  8.312E-03    3.99 um     2175 A      2917 A   
   1.20 MeV   3.510E+00  7.728E-03    4.21 um     2208 A      2956 A   
   1.30 MeV   3.548E+00  7.226E-03    4.43 um     2240 A      2992 A   
   1.40 MeV   3.573E+00  6.790E-03    4.64 um     2270 A      3026 A   
   1.50 MeV   3.588E+00  6.406E-03    4.85 um     2299 A      3058 A   
   1.60 MeV   3.594E+00  6.066E-03    5.07 um     2327 A      3089 A   
   1.70 MeV   3.594E+00  5.763E-03    5.28 um     2355 A      3119 A   
   1.80 MeV   3.587E+00  5.491E-03    5.49 um     2382 A      3147 A   
   2.00 MeV   3.560E+00  5.021E-03    5.92 um     2472 A      3201 A   
   2.25 MeV   3.508E+00  4.541E-03    6.47 um     2605 A      3266 A   
   2.50 MeV   3.444E+00  4.150E-03    7.02 um     2735 A      3328 A   
   2.75 MeV   3.373E+00  3.825E-03    7.58 um     2864 A      3388 A   
   3.00 MeV   3.297E+00  3.550E-03    8.16 um     2991 A      3447 A   
   3.25 MeV   3.219E+00  3.314E-03    8.75 um     3119 A      3506 A   
   3.50 MeV   3.140E+00  3.109E-03    9.35 um     3247 A      3564 A   
   3.75 MeV   3.061E+00  2.929E-03    9.97 um     3377 A      3623 A   
   4.00 MeV   2.984E+00  2.770E-03   10.60 um     3508 A      3682 A   
   4.50 MeV   2.833E+00  2.501E-03   11.93 um     4000 A      3804 A   
   5.00 MeV   2.691E+00  2.283E-03   13.32 um     4482 A      3929 A   
   5.50 MeV   2.560E+00  2.101E-03   14.78 um     4961 A      4060 A   
   6.00 MeV   2.439E+00  1.948E-03   16.32 um     5440 A      4197 A   
   6.50 MeV   2.328E+00  1.816E-03   17.93 um     5923 A      4341 A   
   7.00 MeV   2.226E+00  1.702E-03   19.62 um     6411 A      4491 A   
   8.00 MeV   2.049E+00  1.515E-03   23.22 um     8230 A      4816 A   
   9.00 MeV   1.899E+00  1.366E-03   27.12 um     9948 A      5172 A   
  10.00 MeV   1.773E+00  1.245E-03   31.31 um     1.16 um     5561 A   
  11.00 MeV   1.664E+00  1.145E-03   35.78 um     1.33 um     5981 A   
  12.00 MeV   1.570E+00  1.060E-03   40.54 um     1.49 um     6434 A   
  13.00 MeV   1.487E+00  9.878E-04   45.57 um     1.66 um     6918 A   
  14.00 MeV   1.414E+00  9.252E-04   50.87 um     1.83 um     7432 A   
  15.00 MeV   1.358E+00  8.703E-04   56.42 um     1.99 um     7974 A   
  16.00 MeV   1.302E+00  8.220E-04   62.20 um     2.16 um     8542 A   
  17.00 MeV   1.246E+00  7.789E-04   68.23 um     2.33 um     9137 A   
  18.00 MeV   1.191E+00  7.404E-04   74.54 um     2.50 um     9760 A   
  20.00 MeV   1.097E+00  6.742E-04   88.00 um     3.15 um     1.11 um  
  22.50 MeV   9.997E-01  6.071E-04  106.36 um     4.10 um     1.29 um  
  25.00 MeV   9.200E-01  5.526E-04  126.40 um     5.00 um     1.49 um  
  27.50 MeV   8.532E-01  5.076E-04  148.10 um     5.88 um     1.71 um  
  30.00 MeV   7.963E-01  4.696E-04  171.42 um     6.76 um     1.94 um  
  32.50 MeV   7.472E-01  4.371E-04  196.35 um     7.64 um     2.19 um  
  35.00 MeV   7.043E-01  4.091E-04  222.84 um     8.53 um     2.45 um  
  37.50 MeV   6.665E-01  3.845E-04  250.90 um     9.42 um     2.73 um  
  40.00 MeV   6.330E-01  3.629E-04  280.50 um    10.33 um     3.03 um  
  45.00 MeV   5.759E-01  3.265E-04  344.19 um    13.75 um     3.66 um  
  50.00 MeV   5.290E-01  2.969E-04  413.85 um    16.95 um     4.35 um  
  55.00 MeV   4.898E-01  2.725E-04  489.39 um    20.08 um     5.10 um  
  60.00 MeV   4.565E-01  2.520E-04  570.71 um    23.19 um     5.90 um  
  65.00 MeV   4.278E-01  2.344E-04  657.73 um    26.30 um     6.75 um  
  70.00 MeV   4.027E-01  2.192E-04  750.36 um    29.44 um     7.66 um  
  80.00 MeV   3.612E-01  1.943E-04  952.00 um    41.09 um     9.63 um  
  90.00 MeV   3.281E-01  1.747E-04    1.18 mm    51.94 um    11.80 um  
 100.00 MeV   3.010E-01  1.588E-04    1.42 mm    62.53 um    14.17 um  
 110.00 MeV   2.784E-01  1.456E-04    1.69 mm    73.07 um    16.73 um  
 120.00 MeV   2.593E-01  1.346E-04    1.97 mm    83.67 um    19.48 um  
 130.00 MeV   2.428E-01  1.251E-04    2.28 mm    94.38 um    22.41 um  
 140.00 MeV   2.285E-01  1.170E-04    2.60 mm   105.23 um    25.52 um  
 150.00 MeV   2.159E-01  1.099E-04    2.95 mm   116.23 um    28.82 um  
 160.00 MeV   2.048E-01  1.036E-04    3.32 mm   127.40 um    32.29 um  
 170.00 MeV   1.949E-01  9.802E-05    3.70 mm   138.74 um    35.93 um  
 180.00 MeV   1.860E-01  9.305E-05    4.11 mm   150.24 um    39.74 um  
 200.00 MeV   1.707E-01  8.453E-05    4.97 mm   194.00 um    47.88 um  
 225.00 MeV   1.551E-01  7.591E-05    6.15 mm   256.60 um    58.97 um  
 250.00 MeV   1.423E-01  6.894E-05    7.44 mm   315.73 um    71.06 um  
 275.00 MeV   1.318E-01  6.319E-05    8.85 mm   373.55 um    84.11 um  
 300.00 MeV   1.228E-01  5.835E-05   10.36 mm   430.99 um    98.10 um  
 325.00 MeV   1.152E-01  5.423E-05   11.98 mm   488.52 um   113.00 um  
 350.00 MeV   1.086E-01  5.067E-05   13.70 mm   546.40 um   128.80 um  
 375.00 MeV   1.028E-01  4.757E-05   15.52 mm   604.77 um   145.47 um  
 400.00 MeV   9.763E-02  4.483E-05   17.44 mm   663.72 um   162.98 um  
 450.00 MeV   8.898E-02  4.024E-05   21.56 mm   885.39 um   200.51 um  
 500.00 MeV   8.195E-02  3.653E-05   26.07 mm     1.09 mm   241.21 um  
 550.00 MeV   7.613E-02  3.346E-05   30.93 mm     1.29 mm   284.95 um  
 600.00 MeV   7.122E-02  3.089E-05   36.16 mm     1.49 mm   331.61 um  
 650.00 MeV   6.703E-02  2.870E-05   41.72 mm     1.69 mm   381.07 um  
 700.00 MeV   6.340E-02  2.680E-05   47.62 mm     1.88 mm   433.23 um  
 800.00 MeV   5.744E-02  2.370E-05   60.37 mm     2.61 mm   545.24 um  
 900.00 MeV   5.274E-02  2.126E-05   74.34 mm     3.28 mm   666.87 um  
   1.00 GeV   4.894E-02  1.929E-05   89.48 mm     3.92 mm   797.43 um  
   1.10 GeV   4.580E-02  1.766E-05  105.72 mm     4.55 mm   936.30 um  
   1.20 GeV   4.317E-02  1.630E-05  123.02 mm     5.17 mm     1.08 mm  
   1.30 GeV   4.093E-02  1.514E-05  141.32 mm     5.79 mm     1.24 mm  
   1.40 GeV   3.899E-02  1.413E-05  160.57 mm     6.40 mm     1.40 mm  
   1.50 GeV   3.731E-02  1.326E-05  180.74 mm     7.01 mm     1.56 mm  
   1.60 GeV   3.583E-02  1.249E-05  201.77 mm     7.63 mm     1.74 mm  
   1.70 GeV   3.452E-02  1.181E-05  223.64 mm     8.23 mm     1.91 mm  
   1.80 GeV   3.335E-02  1.120E-05  246.31 mm     8.84 mm     2.10 mm  
   2.00 GeV   3.137E-02  1.016E-05  293.87 mm    11.12 mm     2.48 mm  
   2.25 GeV   2.938E-02  9.107E-06  357.22 mm    14.30 mm     2.98 mm  
   2.50 GeV   2.778E-02  8.259E-06  424.53 mm    17.19 mm     3.50 mm  
   2.75 GeV   2.648E-02  7.559E-06  495.42 mm    19.92 mm     4.04 mm  
   3.00 GeV   2.540E-02  6.972E-06  569.56 mm    22.53 mm     4.60 mm  
