 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in Water_Liquid

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   7.523E-02  4.622E-05  418.26 um    17.61 um    12.39 um  
   6.00 MeV   7.020E-02  4.276E-05  486.93 um    20.30 um    14.32 um  
   6.50 MeV   6.586E-02  3.979E-05  560.32 um    23.01 um    16.37 um  
   7.00 MeV   6.207E-02  3.723E-05  638.38 um    25.74 um    18.54 um  
   8.00 MeV   5.576E-02  3.302E-05  808.08 um    35.59 um    23.24 um  
   9.00 MeV   5.071E-02  2.969E-05  995.82 um    44.82 um    28.41 um  
  10.00 MeV   4.657E-02  2.700E-05    1.20 mm    53.88 um    34.05 um  
  11.00 MeV   4.311E-02  2.478E-05    1.42 mm    62.91 um    40.12 um  
  12.00 MeV   4.016E-02  2.290E-05    1.66 mm    72.03 um    46.64 um  
  13.00 MeV   3.763E-02  2.130E-05    1.92 mm    81.25 um    53.60 um  
  14.00 MeV   3.543E-02  1.992E-05    2.19 mm    90.62 um    60.97 um  
  15.00 MeV   3.349E-02  1.872E-05    2.48 mm   100.15 um    68.77 um  
  16.00 MeV   3.177E-02  1.765E-05    2.79 mm   109.84 um    76.98 um  
  17.00 MeV   3.024E-02  1.671E-05    3.11 mm   119.70 um    85.59 um  
  18.00 MeV   2.886E-02  1.586E-05    3.45 mm   129.74 um    94.61 um  
  20.00 MeV   2.648E-02  1.442E-05    4.17 mm   166.70 um   113.83 um  
  22.50 MeV   2.406E-02  1.295E-05    5.16 mm   219.56 um   140.04 um  
  25.00 MeV   2.207E-02  1.177E-05    6.24 mm   269.81 um   168.61 um  
  27.50 MeV   2.043E-02  1.079E-05    7.42 mm   319.17 um   199.47 um  
  30.00 MeV   1.903E-02  9.967E-06    8.69 mm   368.41 um   232.57 um  
  32.50 MeV   1.783E-02  9.266E-06   10.04 mm   417.91 um   267.86 um  
  35.00 MeV   1.679E-02  8.660E-06   11.48 mm   467.90 um   305.30 um  
  37.50 MeV   1.588E-02  8.131E-06   13.01 mm   518.49 um   344.84 um  
  40.00 MeV   1.508E-02  7.665E-06   14.62 mm   569.75 um   386.43 um  
  45.00 MeV   1.372E-02  6.883E-06   18.10 mm   758.25 um   475.66 um  
  50.00 MeV   1.261E-02  6.250E-06   21.89 mm   935.57 um   572.69 um  
  55.00 MeV   1.169E-02  5.727E-06   26.01 mm     1.11 mm   677.23 um  
  60.00 MeV   1.091E-02  5.288E-06   30.43 mm     1.28 mm   789.05 um  
  65.00 MeV   1.025E-02  4.914E-06   35.15 mm     1.45 mm   907.89 um  
  70.00 MeV   9.674E-03  4.591E-06   40.16 mm     1.62 mm     1.03 mm  
  80.00 MeV   8.727E-03  4.061E-06   51.03 mm     2.25 mm     1.30 mm  
  90.00 MeV   7.978E-03  3.644E-06   63.00 mm     2.83 mm     1.60 mm  
 100.00 MeV   7.372E-03  3.307E-06   76.03 mm     3.40 mm     1.92 mm  
 110.00 MeV   6.869E-03  3.030E-06   90.06 mm     3.96 mm     2.26 mm  
 120.00 MeV   6.447E-03  2.796E-06  105.07 mm     4.51 mm     2.62 mm  
 130.00 MeV   6.086E-03  2.597E-06  121.01 mm     5.07 mm     3.01 mm  
 140.00 MeV   5.775E-03  2.426E-06  137.86 mm     5.62 mm     3.41 mm  
 150.00 MeV   5.503E-03  2.276E-06  155.58 mm     6.18 mm     3.83 mm  
 160.00 MeV   5.263E-03  2.145E-06  174.13 mm     6.74 mm     4.27 mm  
 170.00 MeV   5.051E-03  2.028E-06  193.50 mm     7.31 mm     4.72 mm  
 180.00 MeV   4.862E-03  1.923E-06  213.66 mm     7.88 mm     5.19 mm  
 200.00 MeV   4.538E-03  1.745E-06  256.19 mm     9.97 mm     6.17 mm  
 225.00 MeV   4.212E-03  1.565E-06  313.32 mm    12.90 mm     7.47 mm  
 250.00 MeV   3.949E-03  1.419E-06  374.55 mm    15.61 mm     8.85 mm  
 275.00 MeV   3.734E-03  1.300E-06  439.59 mm    18.19 mm    10.29 mm  
 300.00 MeV   3.554E-03  1.199E-06  508.14 mm    20.69 mm    11.79 mm  
 325.00 MeV   3.402E-03  1.113E-06  579.97 mm    23.13 mm    13.34 mm  
 350.00 MeV   3.271E-03  1.039E-06  654.83 mm    25.52 mm    14.93 mm  
 375.00 MeV   3.159E-03  9.748E-07  732.52 mm    27.88 mm    16.57 mm  
 400.00 MeV   3.060E-03  9.181E-07  812.85 mm    30.20 mm    18.24 mm  
 450.00 MeV   2.897E-03  8.230E-07  980.64 mm    38.57 mm    21.67 mm  
 500.00 MeV   2.768E-03  7.462E-07    1.16 m     46.10 mm    25.20 mm  
 550.00 MeV   2.663E-03  6.829E-07    1.34 m     53.10 mm    28.81 mm  
 600.00 MeV   2.578E-03  6.298E-07    1.53 m     59.72 mm    32.46 mm  
 650.00 MeV   2.507E-03  5.846E-07    1.73 m     66.04 mm    36.15 mm  
 700.00 MeV   2.447E-03  5.457E-07    1.93 m     72.11 mm    39.86 mm  
 800.00 MeV   2.352E-03  4.818E-07    2.35 m     93.41 mm    47.32 mm  
 900.00 MeV   2.283E-03  4.317E-07    2.78 m    111.83 mm    54.77 mm  
   1.00 GeV   2.230E-03  3.913E-07    3.22 m    128.46 mm    62.17 mm  
   1.10 GeV   2.190E-03  3.580E-07    3.67 m    143.77 mm    69.47 mm  
   1.20 GeV   2.158E-03  3.301E-07    4.13 m    158.05 mm    76.67 mm  
   1.30 GeV   2.134E-03  3.063E-07    4.60 m    171.49 mm    83.75 mm  
   1.40 GeV   2.115E-03  2.858E-07    5.07 m    184.21 mm    90.71 mm  
   1.50 GeV   2.100E-03  2.680E-07    5.54 m    196.30 mm    97.53 mm  
   1.60 GeV   2.088E-03  2.523E-07    6.02 m    207.84 mm   104.22 mm  
   1.70 GeV   2.079E-03  2.384E-07    6.50 m    218.88 mm   110.78 mm  
   1.80 GeV   2.073E-03  2.260E-07    6.98 m    229.47 mm   117.20 mm  
   2.00 GeV   2.064E-03  2.048E-07    7.95 m    267.53 mm   129.67 mm  
   2.25 GeV   2.060E-03  1.834E-07    9.16 m    318.19 mm   144.56 mm  
   2.50 GeV   2.061E-03  1.662E-07   10.37 m    361.90 mm   158.75 mm  
   2.75 GeV   2.065E-03  1.520E-07   11.58 m    400.80 mm   172.27 mm  
