 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- C- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   4.237E-01  7.303E-02    1704 A       552 A       509 A   
  13.00 keV   4.413E-01  6.957E-02    1833 A       576 A       536 A   
  14.00 keV   4.582E-01  6.646E-02    1959 A       598 A       563 A   
  15.00 keV   4.746E-01  6.366E-02    2083 A       619 A       589 A   
  16.00 keV   4.904E-01  6.112E-02    2205 A       639 A       613 A   
  17.00 keV   5.057E-01  5.880E-02    2325 A       657 A       636 A   
  18.00 keV   5.206E-01  5.668E-02    2443 A       675 A       658 A   
  20.00 keV   5.492E-01  5.291E-02    2673 A       707 A       700 A   
  22.50 keV   5.829E-01  4.894E-02    2951 A       743 A       748 A   
  25.00 keV   6.145E-01  4.559E-02    3219 A       775 A       792 A   
  27.50 keV   6.443E-01  4.273E-02    3478 A       803 A       832 A   
  30.00 keV   6.725E-01  4.024E-02    3730 A       829 A       869 A   
  32.50 keV   6.992E-01  3.806E-02    3974 A       852 A       904 A   
  35.00 keV   7.245E-01  3.613E-02    4212 A       873 A       936 A   
  37.50 keV   7.486E-01  3.441E-02    4444 A       893 A       966 A   
  40.00 keV   7.715E-01  3.286E-02    4670 A       911 A       995 A   
  45.00 keV   8.142E-01  3.019E-02    5109 A       944 A      1047 A   
  50.00 keV   8.535E-01  2.796E-02    5531 A       974 A      1095 A   
  55.00 keV   8.901E-01  2.608E-02    5938 A      1000 A      1138 A   
  60.00 keV   9.246E-01  2.445E-02    6331 A      1023 A      1177 A   
  65.00 keV   9.576E-01  2.304E-02    6713 A      1044 A      1213 A   
  70.00 keV   9.893E-01  2.179E-02    7085 A      1063 A      1247 A   
  80.00 keV   1.050E+00  1.970E-02    7799 A      1098 A      1308 A   
  90.00 keV   1.108E+00  1.801E-02    8478 A      1129 A      1361 A   
 100.00 keV   1.162E+00  1.661E-02    9128 A      1155 A      1409 A   
 110.00 keV   1.214E+00  1.543E-02    9751 A      1178 A      1452 A   
 120.00 keV   1.264E+00  1.442E-02    1.04 um     1199 A      1491 A   
 130.00 keV   1.311E+00  1.355E-02    1.09 um     1217 A      1527 A   
 140.00 keV   1.356E+00  1.278E-02    1.15 um     1234 A      1559 A   
 150.00 keV   1.399E+00  1.210E-02    1.20 um     1249 A      1589 A   
 160.00 keV   1.439E+00  1.150E-02    1.26 um     1263 A      1618 A   
 170.00 keV   1.478E+00  1.096E-02    1.31 um     1276 A      1644 A   
 180.00 keV   1.515E+00  1.047E-02    1.36 um     1287 A      1668 A   
 200.00 keV   1.583E+00  9.627E-03    1.46 um     1312 A      1713 A   
 225.00 keV   1.659E+00  8.757E-03    1.57 um     1342 A      1763 A   
 250.00 keV   1.727E+00  8.042E-03    1.68 um     1367 A      1807 A   
 275.00 keV   1.787E+00  7.444E-03    1.79 um     1390 A      1847 A   
 300.00 keV   1.839E+00  6.934E-03    1.90 um     1411 A      1883 A   
 325.00 keV   1.885E+00  6.495E-03    2.00 um     1429 A      1917 A   
