 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 05, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- C- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.3000E+00 g/cm3 = 1.0561E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    2.184E-02  2.102E-01       4 A         3 A         2 A   
10.9999 eV    2.291E-02  2.210E-01       4 A         3 A         2 A   
11.9999 eV    2.392E-02  2.313E-01       5 A         3 A         2 A   
12.9999 eV    2.490E-02  2.411E-01       5 A         3 A         2 A   
13.9999 eV    2.584E-02  2.505E-01       5 A         3 A         2 A   
14.9999 eV    2.675E-02  2.595E-01       5 A         3 A         2 A   
15.9999 eV    2.763E-02  2.682E-01       5 A         3 A         2 A   
16.9999 eV    2.848E-02  2.765E-01       5 A         3 A         2 A   
17.9999 eV    2.930E-02  2.845E-01       6 A         3 A         2 A   
19.9999 eV    3.089E-02  2.998E-01       6 A         4 A         3 A   
22.4999 eV    3.276E-02  3.176E-01       6 A         4 A         3 A   
24.9999 eV    3.453E-02  3.342E-01       6 A         4 A         3 A   
27.4999 eV    3.622E-02  3.498E-01       7 A         4 A         3 A   
29.9999 eV    3.783E-02  3.644E-01       7 A         4 A         3 A   
32.4999 eV    3.937E-02  3.783E-01       7 A         4 A         3 A   
34.9999 eV    4.086E-02  3.914E-01       8 A         5 A         3 A   
37.4999 eV    4.229E-02  4.040E-01       8 A         5 A         3 A   
39.9999 eV    4.368E-02  4.159E-01       8 A         5 A         4 A   
