 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
49.9999 eV    3.344E-02  4.421E-01      12 A         7 A         5 A   
54.9999 eV    3.507E-02  4.598E-01      12 A         8 A         6 A   
59.9999 eV    3.663E-02  4.764E-01      13 A         8 A         6 A   
64.9999 eV    3.812E-02  4.920E-01      14 A         8 A         6 A   
69.9999 eV    3.956E-02  5.066E-01      14 A         9 A         6 A   
79.9999 eV    4.230E-02  5.334E-01      15 A         9 A         7 A   
89.9999 eV    4.486E-02  5.576E-01      16 A        10 A         7 A   
99.9999 eV    4.729E-02  5.796E-01      17 A        10 A         7 A   
    110 eV    4.960E-02  5.998E-01      18 A        11 A         8 A   
    120 eV    5.180E-02  6.184E-01      19 A        11 A         8 A   
    130 eV    5.392E-02  6.356E-01      20 A        12 A         8 A   
139.999 eV    5.595E-02  6.517E-01      21 A        12 A         9 A   
149.999 eV    5.792E-02  6.668E-01      22 A        13 A         9 A   
159.999 eV    5.981E-02  6.809E-01      23 A        13 A         9 A   
169.999 eV    6.166E-02  6.942E-01      24 A        13 A        10 A   
179.999 eV    6.344E-02  7.067E-01      24 A        14 A        10 A   
199.999 eV    6.688E-02  7.299E-01      26 A        15 A        11 A   
224.999 eV    7.093E-02  7.558E-01      28 A        16 A        11 A   
249.999 eV    7.477E-02  7.788E-01      30 A        17 A        12 A   
