 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   5.582E-01  1.120E+00     597 A       214 A       154 A   
  13.00 keV   5.810E-01  1.096E+00     646 A       228 A       165 A   
  14.00 keV   6.029E-01  1.074E+00     696 A       243 A       175 A   
  15.00 keV   6.241E-01  1.052E+00     745 A       257 A       186 A   
  16.00 keV   6.445E-01  1.031E+00     795 A       271 A       197 A   
  17.00 keV   6.644E-01  1.011E+00     844 A       285 A       207 A   
  18.00 keV   6.836E-01  9.923E-01     894 A       298 A       218 A   
  20.00 keV   7.206E-01  9.564E-01     995 A       325 A       239 A   
  22.50 keV   7.644E-01  9.156E-01    1121 A       357 A       265 A   
  25.00 keV   8.057E-01  8.786E-01    1248 A       388 A       291 A   
  27.50 keV   8.451E-01  8.449E-01    1375 A       418 A       316 A   
  30.00 keV   8.888E-01  8.141E-01    1503 A       447 A       342 A   
  32.50 keV   9.304E-01  7.859E-01    1629 A       475 A       367 A   
  35.00 keV   9.681E-01  7.599E-01    1756 A       502 A       391 A   
  37.50 keV   1.002E+00  7.358E-01    1882 A       528 A       416 A   
  40.00 keV   1.033E+00  7.135E-01    2008 A       554 A       440 A   
  45.00 keV   1.087E+00  6.733E-01    2260 A       603 A       487 A   
  50.00 keV   1.132E+00  6.381E-01    2511 A       649 A       533 A   
  55.00 keV   1.171E+00  6.070E-01    2763 A       694 A       577 A   
  60.00 keV   1.206E+00  5.792E-01    3015 A       737 A       621 A   
  65.00 keV   1.238E+00  5.543E-01    3268 A       778 A       664 A   
