Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,1.45017,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.52091,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.58903,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.65453,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.7161,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.77636,0.0006,0.0004,0.0003,7Li,CR39,0.0
2e-05,1.83531,0.0006,0.0004,0.0003,7Li,CR39,0.0
2e-05,1.89164,0.0006,0.0005,0.0003,7Li,CR39,0.0
2e-05,1.94666,0.0006,0.0005,0.0003,7Li,CR39,0.0
2e-05,2.05146,0.0006,0.0005,0.0004,7Li,CR39,0.0
2e-05,2.17591,0.0007,0.0005,0.0004,7Li,CR39,0.0
2e-05,2.29381,0.0007,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.40516,0.0008,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.51258,0.0008,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.61476,0.0009,0.0006,0.0005,7Li,CR39,0.0
3e-05,2.71432,0.0009,0.0007,0.0005,7Li,CR39,0.0
4e-05,2.80864,0.0009,0.0007,0.0005,7Li,CR39,1e-05
4e-05,2.90165,0.001,0.0007,0.0005,7Li,CR39,1e-05
4e-05,3.07719,0.001,0.0008,0.0005,7Li,CR39,1e-05
5e-05,3.24356,0.0011,0.0008,0.0006,7Li,CR39,1e-05
5e-05,3.40207,0.0012,0.0008,0.0006,7Li,CR39,1e-05
6e-05,3.55272,0.0012,0.0009,0.0006,7Li,CR39,1e-05
6e-05,3.69813,0.0013,0.0009,0.0007,7Li,CR39,1e-05
7e-05,3.8383,0.0014,0.001,0.0007,7Li,CR39,1e-05
8e-05,4.10292,0.0015,0.001,0.0007,7Li,CR39,1e-05
9e-05,4.35182,0.0016,0.0011,0.0008,7Li,CR39,1e-05
0.0001,4.58762,0.0017,0.0012,0.0008,7Li,CR39,1e-05
0.00011,4.81163,0.0018,0.0012,0.0009,7Li,CR39,2e-05
0.00012,5.02516,0.0019,0.0013,0.0009,7Li,CR39,2e-05
0.00013,5.23083,0.002,0.0014,0.001,7Li,CR39,2e-05
0.00014,5.42733,0.0021,0.0014,0.001,7Li,CR39,2e-05
0.00015,5.61859,0.0023,0.0015,0.0011,7Li,CR39,2e-05
0.00016,5.80199,0.0024,0.0016,0.0011,7Li,CR39,2e-05
0.00017,5.98146,0.0025,0.0016,0.0012,7Li,CR39,2e-05
0.00018,6.15438,0.0026,0.0017,0.0012,7Li,CR39,3e-05
0.0002,6.48712,0.0028,0.0018,0.0013,7Li,CR39,3e-05
0.00022,6.88143,0.003,0.0019,0.0014,7Li,CR39,3e-05
0.00025,7.25347,0.0033,0.0021,0.0015,7Li,CR39,4e-05
0.00027,7.60717,0.0035,0.0022,0.0016,7Li,CR39,4e-05
0.0003,7.94515,0.0037,0.0023,0.0017,7Li,CR39,4e-05
0.00032,8.27003,0.004,0.0025,0.0018,7Li,CR39,5e-05
0.00035,8.58181,0.0042,0.0026,0.0019,7Li,CR39,5e-05
0.00037,8.88311,0.0044,0.0027,0.002,7Li,CR39,5e-05
0.0004,9.17524,0.0047,0.0028,0.0021,7Li,CR39,6e-05
0.00045,9.73068,0.0051,0.0031,0.0022,7Li,CR39,6e-05
0.0005,10.2573,0.0056,0.0033,0.0024,7Li,CR39,7e-05
0.00055,10.75772,0.0061,0.0036,0.0026,7Li,CR39,8e-05
0.0006,11.23718,0.0065,0.0038,0.0028,7Li,CR39,9e-05
0.00065,11.69568,0.007,0.004,0.0029,7Li,CR39,9e-05
0.0007,12.13715,0.0074,0.0043,0.0031,7Li,CR39,0.0001
0.0008,12.97555,0.0083,0.0047,0.0034,7Li,CR39,0.00012
0.0009,13.7681,0.0092,0.0052,0.0038,7Li,CR39,0.00013
0.001,14.5017,0.0101,0.0056,0.0041,7Li,CR39,0.00014
