Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.018,127.7512,0.0646,0.0204,0.0154,14N,CR39,0.00129
0.02,134.668,0.0715,0.022,0.0167,14N,CR39,0.00143
0.0225,142.79,0.08,0.0239,0.0184,14N,CR39,0.00161
0.025,150.519,0.0885,0.0258,0.02,14N,CR39,0.00178
0.0275,157.855,0.097,0.0275,0.0216,14N,CR39,0.00196
0.03,163.75,0.1054,0.0292,0.0232,14N,CR39,0.00214
0.0325,169.514,0.1138,0.0308,0.0247,14N,CR39,0.00232
0.035,175.278,0.1221,0.0324,0.0262,14N,CR39,0.0025
0.0375,180.911,0.1304,0.0339,0.0277,14N,CR39,0.00268
0.04,186.282,0.1387,0.0353,0.0291,14N,CR39,0.00286
0.045,196.369,0.155,0.0381,0.0319,14N,CR39,0.00321
0.05,205.408,0.1712,0.0406,0.0345,14N,CR39,0.00357
0.055,213.399,0.1872,0.043,0.0371,14N,CR39,0.00393
0.06,220.604,0.203,0.0453,0.0396,14N,CR39,0.00428
0.065,227.154,0.2188,0.0474,0.042,14N,CR39,0.00464
0.07,233.049,0.2344,0.0495,0.0443,14N,CR39,0.005
0.08,243.66,0.2653,0.0534,0.0487,14N,CR39,0.00571
0.09,252.83,0.2959,0.057,0.0529,14N,CR39,0.00643
0.1,261.214,0.3261,0.0603,0.0569,14N,CR39,0.00714
0.11,268.943,0.3559,0.0634,0.0607,14N,CR39,0.00785
0.12,276.41,0.3854,0.0663,0.0644,14N,CR39,0.00857
0.13,283.484,0.4146,0.069,0.0679,14N,CR39,0.00928
0.14,290.296,0.4435,0.0716,0.0712,14N,CR39,0.01
0.15,296.977,0.472,0.074,0.0744,14N,CR39,0.01071
0.16,303.658,0.5001,0.0763,0.0775,14N,CR39,0.01142
0.17,310.208,0.5279,0.0784,0.0805,14N,CR39,0.01214
0.18,316.758,0.5553,0.0805,0.0834,14N,CR39,0.01285
0.2,329.727,0.6092,0.0845,0.0889,14N,CR39,0.01428
0.225,346.102,0.6744,0.089,0.0952,14N,CR39,0.01606
0.25,362.87,0.7375,0.093,0.1011,14N,CR39,0.01785
0.275,379.638,0.7983,0.0966,0.1065,14N,CR39,0.01963
0.3,396.668,0.8571,0.0998,0.1114,14N,CR39,0.02142
0.325,413.698,0.9138,0.1027,0.116,14N,CR39,0.0232
0.35,430.597,0.9687,0.1053,0.1203,14N,CR39,0.02499
0.375,447.365,1.02,0.1077,0.1243,14N,CR39,0.02677
0.4,463.871,1.07,0.1098,0.128,14N,CR39,0.02856
0.45,496.228,1.17,0.114,0.1348,14N,CR39,0.03213
0.5,527.406,1.26,0.1176,0.1407,14N,CR39,0.0357
0.55,557.274,1.35,0.1207,0.146,14N,CR39,0.03927
0.6,585.963,1.44,0.1234,0.1508,14N,CR39,0.04284
0.65,613.342,1.52,0.1258,0.1551,14N,CR39,0.04641
0.7,639.673,1.59,0.128,0.159,14N,CR39,0.04998
0.8,689.322,1.74,0.1325,0.1659,14N,CR39,0.05712
0.9,735.172,1.88,0.1362,0.1718,14N,CR39,0.06425
1.0,777.878,2.01,0.1393,0.177,14N,CR39,0.07139
1.1,817.571,2.13,0.1421,0.1815,14N,CR39,0.07853
1.2,854.775,2.25,0.1445,0.1856,14N,CR39,0.08567
1.3,889.621,2.36,0.1467,0.1892,14N,CR39,0.09281
1.4,922.24,2.47,0.1486,0.1925,14N,CR39,0.09995
1.5,952.894,2.57,0.1504,0.1955,14N,CR39,0.10709
1.6,981.583,2.68,0.152,0.1983,14N,CR39,0.11423
1.7,1008.438,2.77,0.1535,0.2009,14N,CR39,0.12137
1.8,1033.721,2.87,0.1549,0.2033,14N,CR39,0.12851
2.0,1079.178,3.06,0.1585,0.2077,14N,CR39,0.14279
2.25,1128.041,3.28,0.1631,0.2125,14N,CR39,0.16064
2.5,1168.782,3.5,0.1672,0.2167,14N,CR39,0.17849
2.75,1202.711,3.71,0.1709,0.2205,14N,CR39,0.19633
3.0,1230.614,3.91,0.1743,0.2239,14N,CR39,0.21418
3.25,1253.539,4.11,0.1775,0.2271,14N,CR39,0.23203
3.5,1272.141,4.31,0.1805,0.23,14N,CR39,0.24988
3.75,1287.075,4.51,0.1833,0.2328,14N,CR39,0.26773
4.0,1299.127,4.7,0.186,0.2354,14N,CR39,0.28558
4.5,1315.24,5.08,0.1949,0.2402,14N,CR39,0.32127
5.0,1325.72,5.46,0.2032,0.2446,14N,CR39,0.35697
5.5,1328.34,5.83,0.2111,0.2488,14N,CR39,0.39267
6.0,1328.34,6.21,0.2186,0.2527,14N,CR39,0.42837
6.5,1325.72,6.58,0.2259,0.2564,14N,CR39,0.46406
7.0,1319.17,6.96,0.2329,0.26,14N,CR39,0.49976
8.0,1302.533,7.72,0.2581,0.2668,14N,CR39,0.57116
9.0,1280.525,8.49,0.2816,0.2734,14N,CR39,0.64255
10.0,1255.635,9.28,0.304,0.2797,14N,CR39,0.71394
11.0,1229.042,10.09,0.3258,0.2859,14N,CR39,0.78534
12.0,1201.663,10.91,0.347,0.2921,14N,CR39,0.85673
13.0,1174.284,11.75,0.3679,0.2982,14N,CR39,0.92813
14.0,1147.036,12.61,0.3886,0.3044,14N,CR39,0.99952
15.0,1120.312,13.49,0.4091,0.3106,14N,CR39,1.07092
16.0,1094.243,14.39,0.4296,0.3168,14N,CR39,1.14231
17.0,1069.091,15.32,0.45,0.3231,14N,CR39,1.2137
18.0,1044.594,16.26,0.4705,0.3295,14N,CR39,1.2851
20.0,998.351,18.22,0.5477,0.3427,14N,CR39,1.42789
22.5,945.427,20.79,0.6596,0.3597,14N,CR39,1.60637
25.0,897.35,23.5,0.7651,0.3776,14N,CR39,1.78486
27.5,853.727,26.36,0.8671,0.3964,14N,CR39,1.96335
30.0,823.597,29.34,0.9661,0.4161,14N,CR39,2.14183
32.5,793.205,32.43,1.06,0.4365,14N,CR39,2.32032
35.0,760.193,35.65,1.16,0.4577,14N,CR39,2.4988
37.5,729.277,39.0,1.25,0.4798,14N,CR39,2.67729
40.0,701.112,42.5,1.35,0.5029,14N,CR39,2.85578
45.0,651.332,49.89,1.71,0.552,14N,CR39,3.21275
50.0,608.888,57.83,2.05,0.6048,14N,CR39,3.56972
55.0,572.208,66.3,2.38,0.6613,14N,CR39,3.92669
60.0,539.982,75.29,2.7,0.7214,14N,CR39,4.28366
65.0,511.555,84.8,3.02,0.7851,14N,CR39,4.64064
70.0,486.141,94.82,3.34,0.8522,14N,CR39,4.99761
80.0,442.78,116.37,4.53,0.9968,14N,CR39,5.71155
90.0,406.886,139.93,5.63,1.15,14N,CR39,6.4255
100.0,376.756,165.46,6.7,1.33,14N,CR39,7.13944
110.0,350.818,192.96,7.75,1.51,14N,CR39,7.85338
120.0,328.417,222.42,8.81,1.7,14N,CR39,8.56733
130.0,308.767,253.82,9.88,1.91,14N,CR39,9.28127
140.0,291.344,287.16,10.96,2.13,14N,CR39,9.99522
150.0,275.755,322.43,12.05,2.36,14N,CR39,10.70916
160.0,261.869,359.64,13.16,2.61,14N,CR39,11.4231
170.0,249.162,398.78,14.29,2.86,14N,CR39,12.13705
180.0,237.765,439.86,15.44,3.13,14N,CR39,12.85099
200.0,217.853,527.74,19.85,3.71,14N,CR39,14.27888
225.0,197.155,648.39,26.21,4.49,14N,CR39,16.06374
250.0,180.125,781.04,32.27,5.35,14N,CR39,17.8486
275.0,165.977,925.6,38.24,6.28,14N,CR39,19.63346
300.0,154.056,1080.0,44.21,7.29,14N,CR39,21.41832
325.0,143.969,1250.0,50.22,8.37,14N,CR39,23.20318
350.0,135.323,1430.0,56.29,9.52,14N,CR39,24.98804
375.0,128.0001,1620.0,62.42,10.74,14N,CR39,26.7729
400.0,121.6728,1820.0,68.6,12.02,14N,CR39,28.55776
450.0,110.8129,2250.0,91.84,14.78,14N,CR39,32.12748
500.0,101.6691,2720.0,113.57,17.78,14N,CR39,35.6972
550.0,94.058,3230.0,134.75,21.02,14N,CR39,39.26692
600.0,87.639,3780.0,155.76,24.5,14N,CR39,42.83664
650.0,82.137,4370.0,176.79,28.22,14N,CR39,46.40636
