Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.018,77.5127,0.2999,0.0575,0.0649,1H,CR39,0.01786
0.02,80.8794,0.3237,0.0589,0.0673,1H,CR39,0.01984
0.0225,84.6784,0.3523,0.0605,0.07,1H,CR39,0.02232
0.025,88.0451,0.3799,0.0618,0.0725,1H,CR39,0.0248
0.0275,91.0581,0.4066,0.0631,0.0748,1H,CR39,0.02728
0.03,93.7567,0.4326,0.0642,0.0769,1H,CR39,0.02976
0.0325,96.1802,0.458,0.0652,0.0788,1H,CR39,0.03225
0.035,98.3548,0.4829,0.0661,0.0806,1H,CR39,0.03473
0.0375,100.2936,0.5073,0.0669,0.0823,1H,CR39,0.03721
0.04,102.0359,0.5313,0.0677,0.0839,1H,CR39,0.03969
0.045,104.9703,0.5783,0.0694,0.0869,1H,CR39,0.04465
0.05,107.2628,0.6244,0.0708,0.0896,1H,CR39,0.04961
0.055,109.0182,0.6697,0.0721,0.0921,1H,CR39,0.05457
0.06,110.2889,0.7144,0.0734,0.0945,1H,CR39,0.05953
0.065,111.1535,0.7588,0.0745,0.0968,1H,CR39,0.06449
0.07,111.6513,0.803,0.0756,0.0989,1H,CR39,0.06945
0.08,111.7561,0.8912,0.0781,0.103,1H,CR39,0.07937
0.09,110.9308,0.9799,0.0805,0.1068,1H,CR39,0.08929
0.1,109.4374,1.07,0.0828,0.1105,1H,CR39,0.09922
0.11,107.4855,1.16,0.0851,0.1141,1H,CR39,0.10914
0.12,105.2323,1.25,0.0873,0.1176,1H,CR39,0.11906
0.13,102.8219,1.35,0.0895,0.1211,1H,CR39,0.12898
0.14,100.3067,1.45,0.0918,0.1246,1H,CR39,0.1389
0.15,97.7915,1.55,0.094,0.1282,1H,CR39,0.14882
0.16,95.2763,1.65,0.0963,0.1317,1H,CR39,0.15875
0.17,92.8266,1.76,0.0987,0.1353,1H,CR39,0.16867
0.18,90.4424,1.86,0.101,0.139,1H,CR39,0.17859
0.2,85.936,2.09,0.1083,0.1465,1H,CR39,0.19843
0.225,80.827,2.39,0.1191,0.1562,1H,CR39,0.22324
0.25,76.2813,2.7,0.1301,0.1665,1H,CR39,0.24804
0.275,72.2465,3.04,0.1414,0.1773,1H,CR39,0.27284
0.3,68.6571,3.39,0.153,0.1887,1H,CR39,0.29765
0.325,65.4476,3.76,0.1649,0.2006,1H,CR39,0.32245
0.35,62.5787,4.15,0.177,0.2131,1H,CR39,0.34726
0.375,59.9849,4.56,0.1894,0.2262,1H,CR39,0.37206
0.4,57.64,4.98,0.202,0.2398,1H,CR39,0.39686
0.45,53.5659,5.88,0.2447,0.2687,1H,CR39,0.44647
0.5,50.1206,6.84,0.2863,0.2996,1H,CR39,0.49608
0.55,47.1731,7.87,0.3274,0.3326,1H,CR39,0.54569
0.6,44.6317,8.95,0.3684,0.3675,1H,CR39,0.5953
0.65,42.4047,10.1,0.4093,0.4042,1H,CR39,0.64491
