Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,1.68204,0.0005,0.0004,0.0003,4He,CR39,0.0
1e-05,1.76457,0.0005,0.0004,0.0003,4He,CR39,0.0
1e-05,1.84317,0.0005,0.0005,0.0003,4He,CR39,0.0
1e-05,1.91784,0.0005,0.0005,0.0003,4He,CR39,0.0
1e-05,1.98989,0.0006,0.0005,0.0004,4He,CR39,0.0
1e-05,2.06063,0.0006,0.0005,0.0004,4He,CR39,0.0
2e-05,2.12744,0.0006,0.0005,0.0004,4He,CR39,0.0
2e-05,2.19294,0.0006,0.0006,0.0004,4He,CR39,0.0
2e-05,2.25713,0.0007,0.0006,0.0004,4He,CR39,0.0
2e-05,2.37896,0.0007,0.0006,0.0004,4He,CR39,0.0
2e-05,2.52306,0.0008,0.0006,0.0005,4He,CR39,0.0
2e-05,2.6593,0.0008,0.0007,0.0005,4He,CR39,0.0
3e-05,2.78899,0.0009,0.0007,0.0005,4He,CR39,1e-05
3e-05,2.91344,0.0009,0.0008,0.0006,4He,CR39,1e-05
3e-05,3.03265,0.0009,0.0008,0.0006,4He,CR39,1e-05
3e-05,3.14662,0.001,0.0008,0.0006,4He,CR39,1e-05
4e-05,3.25666,0.001,0.0009,0.0006,4He,CR39,1e-05
4e-05,3.36408,0.0011,0.0009,0.0006,4He,CR39,1e-05
4e-05,3.56844,0.0012,0.001,0.0007,4He,CR39,1e-05
5e-05,3.76101,0.0013,0.001,0.0007,4He,CR39,1e-05
5e-05,3.94441,0.0013,0.0011,0.0008,4He,CR39,1e-05
6e-05,4.11995,0.0014,0.0011,0.0008,4He,CR39,1e-05
6e-05,4.28894,0.0015,0.0012,0.0009,4He,CR39,1e-05
7e-05,4.45007,0.0016,0.0013,0.0009,4He,CR39,2e-05
8e-05,4.75792,0.0017,0.0014,0.001,4He,CR39,2e-05
9e-05,5.04612,0.0019,0.0015,0.0011,4He,CR39,2e-05
0.0001,5.3186,0.002,0.0016,0.0012,4He,CR39,2e-05
0.00011,5.57929,0.0022,0.0017,0.0012,4He,CR39,3e-05
0.00012,5.82688,0.0023,0.0018,0.0013,4He,CR39,3e-05
0.00013,6.06399,0.0025,0.0019,0.0014,4He,CR39,3e-05
0.00014,6.29324,0.0026,0.002,0.0015,4He,CR39,3e-05
0.00015,6.51463,0.0028,0.0021,0.0015,4He,CR39,4e-05
0.00016,6.72816,0.0029,0.0022,0.0016,4He,CR39,4e-05
0.00017,6.93514,0.0031,0.0023,0.0017,4He,CR39,4e-05
0.00018,7.13688,0.0032,0.0023,0.0017,4He,CR39,4e-05
0.0002,7.52202,0.0035,0.0025,0.0019,4He,CR39,5e-05
0.00022,7.97921,0.0038,0.0027,0.002,4He,CR39,5e-05
0.00025,8.4102,0.0042,0.003,0.0022,4He,CR39,6e-05
0.00027,8.82023,0.0045,0.0032,0.0024,4He,CR39,7e-05
0.0003,9.21323,0.0049,0.0034,0.0025,4He,CR39,7e-05
0.00032,9.5892,0.0052,0.0036,0.0027,4He,CR39,8e-05
0.00035,9.95076,0.0055,0.0038,0.0028,4He,CR39,9e-05
0.00037,10.30053,0.0059,0.004,0.003,4He,CR39,9e-05
0.0004,10.63851,0.0062,0.0042,0.0031,4He,CR39,0.0001
0.00045,11.28303,0.0069,0.0046,0.0034,4He,CR39,0.00011
0.0005,11.89349,0.0076,0.005,0.0037,4He,CR39,0.00012
0.00055,12.47382,0.0082,0.0054,0.004,4He,CR39,0.00014
0.0006,13.02926,0.0089,0.0058,0.0043,4He,CR39,0.00015
0.00065,13.5585,0.0096,0.0061,0.0046,4He,CR39,0.00016
0.0007,14.0694,0.0103,0.0065,0.0049,4He,CR39,0.00017
0.0008,15.0388,0.0116,0.0073,0.0054,4He,CR39,0.0002
0.0009,15.9558,0.013,0.008,0.006,4He,CR39,0.00022
0.001,16.8204,0.0144,0.0087,0.0065,4He,CR39,0.00025
0.0011,17.6457,0.0158,0.0094,0.0071,4He,CR39,0.00027
0.0012,18.4317,0.0172,0.0101,0.0076,4He,CR39,0.0003
0.0013,19.1784,0.0186,0.0108,0.0081,4He,CR39,0.00032
0.0014,19.8989,0.02,0.0114,0.0087,4He,CR39,0.00035
0.0015,20.6063,0.0214,0.0121,0.0092,4He,CR39,0.00037
0.0016,21.2744,0.0228,0.0128,0.0097,4He,CR39,0.0004
0.0017,21.9294,0.0242,0.0134,0.0102,4He,CR39,0.00042
0.0018,22.5713,0.0256,0.014,0.0107,4He,CR39,0.00045
0.002,23.7896,0.0285,0.0153,0.0117,4He,CR39,0.0005
0.00225,25.2306,0.032,0.0168,0.013,4He,CR39,0.00056
0.0025,26.593,0.0356,0.0182,0.0142,4He,CR39,0.00062
0.00275,27.8899,0.0392,0.0197,0.0154,4He,CR39,0.00069
0.003,29.1344,0.0428,0.021,0.0166,4He,CR39,0.00075
0.00325,30.3265,0.0464,0.0224,0.0177,4He,CR39,0.00081
0.0035,31.4662,0.05,0.0237,0.0189,4He,CR39,0.00087
0.00375,32.5797,0.0536,0.0249,0.02,4He,CR39,0.00094
0.004,33.6408,0.0572,0.0261,0.0211,4He,CR39,0.001
0.0045,35.6844,0.0643,0.0284,0.0233,4He,CR39,0.00112
0.005,37.6101,0.0714,0.0306,0.0253,4He,CR39,0.00125
0.0055,39.4441,0.0784,0.0327,0.0273,4He,CR39,0.00137
0.006,41.1995,0.0854,0.0347,0.0293,4He,CR39,0.0015
0.0065,42.8894,0.0923,0.0366,0.0312,4He,CR39,0.00162
0.007,44.5007,0.0992,0.0384,0.033,4He,CR39,0.00175
0.008,47.5792,0.1128,0.0417,0.0365,4He,CR39,0.002
0.009,50.4874,0.126,0.0448,0.0397,4He,CR39,0.00225
0.01,53.2515,0.1391,0.0476,0.0428,4He,CR39,0.0025
0.011,55.8846,0.1518,0.0502,0.0457,4He,CR39,0.00275
0.012,58.4129,0.1643,0.0525,0.0485,4He,CR39,0.003
0.013,60.8364,0.1766,0.0548,0.0511,4He,CR39,0.00325
0.014,63.1682,0.1887,0.0568,0.0536,4He,CR39,0.0035
0.015,65.4214,0.2005,0.0588,0.056,4He,CR39,0.00375
0.016,67.6091,0.2121,0.0606,0.0583,4He,CR39,0.004
0.017,69.7182,0.2235,0.0623,0.0604,4He,CR39,0.00425
0.018,71.7749,0.2347,0.0639,0.0625,4He,CR39,0.0045
0.02,75.7049,0.2566,0.0669,0.0664,4He,CR39,0.005
0.0225,80.3423,0.283,0.0702,0.0709,4He,CR39,0.00562
0.025,84.7046,0.3085,0.0731,0.0749,4He,CR39,0.00625
0.0275,88.818,0.3331,0.0758,0.0787,4He,CR39,0.00687
0.03,92.7087,0.357,0.0781,0.0821,4He,CR39,0.0075
0.0325,96.3898,0.3802,0.0803,0.0853,4He,CR39,0.00812
0.035,99.8744,0.4027,0.0822,0.0883,4He,CR39,0.00874
0.0375,103.1887,0.4247,0.084,0.0911,4He,CR39,0.00937
0.04,106.3458,0.4462,0.0857,0.0938,4He,CR39,0.00999
0.045,112.2277,0.4877,0.0888,0.0986,4He,CR39,0.01124
0.05,117.638,0.5276,0.0915,0.103,4He,CR39,0.01249
0.055,122.6815,0.5661,0.0938,0.1069,4He,CR39,0.01374
0.06,127.4499,0.6034,0.096,0.1106,4He,CR39,0.01499
0.065,132.048,0.6395,0.0979,0.1139,4He,CR39,0.01624
0.07,136.371,0.6747,0.0996,0.117,4He,CR39,0.01749
0.08,144.755,0.7422,0.1029,0.1226,4He,CR39,0.01999
0.09,152.615,0.8064,0.1057,0.1276,4He,CR39,0.02249
0.1,160.213,0.8678,0.1081,0.132,4He,CR39,0.02498
0.11,167.287,0.9267,0.1102,0.1359,4He,CR39,0.02748
0.12,174.23,0.9833,0.1121,0.1395,4He,CR39,0.02998
0.13,180.649,1.04,0.1138,0.1427,4He,CR39,0.03248
0.14,186.806,1.09,0.1153,0.1458,4He,CR39,0.03498
0.15,192.701,1.14,0.1167,0.1485,4He,CR39,0.03748
0.16,198.334,1.19,0.118,0.1511,4He,CR39,0.03997
0.17,203.574,1.24,0.1192,0.1535,4He,CR39,0.04247
0.18,208.683,1.29,0.1203,0.1558,4He,CR39,0.04497
0.2,217.984,1.38,0.1226,0.1599,4He,CR39,0.04997
0.225,228.464,1.49,0.1253,0.1645,4He,CR39,0.05621
0.25,237.765,1.6,0.1276,0.1685,4He,CR39,0.06246
0.275,245.887,1.7,0.1297,0.1722,4He,CR39,0.06871
0.3,253.092,1.8,0.1317,0.1755,4He,CR39,0.07495
0.325,259.38,1.89,0.1334,0.1786,4He,CR39,0.0812
0.35,264.882,1.99,0.135,0.1814,4He,CR39,0.08744
0.375,269.467,2.08,0.1366,0.1841,4He,CR39,0.09369
0.4,273.528,2.17,0.138,0.1866,4He,CR39,0.09994
0.45,279.685,2.35,0.1418,0.1912,4He,CR39,0.11243
0.5,283.877,2.53,0.1453,0.1954,4He,CR39,0.12492
0.55,286.366,2.7,0.1485,0.1993,4He,CR39,0.13741
0.6,287.283,2.88,0.1517,0.2029,4He,CR39,0.1499
0.65,287.283,3.05,0.1547,0.2064,4He,CR39,0.16239
0.7,286.235,3.22,0.1576,0.2097,4He,CR39,0.17489
0.8,282.174,3.57,0.167,0.2161,4He,CR39,0.19987
0.9,276.41,3.93,0.1761,0.2222,4He,CR39,0.22485
1.0,269.598,4.3,0.1851,0.2281,4He,CR39,0.24984
1.1,262.393,4.67,0.1941,0.2339,4He,CR39,0.27482
1.2,255.057,5.06,0.2031,0.2398,4He,CR39,0.29981
1.3,247.852,5.45,0.2122,0.2456,4He,CR39,0.32479
1.4,240.647,5.86,0.2214,0.2515,4He,CR39,0.34977
1.5,233.835,6.28,0.2307,0.2575,4He,CR39,0.37476
1.6,227.285,6.71,0.2401,0.2635,4He,CR39,0.39974
1.7,220.997,7.16,0.2497,0.2697,4He,CR39,0.42472
1.8,214.971,7.62,0.2595,0.276,4He,CR39,0.44971
2.0,203.836,8.57,0.2953,0.289,4He,CR39,0.49968
2.25,191.391,9.84,0.3485,0.3062,4He,CR39,0.56213
2.5,180.256,11.18,0.4002,0.3244,4He,CR39,0.62459
2.75,170.431,12.61,0.4514,0.3437,4He,CR39,0.68705
3.0,161.523,14.11,0.5024,0.3641,4He,CR39,0.74951
3.25,153.663,15.7,0.5535,0.3857,4He,CR39,0.81197
3.5,146.458,17.36,0.605,0.4085,4He,CR39,0.87443
3.75,140.039,19.1,0.6569,0.4325,4He,CR39,0.93689
4.0,134.144,20.93,0.7093,0.4576,4He,CR39,0.99935
4.5,123.7688,24.8,0.9034,0.5115,4He,CR39,1.12427
5.0,115.0049,28.99,1.09,0.57,4He,CR39,1.24919
5.5,107.4855,33.48,1.27,0.633,4He,CR39,1.37411
