Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,2.51651,0.0004,0.0003,0.0002,11B,CR39,0.0
1e-05,2.63965,0.0004,0.0003,0.0002,11B,CR39,0.0
1e-05,2.75624,0.0005,0.0003,0.0002,11B,CR39,0.0
1e-05,2.8689,0.0005,0.0003,0.0002,11B,CR39,0.0
1e-05,2.97763,0.0005,0.0003,0.0002,11B,CR39,0.0
1e-05,3.08112,0.0005,0.0003,0.0003,11B,CR39,0.0
2e-05,3.1833,0.0005,0.0004,0.0003,11B,CR39,0.0
2e-05,3.28024,0.0006,0.0004,0.0003,11B,CR39,0.0
2e-05,3.37587,0.0006,0.0004,0.0003,11B,CR39,0.0
2e-05,3.55796,0.0006,0.0004,0.0003,11B,CR39,0.0
2e-05,3.77411,0.0006,0.0004,0.0003,11B,CR39,0.0
2e-05,3.97847,0.0007,0.0004,0.0003,11B,CR39,0.0
3e-05,4.17235,0.0007,0.0005,0.0003,11B,CR39,0.0
3e-05,4.35837,0.0007,0.0005,0.0003,11B,CR39,0.0
3e-05,4.53653,0.0008,0.0005,0.0004,11B,CR39,0.0
3e-05,4.70683,0.0008,0.0005,0.0004,11B,CR39,0.0
4e-05,4.8732,0.0008,0.0005,0.0004,11B,CR39,0.0
4e-05,5.03302,0.0008,0.0006,0.0004,11B,CR39,0.0
4e-05,5.33825,0.0009,0.0006,0.0004,11B,CR39,0.0
5e-05,5.62645,0.001,0.0006,0.0004,11B,CR39,0.0
5e-05,5.90155,0.001,0.0006,0.0005,11B,CR39,0.0
6e-05,6.16355,0.0011,0.0007,0.0005,11B,CR39,1e-05
6e-05,6.41507,0.0011,0.0007,0.0005,11B,CR39,1e-05
7e-05,6.65742,0.0011,0.0007,0.0005,11B,CR39,1e-05
8e-05,7.11723,0.0012,0.0008,0.0006,11B,CR39,1e-05
9e-05,7.54822,0.0013,0.0008,0.0006,11B,CR39,1e-05
0.0001,7.95694,0.0014,0.0009,0.0006,11B,CR39,1e-05
0.00011,8.3447,0.0015,0.0009,0.0007,11B,CR39,1e-05
0.00012,8.71674,0.0016,0.0009,0.0007,11B,CR39,1e-05
0.00013,9.07175,0.0016,0.001,0.0007,11B,CR39,1e-05
0.00014,9.41497,0.0017,0.001,0.0007,11B,CR39,1e-05
0.00015,9.74509,0.0018,0.0011,0.0008,11B,CR39,1e-05
0.00016,10.06473,0.0019,0.0011,0.0008,11B,CR39,1e-05
0.00017,10.3752,0.0019,0.0011,0.0008,11B,CR39,2e-05
0.00018,10.67519,0.002,0.0012,0.0009,11B,CR39,2e-05
0.0002,11.2529,0.0022,0.0012,0.0009,11B,CR39,2e-05
0.00022,11.93541,0.0023,0.0013,0.001,11B,CR39,2e-05
