Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,1.37812,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.44493,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.51043,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.572,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.63095,0.0005,0.0004,0.0003,7Li,CR39,0.0
1e-05,1.68859,0.0006,0.0004,0.0003,7Li,CR39,0.0
2e-05,1.74361,0.0006,0.0005,0.0003,7Li,CR39,0.0
2e-05,1.79732,0.0006,0.0005,0.0003,7Li,CR39,0.0
2e-05,1.84972,0.0006,0.0005,0.0003,7Li,CR39,0.0
2e-05,1.94928,0.0007,0.0005,0.0004,7Li,CR39,0.0
2e-05,2.06718,0.0007,0.0005,0.0004,7Li,CR39,0.0
2e-05,2.17984,0.0007,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.28595,0.0008,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.38682,0.0008,0.0006,0.0004,7Li,CR39,0.0
3e-05,2.48507,0.0009,0.0006,0.0005,7Li,CR39,0.0
3e-05,2.57808,0.0009,0.0007,0.0005,7Li,CR39,0.0
4e-05,2.66847,0.0009,0.0007,0.0005,7Li,CR39,1e-05
4e-05,2.75624,0.001,0.0007,0.0005,7Li,CR39,1e-05
4e-05,2.92392,0.001,0.0008,0.0005,7Li,CR39,1e-05
5e-05,3.08243,0.0011,0.0008,0.0006,7Li,CR39,1e-05
5e-05,3.23177,0.0012,0.0008,0.0006,7Li,CR39,1e-05
6e-05,3.37587,0.0012,0.0009,0.0006,7Li,CR39,1e-05
6e-05,3.51342,0.0013,0.0009,0.0007,7Li,CR39,1e-05
7e-05,3.64704,0.0014,0.001,0.0007,7Li,CR39,1e-05
8e-05,3.89856,0.0015,0.001,0.0008,7Li,CR39,1e-05
9e-05,4.13436,0.0016,0.0011,0.0008,7Li,CR39,1e-05
0.0001,4.35837,0.0017,0.0012,0.0009,7Li,CR39,1e-05
0.00011,4.5719,0.0018,0.0013,0.0009,7Li,CR39,2e-05
0.00012,4.77495,0.002,0.0013,0.001,7Li,CR39,2e-05
0.00013,4.97014,0.0021,0.0014,0.001,7Li,CR39,2e-05
0.00014,5.15747,0.0022,0.0014,0.0011,7Li,CR39,2e-05
0.00015,5.33825,0.0023,0.0015,0.0011,7Li,CR39,2e-05
0.00016,5.51379,0.0024,0.0016,0.0011,7Li,CR39,2e-05
0.00017,5.68278,0.0025,0.0016,0.0012,7Li,CR39,2e-05
0.00018,5.84784,0.0026,0.0017,0.0012,7Li,CR39,3e-05
0.0002,6.16355,0.0028,0.0018,0.0013,7Li,CR39,3e-05
0.00022,6.53821,0.003,0.0019,0.0014,7Li,CR39,3e-05
0.00025,6.89191,0.0033,0.0021,0.0015,7Li,CR39,4e-05
0.00027,7.22858,0.0035,0.0022,0.0016,7Li,CR39,4e-05
0.0003,7.54953,0.0038,0.0024,0.0017,7Li,CR39,4e-05
0.00032,7.85738,0.004,0.0025,0.0018,7Li,CR39,5e-05
0.00035,8.15475,0.0043,0.0026,0.0019,7Li,CR39,5e-05
0.00037,8.44033,0.0045,0.0028,0.002,7Li,CR39,5e-05
0.0004,8.71674,0.0047,0.0029,0.0021,7Li,CR39,6e-05
0.00045,9.24598,0.0052,0.0031,0.0023,7Li,CR39,6e-05
0.0005,9.7464,0.0057,0.0034,0.0025,7Li,CR39,7e-05
0.00055,10.22193,0.0061,0.0036,0.0026,7Li,CR39,8e-05
0.0006,10.6765,0.0066,0.0039,0.0028,7Li,CR39,9e-05
0.00065,11.11273,0.0071,0.0041,0.003,7Li,CR39,9e-05
0.0007,11.53193,0.0075,0.0043,0.0031,7Li,CR39,0.0001
0.0008,12.32841,0.0084,0.0048,0.0035,7Li,CR39,0.00012
0.0009,13.07642,0.0094,0.0053,0.0038,7Li,CR39,0.00013
0.001,13.7812,0.0103,0.0057,0.0041,7Li,CR39,0.00014
0.0011,14.4624,0.0112,0.0062,0.0044,7Li,CR39,0.00016
0.0012,15.1043,0.0121,0.0066,0.0048,7Li,CR39,0.00017
0.0013,15.72,0.0131,0.0071,0.0051,7Li,CR39,0.00019
0.0014,16.3095,0.014,0.0075,0.0054,7Li,CR39,0.0002
0.0015,16.8859,0.0149,0.0079,0.0057,7Li,CR39,0.00022
0.0016,17.4361,0.0159,0.0084,0.006,7Li,CR39,0.00023
0.0017,17.9732,0.0168,0.0088,0.0063,7Li,CR39,0.00024
0.0018,18.4972,0.0178,0.0092,0.0066,7Li,CR39,0.00026
0.002,19.4928,0.0197,0.0101,0.0072,7Li,CR39,0.00029
0.00225,20.6718,0.0221,0.0111,0.008,7Li,CR39,0.00032
0.0025,21.7984,0.0245,0.0122,0.0088,7Li,CR39,0.00036
0.00275,22.8595,0.027,0.0132,0.0095,7Li,CR39,0.0004
0.003,23.8682,0.0294,0.0142,0.0103,7Li,CR39,0.00043
0.00325,24.8507,0.0319,0.0153,0.011,7Li,CR39,0.00047
0.0035,25.7808,0.0345,0.0163,0.0118,7Li,CR39,0.0005
0.00375,26.6978,0.037,0.0172,0.0125,7Li,CR39,0.00054
0.004,27.5624,0.0396,0.0182,0.0133,7Li,CR39,0.00058
0.0045,29.2392,0.0447,0.0201,0.0148,7Li,CR39,0.00065
0.005,30.8243,0.0499,0.022,0.0163,7Li,CR39,0.00072
0.0055,32.3308,0.0552,0.0239,0.0178,7Li,CR39,0.00079
0.006,33.7587,0.0604,0.0257,0.0193,7Li,CR39,0.00086
0.0065,35.1473,0.0658,0.0275,0.0207,7Li,CR39,0.00094
0.007,36.4704,0.0711,0.0292,0.0222,7Li,CR39,0.00101
0.008,38.9856,0.0818,0.0325,0.0251,7Li,CR39,0.00115
0.009,41.3567,0.0926,0.0358,0.028,7Li,CR39,0.0013
0.01,43.5837,0.1034,0.0388,0.0308,7Li,CR39,0.00144
0.011,45.719,0.1142,0.0418,0.0336,7Li,CR39,0.00158
0.012,47.7495,0.125,0.0446,0.0363,7Li,CR39,0.00173
0.013,49.7014,0.1358,0.0474,0.0389,7Li,CR39,0.00187
0.014,51.5747,0.1465,0.05,0.0415,7Li,CR39,0.00202
