Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,2.86104,0.0004,0.0003,0.0002,14N,CR39,0.0
1e-05,3.00121,0.0004,0.0003,0.0002,14N,CR39,0.0
1e-05,3.13352,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.2619,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.38504,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.50425,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.61953,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.73088,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.8383,0.0006,0.0003,0.0002,14N,CR39,0.0
2e-05,4.04659,0.0006,0.0004,0.0003,14N,CR39,0.0
2e-05,4.29156,0.0006,0.0004,0.0003,14N,CR39,0.0
2e-05,4.52343,0.0006,0.0004,0.0003,14N,CR39,0.0
3e-05,4.74482,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,4.95573,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.15747,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.35266,0.0008,0.0005,0.0003,14N,CR39,0.0
4e-05,5.53999,0.0008,0.0005,0.0003,14N,CR39,0.0
4e-05,5.72208,0.0008,0.0005,0.0004,14N,CR39,0.0
4e-05,6.06923,0.0009,0.0005,0.0004,14N,CR39,0.0
5e-05,6.39673,0.0009,0.0005,0.0004,14N,CR39,0.0
5e-05,6.70982,0.0009,0.0006,0.0004,14N,CR39,0.0
6e-05,7.0085,0.001,0.0006,0.0004,14N,CR39,0.0
6e-05,7.29408,0.001,0.0006,0.0004,14N,CR39,0.0
7e-05,7.56918,0.0011,0.0006,0.0005,14N,CR39,0.0
8e-05,8.09187,0.0011,0.0007,0.0005,14N,CR39,1e-05
9e-05,8.58312,0.0012,0.0007,0.0005,14N,CR39,1e-05
0.0001,9.04686,0.0013,0.0007,0.0005,14N,CR39,1e-05
0.00011,9.48833,0.0014,0.0008,0.0006,14N,CR39,1e-05
0.00012,9.91015,0.0014,0.0008,0.0006,14N,CR39,1e-05
0.00013,10.31494,0.0015,0.0008,0.0006,14N,CR39,1e-05
0.00014,10.70532,0.0016,0.0009,0.0006,14N,CR39,1e-05
0.00015,11.07998,0.0016,0.0009,0.0007,14N,CR39,1e-05
0.00016,11.44416,0.0017,0.0009,0.0007,14N,CR39,1e-05
0.00017,11.79655,0.0017,0.001,0.0007,14N,CR39,1e-05
0.00018,12.13846,0.0018,0.001,0.0007,14N,CR39,1e-05
0.0002,12.79477,0.0019,0.0011,0.0008,14N,CR39,1e-05
0.00022,13.5716,0.0021,0.0011,0.0008,14N,CR39,2e-05
0.00025,14.3052,0.0022,0.0012,0.0009,14N,CR39,2e-05
0.00027,14.9995,0.0023,0.0012,0.0009,14N,CR39,2e-05
0.0003,15.6676,0.0025,0.0013,0.001,14N,CR39,2e-05
0.00032,16.3095,0.0026,0.0014,0.001,14N,CR39,2e-05
0.00035,16.9252,0.0027,0.0014,0.001,14N,CR39,2e-05
0.00037,17.5147,0.0028,0.0015,0.0011,14N,CR39,3e-05
0.0004,18.0911,0.003,0.0015,0.0011,14N,CR39,3e-05
0.00045,19.1915,0.0032,0.0016,0.0012,14N,CR39,3e-05
0.0005,20.2264,0.0034,0.0017,0.0013,14N,CR39,4e-05
0.00055,21.222,0.0036,0.0018,0.0013,14N,CR39,4e-05
0.0006,22.1652,0.0039,0.0019,0.0014,14N,CR39,4e-05
0.00065,23.0691,0.0041,0.002,0.0015,14N,CR39,5e-05
0.0007,23.9337,0.0043,0.0021,0.0015,14N,CR39,5e-05
0.0008,25.5843,0.0047,0.0023,0.0017,14N,CR39,6e-05
0.0009,27.1432,0.0051,0.0024,0.0018,14N,CR39,6e-05
0.001,28.6104,0.0055,0.0026,0.0019,14N,CR39,7e-05
0.0011,30.0121,0.0059,0.0028,0.002,14N,CR39,8e-05
0.0012,31.3352,0.0063,0.0029,0.0022,14N,CR39,9e-05
0.0013,32.619,0.0067,0.0031,0.0023,14N,CR39,9e-05
0.0014,33.8504,0.0071,0.0032,0.0024,14N,CR39,0.0001
0.0015,35.0425,0.0075,0.0034,0.0025,14N,CR39,0.00011
0.0016,36.1953,0.0079,0.0035,0.0026,14N,CR39,0.00011
0.0017,37.3088,0.0082,0.0037,0.0027,14N,CR39,0.00012
0.0018,38.383,0.0086,0.0038,0.0028,14N,CR39,0.00013
0.002,40.4659,0.0094,0.0041,0.003,14N,CR39,0.00014
0.00225,42.9156,0.0103,0.0045,0.0033,14N,CR39,0.00016
0.0025,45.2343,0.0112,0.0048,0.0035,14N,CR39,0.00018
0.00275,47.4482,0.0121,0.0051,0.0038,14N,CR39,0.0002
0.003,49.5573,0.013,0.0055,0.004,14N,CR39,0.00021
0.00325,51.5747,0.0139,0.0058,0.0042,14N,CR39,0.00023
0.0035,53.5266,0.0148,0.0061,0.0045,14N,CR39,0.00025
0.00375,55.3999,0.0157,0.0064,0.0047,14N,CR39,0.00027
0.004,57.2208,0.0165,0.0067,0.0049,14N,CR39,0.00029
0.0045,60.6923,0.0183,0.0073,0.0054,14N,CR39,0.00032
0.005,63.9804,0.0201,0.0079,0.0058,14N,CR39,0.00036
0.0055,67.0982,0.0218,0.0085,0.0062,14N,CR39,0.00039
0.006,70.085,0.0236,0.0091,0.0066,14N,CR39,0.00043
0.0065,72.9408,0.0254,0.0097,0.007,14N,CR39,0.00046
0.007,75.6918,0.0271,0.0102,0.0075,14N,CR39,0.0005
0.008,80.9187,0.0307,0.0113,0.0083,14N,CR39,0.00057
0.009,85.8312,0.0342,0.0124,0.0091,14N,CR39,0.00064
0.01,90.4817,0.0377,0.0135,0.0098,14N,CR39,0.00071
0.011,94.8964,0.0413,0.0145,0.0106,14N,CR39,0.00079
0.012,99.1146,0.0448,0.0155,0.0114,14N,CR39,0.00086
0.013,103.1625,0.0484,0.0165,0.0121,14N,CR39,0.00093
0.014,107.0532,0.0519,0.0174,0.0129,14N,CR39,0.001
0.015,110.8129,0.0555,0.0183,0.0136,14N,CR39,0.00107
0.016,114.4547,0.059,0.0192,0.0143,14N,CR39,0.00114
0.017,117.9655,0.0626,0.0201,0.0151,14N,CR39,0.00121
0.018,121.3977,0.0661,0.021,0.0158,14N,CR39,0.00129
0.02,127.9608,0.0732,0.0227,0.0172,14N,CR39,0.00143
0.0225,135.716,0.082,0.0247,0.019,14N,CR39,0.00161
0.025,143.052,0.0908,0.0267,0.0207,14N,CR39,0.00178
0.0275,149.995,0.0996,0.0285,0.0223,14N,CR39,0.00196
0.03,155.628,0.1083,0.0303,0.024,14N,CR39,0.00214
0.0325,160.999,0.117,0.032,0.0256,14N,CR39,0.00232
0.035,166.501,0.1257,0.0337,0.0271,14N,CR39,0.0025
0.0375,171.872,0.1343,0.0352,0.0287,14N,CR39,0.00268
0.04,176.981,0.1429,0.0368,0.0302,14N,CR39,0.00286
0.045,186.544,0.1599,0.0397,0.0331,14N,CR39,0.00321
0.05,195.19,0.1768,0.0424,0.0359,14N,CR39,0.00357
0.055,202.788,0.1935,0.045,0.0386,14N,CR39,0.00393
0.06,209.731,0.2101,0.0474,0.0413,14N,CR39,0.00428
0.065,215.888,0.2265,0.0497,0.0438,14N,CR39,0.00464
0.07,221.521,0.2428,0.0519,0.0463,14N,CR39,0.005
0.08,231.477,0.2752,0.056,0.051,14N,CR39,0.00571
0.09,240.254,0.3072,0.0599,0.0555,14N,CR39,0.00643
0.1,248.245,0.3389,0.0635,0.0597,14N,CR39,0.00714
0.11,255.581,0.3703,0.0668,0.0638,14N,CR39,0.00785
0.12,262.655,0.4013,0.0699,0.0677,14N,CR39,0.00857
0.13,269.336,0.4319,0.0728,0.0714,14N,CR39,0.00928
0.14,275.886,0.4622,0.0756,0.075,14N,CR39,0.01
0.15,282.305,0.4922,0.0782,0.0785,14N,CR39,0.01071
0.16,288.593,0.5218,0.0807,0.0818,14N,CR39,0.01142
0.17,294.75,0.5511,0.083,0.0851,14N,CR39,0.01214
0.18,301.038,0.58,0.0853,0.0882,14N,CR39,0.01285
0.2,313.352,0.6367,0.0896,0.0941,14N,CR39,0.01428
0.225,329.072,0.7055,0.0945,0.1009,14N,CR39,0.01606
0.25,344.923,0.772,0.0988,0.1072,14N,CR39,0.01785
0.275,360.905,0.8362,0.1027,0.113,14N,CR39,0.01963
0.3,377.018,0.8982,0.1062,0.1184,14N,CR39,0.02142
0.325,393.262,0.9582,0.1093,0.1234,14N,CR39,0.0232
0.35,409.375,1.02,0.1121,0.128,14N,CR39,0.02499
0.375,425.357,1.07,0.1147,0.1323,14N,CR39,0.02677
0.4,441.077,1.13,0.1171,0.1363,14N,CR39,0.02856
0.45,471.862,1.23,0.1216,0.1437,14N,CR39,0.03213
0.5,501.468,1.33,0.1255,0.1501,14N,CR39,0.0357
0.55,529.895,1.42,0.1289,0.1559,14N,CR39,0.03927
0.6,557.143,1.51,0.1318,0.161,14N,CR39,0.04284
0.65,583.343,1.6,0.1344,0.1657,14N,CR39,0.04641
0.7,608.495,1.68,0.1367,0.17,14N,CR39,0.04998
0.8,655.655,1.83,0.1415,0.1775,14N,CR39,0.05712
0.9,699.54,1.98,0.1456,0.1839,14N,CR39,0.06425
1.0,740.281,2.11,0.149,0.1895,14N,CR39,0.07139
1.1,778.271,2.24,0.1519,0.1944,14N,CR39,0.07853
1.2,813.903,2.37,0.1545,0.1988,14N,CR39,0.08567
1.3,847.177,2.49,0.1568,0.2028,14N,CR39,0.09281
1.4,878.486,2.6,0.1589,0.2064,14N,CR39,0.09995
1.5,907.961,2.71,0.1608,0.2097,14N,CR39,0.10709
1.6,935.602,2.82,0.1626,0.2127,14N,CR39,0.11423
1.7,961.54,2.93,0.1642,0.2155,14N,CR39,0.12137
1.8,985.775,3.03,0.1657,0.2181,14N,CR39,0.12851
2.0,1030.053,3.23,0.1695,0.2229,14N,CR39,0.14279
2.25,1077.606,3.46,0.1744,0.2281,14N,CR39,0.16064
2.5,1117.823,3.69,0.1787,0.2326,14N,CR39,0.17849
2.75,1151.621,3.91,0.1826,0.2367,14N,CR39,0.19633
3.0,1179.917,4.13,0.1862,0.2405,14N,CR39,0.21418
3.25,1203.497,4.34,0.1895,0.2439,14N,CR39,0.23203
3.5,1223.278,4.54,0.1926,0.247,14N,CR39,0.24988
3.75,1239.653,4.75,0.1956,0.25,14N,CR39,0.26773
