Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,1.95714,0.0006,0.0007,0.0005,1H,CR39,1e-05
1e-05,2.05277,0.0006,0.0007,0.0005,1H,CR39,1e-05
1e-05,2.14447,0.0006,0.0008,0.0006,1H,CR39,1e-05
1e-05,2.23224,0.0007,0.0008,0.0006,1H,CR39,1e-05
1e-05,2.31608,0.0007,0.0008,0.0006,1H,CR39,1e-05
1e-05,2.3973,0.0008,0.0009,0.0006,1H,CR39,1e-05
2e-05,2.4759,0.0008,0.0009,0.0007,1H,CR39,2e-05
2e-05,2.55188,0.0008,0.001,0.0007,1H,CR39,2e-05
2e-05,2.62655,0.0009,0.001,0.0007,1H,CR39,2e-05
2e-05,2.76803,0.0009,0.0011,0.0008,1H,CR39,2e-05
2e-05,2.93571,0.001,0.0011,0.0008,1H,CR39,2e-05
2e-05,3.09553,0.0011,0.0012,0.0009,1H,CR39,2e-05
3e-05,3.24618,0.0012,0.0013,0.001,1H,CR39,3e-05
3e-05,3.39028,0.0012,0.0014,0.001,1H,CR39,3e-05
3e-05,3.52914,0.0013,0.0015,0.0011,1H,CR39,3e-05
3e-05,3.66276,0.0014,0.0015,0.0011,1H,CR39,3e-05
4e-05,3.79114,0.0015,0.0016,0.0012,1H,CR39,4e-05
4e-05,3.91559,0.0015,0.0017,0.0012,1H,CR39,4e-05
4e-05,4.1527,0.0017,0.0018,0.0014,1H,CR39,4e-05
5e-05,4.37671,0.0018,0.002,0.0015,1H,CR39,5e-05
5e-05,4.59024,0.002,0.0021,0.0016,1H,CR39,5e-05
6e-05,4.7946,0.0021,0.0022,0.0017,1H,CR39,6e-05
6e-05,4.9911,0.0023,0.0024,0.0018,1H,CR39,6e-05
7e-05,5.17843,0.0024,0.0025,0.0019,1H,CR39,7e-05
8e-05,5.53606,0.0027,0.0027,0.0021,1H,CR39,8e-05
9e-05,5.87273,0.0029,0.003,0.0023,1H,CR39,9e-05
0.0001,6.18975,0.0032,0.0032,0.0024,1H,CR39,0.0001
0.00011,6.49236,0.0035,0.0035,0.0026,1H,CR39,0.00011
0.00012,6.78056,0.0038,0.0037,0.0028,1H,CR39,0.00012
0.00013,7.05828,0.004,0.0039,0.003,1H,CR39,0.00013
0.00014,7.32421,0.0043,0.0042,0.0031,1H,CR39,0.00014
0.00015,7.58097,0.0046,0.0044,0.0033,1H,CR39,0.00015
0.00016,7.82987,0.0048,0.0046,0.0035,1H,CR39,0.00016
0.00017,8.07091,0.0051,0.0048,0.0037,1H,CR39,0.00017
0.00018,8.3054,0.0054,0.005,0.0038,1H,CR39,0.00018
0.0002,8.75473,0.0059,0.0054,0.0041,1H,CR39,0.0002
0.00022,9.28528,0.0066,0.0059,0.0045,1H,CR39,0.00022
0.00025,9.78701,0.0072,0.0064,0.0049,1H,CR39,0.00025
0.00027,10.26516,0.0079,0.0069,0.0053,1H,CR39,0.00027
0.0003,10.72104,0.0085,0.0073,0.0057,1H,CR39,0.0003
0.00032,11.15989,0.0092,0.0078,0.006,1H,CR39,0.00032
0.00035,11.5804,0.0099,0.0082,0.0064,1H,CR39,0.00035
0.00037,11.98781,0.0105,0.0087,0.0067,1H,CR39,0.00037
0.0004,12.38081,0.0112,0.0091,0.0071,1H,CR39,0.0004
0.00045,13.1262,0.0125,0.0099,0.0077,1H,CR39,0.00045
0.0005,13.8467,0.0138,0.0107,0.0084,1H,CR39,0.0005
0.00055,14.5148,0.0151,0.0114,0.009,1H,CR39,0.00055
0.0006,15.1567,0.0164,0.0122,0.0096,1H,CR39,0.0006
0.00065,15.7855,0.0177,0.0129,0.0102,1H,CR39,0.00064
0.0007,16.375,0.019,0.0135,0.0108,1H,CR39,0.00069
0.0008,17.5147,0.0215,0.0148,0.0119,1H,CR39,0.00079
0.0009,18.5758,0.0241,0.016,0.013,1H,CR39,0.00089
0.001,19.5714,0.0266,0.0172,0.014,1H,CR39,0.00099
0.0011,20.5277,0.0291,0.0183,0.015,1H,CR39,0.00109
0.0012,21.4447,0.0316,0.0193,0.016,1H,CR39,0.00119
0.0013,22.3224,0.034,0.0203,0.0169,1H,CR39,0.00129
0.0014,23.1608,0.0365,0.0212,0.0177,1H,CR39,0.00139
0.0015,23.973,0.0389,0.0221,0.0186,1H,CR39,0.00149
0.0016,24.759,0.0413,0.0229,0.0194,1H,CR39,0.00159
0.0017,25.5188,0.0437,0.0237,0.0202,1H,CR39,0.00169
0.0018,26.2655,0.046,0.0245,0.021,1H,CR39,0.00179
0.002,27.6803,0.0506,0.026,0.0224,1H,CR39,0.00198
0.00225,29.1999,0.0563,0.0277,0.0242,1H,CR39,0.00223
0.0025,30.6278,0.0619,0.0292,0.0258,1H,CR39,0.00248
0.00275,31.9902,0.0675,0.0306,0.0273,1H,CR39,0.00273
0.003,33.2871,0.0729,0.032,0.0288,1H,CR39,0.00298
0.00325,34.5316,0.0782,0.0332,0.0302,1H,CR39,0.00322
0.0035,35.7368,0.0834,0.0344,0.0315,1H,CR39,0.00347
0.00375,36.9027,0.0886,0.0355,0.0328,1H,CR39,0.00372
0.004,38.0162,0.0937,0.0365,0.034,1H,CR39,0.00397
0.0045,40.1515,0.1036,0.0384,0.0362,1H,CR39,0.00446
0.005,42.1689,0.1132,0.0401,0.0383,1H,CR39,0.00496
0.0055,44.0815,0.1226,0.0416,0.0402,1H,CR39,0.00546
0.006,45.9155,0.1318,0.043,0.0421,1H,CR39,0.00595
0.0065,47.6578,0.1407,0.0443,0.0437,1H,CR39,0.00645
0.007,49.3215,0.1494,0.0454,0.0453,1H,CR39,0.00695
0.008,52.4786,0.1662,0.0476,0.0483,1H,CR39,0.00794
0.009,55.413,0.1824,0.0494,0.0509,1H,CR39,0.00893
0.01,58.1509,0.1979,0.051,0.0533,1H,CR39,0.00992
0.011,60.7185,0.213,0.0525,0.0555,1H,CR39,0.01091
0.012,63.142,0.2275,0.0538,0.0575,1H,CR39,0.01191
0.013,65.4214,0.2417,0.055,0.0594,1H,CR39,0.0129
0.014,67.5829,0.2554,0.056,0.0611,1H,CR39,0.01389
0.015,69.6396,0.2689,0.057,0.0628,1H,CR39,0.01488
0.016,71.5784,0.282,0.0579,0.0643,1H,CR39,0.01587
0.017,73.4255,0.2948,0.0588,0.0658,1H,CR39,0.01687
0.018,75.194,0.3074,0.0596,0.0671,1H,CR39,0.01786
0.02,78.4559,0.3319,0.061,0.0697,1H,CR39,0.01984
0.0225,82.137,0.3613,0.0627,0.0725,1H,CR39,0.02232
0.025,85.412,0.3897,0.0641,0.0751,1H,CR39,0.0248
0.0275,88.3333,0.4173,0.0654,0.0775,1H,CR39,0.02728
0.03,90.9533,0.4441,0.0666,0.0797,1H,CR39,0.02976
0.0325,93.2982,0.4702,0.0676,0.0817,1H,CR39,0.03225
0.035,95.4073,0.4958,0.0686,0.0836,1H,CR39,0.03473
0.0375,97.2806,0.521,0.0695,0.0854,1H,CR39,0.03721
0.04,98.9705,0.5457,0.0703,0.087,1H,CR39,0.03969
0.045,101.8132,0.5942,0.072,0.0902,1H,CR39,0.04465
0.05,104.0402,0.6416,0.0735,0.093,1H,CR39,0.04961
0.055,105.7432,0.6883,0.0749,0.0957,1H,CR39,0.05457
0.06,106.9746,0.7344,0.0762,0.0982,1H,CR39,0.05953
0.065,107.813,0.7801,0.0774,0.1005,1H,CR39,0.06449
0.07,108.2977,0.8256,0.0785,0.1028,1H,CR39,0.06945
0.08,108.4025,0.9165,0.0812,0.107,1H,CR39,0.07937
0.09,107.6034,1.01,0.0837,0.111,1H,CR39,0.08929
0.1,106.1493,1.1,0.0861,0.1149,1H,CR39,0.09922
0.11,104.2629,1.19,0.0884,0.1187,1H,CR39,0.10914
0.12,102.0883,1.29,0.0907,0.1224,1H,CR39,0.11906
0.13,99.7303,1.39,0.093,0.1261,1H,CR39,0.12898
0.14,97.3068,1.49,0.0954,0.1297,1H,CR39,0.1389
0.15,94.8571,1.59,0.0977,0.1334,1H,CR39,0.14882
0.16,92.4205,1.7,0.1001,0.1372,1H,CR39,0.15875
0.17,90.0494,1.81,0.1025,0.1409,1H,CR39,0.16867
0.18,87.7307,1.92,0.105,0.1448,1H,CR39,0.17859
0.2,83.3684,2.15,0.1125,0.1526,1H,CR39,0.19843
0.225,78.4166,2.46,0.1236,0.1629,1H,CR39,0.22324
0.25,74.0019,2.79,0.135,0.1737,1H,CR39,0.24804
0.275,70.085,3.13,0.1467,0.185,1H,CR39,0.27284
0.3,66.6004,3.49,0.1586,0.1969,1H,CR39,0.29765
0.325,63.4957,3.88,0.1709,0.2094,1H,CR39,0.32245
0.35,60.7185,4.28,0.1834,0.2225,1H,CR39,0.34726
0.375,58.2033,4.7,0.1962,0.2362,1H,CR39,0.37206
0.4,55.937,5.13,0.2092,0.2504,1H,CR39,0.39686
0.45,51.9808,6.06,0.2533,0.2807,1H,CR39,0.44647
0.5,48.6534,7.05,0.2962,0.313,1H,CR39,0.49608
0.55,45.8107,8.1,0.3386,0.3475,1H,CR39,0.54569
0.6,43.3479,9.22,0.3808,0.384,1H,CR39,0.5953
0.65,41.1995,10.4,0.423,0.4224,1H,CR39,0.64491
0.7,39.3131,11.64,0.4654,0.4626,1H,CR39,0.69451
0.8,36.1429,14.28,0.6107,0.548,1H,CR39,0.79373
0.9,33.5884,17.14,0.7465,0.6399,1H,CR39,0.89295
1.0,31.4924,20.21,0.8776,0.7375,1H,CR39,0.99216
1.1,30.1431,23.45,1.0,0.8396,1H,CR39,1.09138
1.2,28.82,26.83,1.13,0.9454,1H,CR39,1.19059
1.3,27.4052,30.38,1.25,1.06,1H,CR39,1.28981
1.4,26.1345,34.11,1.37,1.17,1H,CR39,1.38903
1.5,24.9817,38.01,1.5,1.29,1H,CR39,1.48824
1.6,23.9206,42.09,1.62,1.41,1H,CR39,1.58746
1.7,22.9512,46.35,1.75,1.54,1H,CR39,1.68668
1.8,22.0473,50.78,1.88,1.67,1H,CR39,1.78589
2.0,20.4491,60.18,2.34,1.95,1H,CR39,1.98432
2.25,18.7461,72.93,3.0,2.32,1H,CR39,2.23236
2.5,17.3182,86.77,3.63,2.72,1H,CR39,2.4804
2.75,16.113,101.7,4.24,3.15,1H,CR39,2.72845
3.0,15.0781,117.71,4.86,3.6,1H,CR39,2.97649
3.25,14.1742,134.77,5.48,4.08,1H,CR39,3.22453
3.5,13.3882,152.87,6.11,4.59,1H,CR39,3.47257
3.75,12.69521,172.01,6.74,5.13,1H,CR39,3.72061
4.0,12.07296,192.16,7.39,5.69,1H,CR39,3.96865
4.5,11.01186,235.45,9.72,6.89,1H,CR39,4.46473
