Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.016,69.561,0.1155,0.0383,0.0304,9Be,CR39,0.00178
0.017,71.6963,0.1228,0.04,0.0321,9Be,CR39,0.00189
0.018,73.7792,0.1301,0.0417,0.0337,9Be,CR39,0.002
0.02,74.8403,0.1449,0.045,0.0369,9Be,CR39,0.00222
0.0225,77.0411,0.1636,0.049,0.0408,9Be,CR39,0.0025
0.025,79.8838,0.1824,0.0528,0.0446,9Be,CR39,0.00277
0.0275,83.1326,0.2012,0.0565,0.0483,9Be,CR39,0.00305
0.03,86.591,0.2198,0.06,0.052,9Be,CR39,0.00333
0.0325,90.1935,0.2382,0.0632,0.0555,9Be,CR39,0.00361
0.035,93.8615,0.2564,0.0663,0.059,9Be,CR39,0.00388
0.0375,97.5426,0.2743,0.0692,0.0623,9Be,CR39,0.00416
0.04,101.1975,0.2919,0.072,0.0655,9Be,CR39,0.00444
0.045,108.3894,0.3263,0.077,0.0716,9Be,CR39,0.00499
0.05,115.3062,0.3596,0.0816,0.0773,9Be,CR39,0.00555
0.055,121.9217,0.3919,0.0857,0.0826,9Be,CR39,0.0061
0.06,128.1966,0.4232,0.0895,0.0876,9Be,CR39,0.00666
0.065,134.144,0.4536,0.0929,0.0922,9Be,CR39,0.00721
0.07,139.777,0.4833,0.096,0.0966,9Be,CR39,0.00777
0.08,150.126,0.5405,0.1017,0.1046,9Be,CR39,0.00888
0.09,159.296,0.5953,0.1067,0.1119,9Be,CR39,0.00999
0.1,167.549,0.6482,0.1111,0.1184,9Be,CR39,0.0111
0.11,175.016,0.6993,0.115,0.1244,9Be,CR39,0.01221
0.12,181.828,0.749,0.1185,0.13,9Be,CR39,0.01332
0.13,188.247,0.7974,0.1218,0.1351,9Be,CR39,0.01442
0.14,194.273,0.8446,0.1247,0.1399,9Be,CR39,0.01553
0.15,199.906,0.8907,0.1275,0.1444,9Be,CR39,0.01664
0.16,205.408,0.9359,0.13,0.1487,9Be,CR39,0.01775
0.17,210.779,0.9801,0.1324,0.1527,9Be,CR39,0.01886
0.18,216.019,1.02,0.1346,0.1565,9Be,CR39,0.01997
0.2,226.106,1.11,0.1388,0.1635,9Be,CR39,0.02219
0.225,238.289,1.21,0.1435,0.1714,9Be,CR39,0.02497
0.25,249.948,1.31,0.1477,0.1785,9Be,CR39,0.02774
0.275,261.345,1.4,0.1513,0.1848,9Be,CR39,0.03051
0.3,272.349,1.49,0.1546,0.1906,9Be,CR39,0.03329
0.325,283.091,1.57,0.1575,0.196,9Be,CR39,0.03606
0.35,293.702,1.66,0.1601,0.2008,9Be,CR39,0.03884
0.375,303.92,1.74,0.1625,0.2053,9Be,CR39,0.04161
0.4,314.007,1.82,0.1646,0.2095,9Be,CR39,0.04438
0.45,333.526,1.97,0.1691,0.2171,9Be,CR39,0.04993
0.5,352.39,2.11,0.173,0.2237,9Be,CR39,0.05548
0.55,370.73,2.24,0.1763,0.2295,9Be,CR39,0.06103
0.6,388.284,2.37,0.1792,0.2348,9Be,CR39,0.06658
0.65,405.314,2.5,0.1818,0.2395,9Be,CR39,0.07212
0.7,421.689,2.62,0.1841,0.2438,9Be,CR39,0.07767
0.8,452.736,2.84,0.1895,0.2513,9Be,CR39,0.08877
0.9,481.425,3.05,0.1939,0.2577,9Be,CR39,0.09986
1.0,507.494,3.25,0.1978,0.2633,9Be,CR39,0.11096
1.1,531.336,3.44,0.2011,0.2682,9Be,CR39,0.12206
1.2,552.689,3.63,0.2041,0.2726,9Be,CR39,0.13315
1.3,571.684,3.8,0.2068,0.2765,9Be,CR39,0.14425
1.4,588.583,3.98,0.2093,0.2802,9Be,CR39,0.15534
1.5,603.517,4.14,0.2116,0.2835,9Be,CR39,0.16644
1.6,616.355,4.3,0.2137,0.2866,9Be,CR39,0.17754
