Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.018,109.0051,0.0911,0.0281,0.0222,11B,CR39,0.00166
0.02,114.9001,0.1008,0.0302,0.0242,11B,CR39,0.00185
0.0225,121.175,0.1129,0.0327,0.0265,11B,CR39,0.00208
0.025,125.5373,0.125,0.0351,0.0289,11B,CR39,0.00231
0.0275,131.0,0.1369,0.0373,0.0311,11B,CR39,0.00254
0.03,136.895,0.1488,0.0394,0.0333,11B,CR39,0.00277
0.0325,142.921,0.1605,0.0414,0.0354,11B,CR39,0.00301
0.035,148.816,0.172,0.0433,0.0374,11B,CR39,0.00324
0.0375,154.58,0.1833,0.045,0.0393,11B,CR39,0.00347
0.04,159.951,0.1945,0.0467,0.0412,11B,CR39,0.0037
0.045,169.907,0.2164,0.0498,0.0448,11B,CR39,0.00416
0.05,178.815,0.2377,0.0526,0.0482,11B,CR39,0.00462
0.055,186.675,0.2586,0.0552,0.0514,11B,CR39,0.00509
0.06,193.749,0.279,0.0576,0.0544,11B,CR39,0.00555
0.065,199.906,0.2992,0.0598,0.0573,11B,CR39,0.00601
0.07,205.539,0.319,0.0619,0.06,11B,CR39,0.00647
0.08,215.364,0.358,0.0658,0.0651,11B,CR39,0.0074
0.09,223.748,0.3961,0.0694,0.0698,11B,CR39,0.00832
0.1,231.084,0.4335,0.0726,0.0742,11B,CR39,0.00925
0.11,237.634,0.4704,0.0755,0.0784,11B,CR39,0.01017
0.12,243.66,0.5066,0.0783,0.0823,11B,CR39,0.0111
0.13,249.424,0.5424,0.0809,0.086,11B,CR39,0.01202
0.14,254.795,0.5776,0.0833,0.0895,11B,CR39,0.01295
0.15,260.166,0.6124,0.0855,0.0929,11B,CR39,0.01387
0.16,265.406,0.6467,0.0877,0.0961,11B,CR39,0.0148
0.17,270.515,0.6806,0.0897,0.0992,11B,CR39,0.01572
0.18,275.755,0.714,0.0916,0.1021,11B,CR39,0.01665
