Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.018,117.0223,0.0587,0.0187,0.0138,16O,CR39,0.00113
0.02,123.3496,0.0649,0.0202,0.0151,16O,CR39,0.00125
0.0225,130.8297,0.0728,0.0221,0.0166,16O,CR39,0.00141
0.025,137.943,0.0807,0.0239,0.0181,16O,CR39,0.00156
0.0275,144.624,0.0885,0.0257,0.0196,16O,CR39,0.00172
0.03,151.043,0.0964,0.0274,0.0211,16O,CR39,0.00188
0.0325,156.676,0.1042,0.029,0.0225,16O,CR39,0.00203
0.035,159.951,0.1121,0.0306,0.0239,16O,CR39,0.00219
0.0375,163.357,0.12,0.0322,0.0253,16O,CR39,0.00234
0.04,166.763,0.1279,0.0337,0.0267,16O,CR39,0.0025
0.045,173.575,0.1438,0.0367,0.0295,16O,CR39,0.00281
0.05,180.256,0.1598,0.0395,0.0322,16O,CR39,0.00313
0.055,186.806,0.1757,0.0422,0.0348,16O,CR39,0.00344
0.06,193.225,0.1916,0.0448,0.0374,16O,CR39,0.00375
0.065,199.513,0.2074,0.0473,0.0399,16O,CR39,0.00406
0.07,205.539,0.2231,0.0497,0.0424,16O,CR39,0.00438
0.08,216.936,0.2544,0.0542,0.0472,16O,CR39,0.005
0.09,227.678,0.2852,0.0584,0.0518,16O,CR39,0.00563
0.1,237.765,0.3157,0.0623,0.0562,16O,CR39,0.00625
0.11,247.197,0.3457,0.0659,0.0604,16O,CR39,0.00688
0.12,256.105,0.3753,0.0693,0.0644,16O,CR39,0.0075
0.13,264.489,0.4044,0.0724,0.0683,16O,CR39,0.00813
0.14,272.48,0.4333,0.0754,0.072,16O,CR39,0.00875
0.15,280.078,0.4617,0.0782,0.0756,16O,CR39,0.00938
0.16,287.283,0.4898,0.0808,0.079,16O,CR39,0.01
0.17,294.095,0.5175,0.0833,0.0824,16O,CR39,0.01063
0.18,300.776,0.5449,0.0857,0.0856,16O,CR39,0.01125
0.2,313.352,0.5988,0.0903,0.0917,16O,CR39,0.0125
0.225,328.155,0.6645,0.0955,0.0988,16O,CR39,0.01406
0.25,342.434,0.7285,0.1003,0.1054,16O,CR39,0.01563
0.275,356.451,0.7907,0.1045,0.1116,16O,CR39,0.01719
0.3,370.206,0.8513,0.1084,0.1173,16O,CR39,0.01875
0.325,384.092,0.9103,0.1119,0.1227,16O,CR39,0.02031
0.35,397.847,0.9677,0.1152,0.1277,16O,CR39,0.02188
0.375,411.602,1.02,0.1182,0.1325,16O,CR39,0.02344
0.4,425.357,1.08,0.1209,0.1369,16O,CR39,0.025
0.45,452.736,1.18,0.1262,0.1451,16O,CR39,0.02813
0.5,479.853,1.28,0.1308,0.1524,16O,CR39,0.03125
0.55,506.708,1.38,0.1348,0.159,16O,CR39,0.03438
0.6,533.301,1.47,0.1383,0.165,16O,CR39,0.0375
0.65,559.501,1.55,0.1414,0.1704,16O,CR39,0.04063
0.7,585.308,1.64,0.1441,0.1753,16O,CR39,0.04375
0.8,635.743,1.79,0.1496,0.184,16O,CR39,0.05
0.9,684.737,1.94,0.1541,0.1914,16O,CR39,0.05625
1.0,732.159,2.08,0.1579,0.1979,16O,CR39,0.0625
1.1,778.009,2.21,0.1612,0.2035,16O,CR39,0.06875
1.2,822.287,2.33,0.164,0.2085,16O,CR39,0.075
1.3,864.993,2.44,0.1664,0.2129,16O,CR39,0.08125
1.4,905.996,2.56,0.1686,0.2169,16O,CR39,0.0875
1.5,945.427,2.66,0.1705,0.2205,16O,CR39,0.09375
1.6,983.155,2.76,0.1723,0.2238,16O,CR39,0.1
1.7,1019.18,2.86,0.1738,0.2268,16O,CR39,0.10625
1.8,1053.633,2.96,0.1753,0.2296,16O,CR39,0.1125
2.0,1117.692,3.14,0.1788,0.2346,16O,CR39,0.125
2.25,1188.956,3.35,0.183,0.2399,16O,CR39,0.14063
2.5,1250.919,3.56,0.1866,0.2445,16O,CR39,0.15626
2.75,1304.236,3.75,0.1898,0.2485,16O,CR39,0.17188
3.0,1349.3,3.94,0.1927,0.2521,16O,CR39,0.18751
