Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1e-05,2.9213,0.0004,0.0003,0.0002,14N,CR39,0.0
1e-05,3.06409,0.0004,0.0003,0.0002,14N,CR39,0.0
1e-05,3.20033,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.33002,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.45578,0.0005,0.0003,0.0002,14N,CR39,0.0
1e-05,3.57761,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.6942,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.80817,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,3.91952,0.0005,0.0003,0.0002,14N,CR39,0.0
2e-05,4.13043,0.0006,0.0004,0.0003,14N,CR39,0.0
2e-05,4.38195,0.0006,0.0004,0.0003,14N,CR39,0.0
2e-05,4.61906,0.0006,0.0004,0.0003,14N,CR39,0.0
3e-05,4.84438,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.05922,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.2662,0.0007,0.0004,0.0003,14N,CR39,0.0
3e-05,5.46532,0.0007,0.0005,0.0003,14N,CR39,0.0
4e-05,5.65658,0.0008,0.0005,0.0003,14N,CR39,0.0
4e-05,5.8426,0.0008,0.0005,0.0003,14N,CR39,0.0
4e-05,6.1963,0.0008,0.0005,0.0004,14N,CR39,0.0
5e-05,6.53166,0.0009,0.0005,0.0004,14N,CR39,0.0
5e-05,6.84999,0.0009,0.0006,0.0004,14N,CR39,0.0
6e-05,7.15522,0.001,0.0006,0.0004,14N,CR39,0.0
6e-05,7.44735,0.001,0.0006,0.0004,14N,CR39,0.0
7e-05,7.72769,0.0011,0.0006,0.0004,14N,CR39,0.0
8e-05,8.26217,0.0011,0.0007,0.0005,14N,CR39,1e-05
9e-05,8.76259,0.0012,0.0007,0.0005,14N,CR39,1e-05
0.0001,9.23681,0.0013,0.0007,0.0005,14N,CR39,1e-05
0.00011,9.68745,0.0014,0.0008,0.0006,14N,CR39,1e-05
0.00012,10.11844,0.0014,0.0008,0.0006,14N,CR39,1e-05
0.00013,10.5324,0.0015,0.0008,0.0006,14N,CR39,1e-05
0.00014,10.92933,0.0016,0.0009,0.0006,14N,CR39,1e-05
0.00015,11.31316,0.0016,0.0009,0.0007,14N,CR39,1e-05
0.00016,11.68389,0.0017,0.0009,0.0007,14N,CR39,1e-05
0.00017,12.04414,0.0017,0.001,0.0007,14N,CR39,1e-05
0.00018,12.3926,0.0018,0.001,0.0007,14N,CR39,1e-05
0.0002,13.06332,0.0019,0.001,0.0008,14N,CR39,1e-05
0.00022,13.8598,0.002,0.0011,0.0008,14N,CR39,2e-05
0.00025,14.6065,0.0022,0.0012,0.0009,14N,CR39,2e-05
0.00027,15.3139,0.0023,0.0012,0.0009,14N,CR39,2e-05
0.0003,15.9951,0.0024,0.0013,0.0009,14N,CR39,2e-05
0.00032,16.6501,0.0026,0.0013,0.001,14N,CR39,2e-05
0.00035,17.2789,0.0027,0.0014,0.001,14N,CR39,2e-05
0.00037,17.8815,0.0028,0.0015,0.0011,14N,CR39,3e-05
0.0004,18.471,0.0029,0.0015,0.0011,14N,CR39,3e-05
0.00045,19.5976,0.0032,0.0016,0.0012,14N,CR39,3e-05
0.0005,20.6587,0.0034,0.0017,0.0013,14N,CR39,4e-05
0.00055,21.6674,0.0036,0.0018,0.0013,14N,CR39,4e-05
0.0006,22.6237,0.0038,0.0019,0.0014,14N,CR39,4e-05
0.00065,23.5538,0.004,0.002,0.0015,14N,CR39,5e-05
0.0007,24.4446,0.0043,0.0021,0.0015,14N,CR39,5e-05
0.0008,26.1214,0.0047,0.0023,0.0017,14N,CR39,6e-05
0.0009,27.7065,0.0051,0.0024,0.0018,14N,CR39,6e-05
0.001,29.213,0.0055,0.0026,0.0019,14N,CR39,7e-05
0.0011,30.6409,0.0059,0.0027,0.002,14N,CR39,8e-05
0.0012,32.0033,0.0063,0.0029,0.0021,14N,CR39,9e-05
0.0013,33.3002,0.0067,0.0031,0.0023,14N,CR39,9e-05
0.0014,34.5578,0.007,0.0032,0.0024,14N,CR39,0.0001
0.0015,35.7761,0.0074,0.0033,0.0025,14N,CR39,0.00011
0.0016,36.9551,0.0078,0.0035,0.0026,14N,CR39,0.00011
0.0017,38.0817,0.0082,0.0036,0.0027,14N,CR39,0.00012
0.0018,39.1952,0.0085,0.0038,0.0028,14N,CR39,0.00013
0.002,41.3043,0.0093,0.0041,0.003,14N,CR39,0.00014
0.00225,43.8195,0.0102,0.0044,0.0032,14N,CR39,0.00016
0.0025,46.1906,0.0111,0.0047,0.0035,14N,CR39,0.00018
0.00275,48.4438,0.012,0.0051,0.0037,14N,CR39,0.0002
0.003,50.5922,0.0128,0.0054,0.004,14N,CR39,0.00021
0.00325,52.662,0.0137,0.0057,0.0042,14N,CR39,0.00023
0.0035,54.6532,0.0146,0.006,0.0044,14N,CR39,0.00025
0.00375,56.5658,0.0155,0.0063,0.0046,14N,CR39,0.00027
0.004,58.426,0.0164,0.0066,0.0049,14N,CR39,0.00029
0.0045,61.963,0.0181,0.0072,0.0053,14N,CR39,0.00032
0.005,65.3166,0.0199,0.0078,0.0057,14N,CR39,0.00036
0.0055,68.513,0.0216,0.0084,0.0061,14N,CR39,0.00039
0.006,71.5522,0.0233,0.009,0.0066,14N,CR39,0.00043
0.0065,74.4735,0.0251,0.0095,0.007,14N,CR39,0.00046
0.007,77.29,0.0268,0.0101,0.0074,14N,CR39,0.0005
0.008,82.6217,0.0303,0.0112,0.0082,14N,CR39,0.00057
0.009,87.639,0.0338,0.0122,0.0089,14N,CR39,0.00064
0.01,92.3812,0.0373,0.0133,0.0097,14N,CR39,0.00071
0.011,96.8876,0.0408,0.0143,0.0105,14N,CR39,0.00079
0.012,101.1975,0.0443,0.0152,0.0112,14N,CR39,0.00086
0.013,105.324,0.0477,0.0162,0.012,14N,CR39,0.00093
0.014,109.3064,0.0512,0.0171,0.0127,14N,CR39,0.001
0.015,113.1316,0.0547,0.018,0.0134,14N,CR39,0.00107
0.016,116.852,0.0582,0.0189,0.0141,14N,CR39,0.00114
0.017,120.4414,0.0617,0.0198,0.0148,14N,CR39,0.00121
0.018,123.9391,0.0652,0.0207,0.0156,14N,CR39,0.00129
0.02,130.6463,0.0722,0.0223,0.0169,14N,CR39,0.00143
0.0225,138.598,0.0808,0.0243,0.0187,14N,CR39,0.00161
0.025,146.065,0.0895,0.0262,0.0203,14N,CR39,0.00178
0.0275,153.139,0.0981,0.028,0.0219,14N,CR39,0.00196
0.03,158.903,0.1066,0.0297,0.0235,14N,CR39,0.00214
0.0325,164.405,0.1152,0.0314,0.0251,14N,CR39,0.00232
0.035,170.038,0.1237,0.033,0.0266,14N,CR39,0.0025
0.0375,175.409,0.1321,0.0345,0.0281,14N,CR39,0.00268
0.04,180.78,0.1405,0.036,0.0296,14N,CR39,0.00286
0.045,190.474,0.1572,0.0388,0.0324,14N,CR39,0.00321
0.05,199.251,0.1737,0.0415,0.0352,14N,CR39,0.00357
0.055,207.111,0.1901,0.044,0.0378,14N,CR39,0.00393
0.06,214.054,0.2063,0.0463,0.0404,14N,CR39,0.00428
0.065,220.342,0.2223,0.0485,0.0429,14N,CR39,0.00464
0.07,226.106,0.2383,0.0507,0.0452,14N,CR39,0.005
0.08,236.324,0.2699,0.0547,0.0498,14N,CR39,0.00571
0.09,245.363,0.3012,0.0584,0.0542,14N,CR39,0.00643
0.1,253.485,0.3321,0.0619,0.0583,14N,CR39,0.00714
0.11,260.952,0.3627,0.0651,0.0622,14N,CR39,0.00785
0.12,268.157,0.393,0.0681,0.066,14N,CR39,0.00857
0.13,274.969,0.4229,0.0709,0.0696,14N,CR39,0.00928
0.14,281.65,0.4525,0.0736,0.0731,14N,CR39,0.01
0.15,288.2,0.4817,0.0761,0.0765,14N,CR39,0.01071
0.16,294.619,0.5106,0.0785,0.0797,14N,CR39,0.01142
0.17,300.907,0.5391,0.0808,0.0828,14N,CR39,0.01214
0.18,307.326,0.5673,0.0829,0.0858,14N,CR39,0.01285
0.2,319.902,0.6226,0.0871,0.0915,14N,CR39,0.01428
0.225,335.884,0.6896,0.0918,0.0981,14N,CR39,0.01606
0.25,351.997,0.7544,0.096,0.1042,14N,CR39,0.01785
0.275,368.372,0.8169,0.0997,0.1098,14N,CR39,0.01963
0.3,384.878,0.8773,0.1031,0.115,14N,CR39,0.02142
0.325,401.384,0.9357,0.1061,0.1198,14N,CR39,0.0232
0.35,417.89,0.9921,0.1088,0.1243,14N,CR39,0.02499
0.375,434.134,1.05,0.1113,0.1284,14N,CR39,0.02677
0.4,450.247,1.1,0.1135,0.1323,14N,CR39,0.02856
0.45,481.556,1.2,0.1179,0.1393,14N,CR39,0.03213
0.5,511.817,1.3,0.1217,0.1456,14N,CR39,0.0357
0.55,540.899,1.39,0.1249,0.1511,14N,CR39,0.03927
0.6,568.671,1.47,0.1278,0.1561,14N,CR39,0.04284
0.65,595.395,1.56,0.1303,0.1606,14N,CR39,0.04641
0.7,620.94,1.64,0.1325,0.1647,14N,CR39,0.04998
0.8,669.148,1.79,0.1372,0.1719,14N,CR39,0.05712
0.9,713.819,1.93,0.141,0.1781,14N,CR39,0.06425
1.0,755.215,2.06,0.1443,0.1835,14N,CR39,0.07139
1.1,793.991,2.19,0.1472,0.1882,14N,CR39,0.07853
1.2,830.278,2.31,0.1497,0.1925,14N,CR39,0.08567
1.3,864.207,2.42,0.1519,0.1963,14N,CR39,0.09281
1.4,896.04,2.54,0.154,0.1997,14N,CR39,0.09995
1.5,925.908,2.64,0.1558,0.2029,14N,CR39,0.10709
1.6,953.942,2.75,0.1575,0.2058,14N,CR39,0.11423
1.7,980.273,2.85,0.159,0.2085,14N,CR39,0.12137
1.8,1004.901,2.95,0.1605,0.211,14N,CR39,0.12851
2.0,1049.703,3.14,0.1642,0.2156,14N,CR39,0.14279
2.25,1097.78,3.37,0.169,0.2206,14N,CR39,0.16064
2.5,1138.259,3.6,0.1732,0.225,14N,CR39,0.17849
2.75,1172.057,3.81,0.177,0.229,14N,CR39,0.19633
3.0,1200.222,4.02,0.1804,0.2325,14N,CR39,0.21418
3.25,1223.54,4.23,0.1837,0.2358,14N,CR39,0.23203
3.5,1242.797,4.43,0.1867,0.2389,14N,CR39,0.24988
3.75,1258.648,4.63,0.1896,0.2418,14N,CR39,0.26773
4.0,1271.617,4.82,0.1924,0.2445,14N,CR39,0.28558
4.5,1290.612,5.21,0.2014,0.2495,14N,CR39,0.32127
5.0,1302.402,5.6,0.2098,0.254,14N,CR39,0.35697
5.5,1308.952,5.98,0.2177,0.2583,14N,CR39,0.39267
6.0,1311.31,6.36,0.2252,0.2623,14N,CR39,0.42837
