Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.018,69.6265,0.2393,0.0657,0.0642,4He,CR39,0.0045
0.02,73.4517,0.2617,0.0688,0.0682,4He,CR39,0.005
0.0225,77.9581,0.2888,0.0723,0.0728,4He,CR39,0.00562
0.025,82.1763,0.315,0.0753,0.0771,4He,CR39,0.00625
0.0275,86.1718,0.3402,0.0781,0.081,4He,CR39,0.00687
0.03,89.9446,0.3648,0.0806,0.0846,4He,CR39,0.0075
0.0325,93.5078,0.3886,0.0828,0.0879,4He,CR39,0.00812
0.035,96.9007,0.4117,0.0848,0.091,4He,CR39,0.00874
0.0375,100.1102,0.4343,0.0867,0.0939,4He,CR39,0.00937
0.04,103.1756,0.4564,0.0885,0.0967,4He,CR39,0.00999
0.045,108.8872,0.4991,0.0917,0.1017,4He,CR39,0.01124
0.05,114.1403,0.5401,0.0945,0.1063,4He,CR39,0.01249
0.055,119.0397,0.5797,0.097,0.1104,4He,CR39,0.01374
0.06,123.6509,0.6181,0.0992,0.1142,4He,CR39,0.01499
0.065,128.0656,0.6553,0.1012,0.1177,4He,CR39,0.01624
0.07,132.31,0.6914,0.1031,0.121,4He,CR39,0.01749
0.08,140.432,0.7609,0.1065,0.1268,4He,CR39,0.01999
0.09,148.161,0.827,0.1094,0.132,4He,CR39,0.02249
0.1,155.366,0.8902,0.1119,0.1366,4He,CR39,0.02498
0.11,162.44,0.9508,0.1141,0.1407,4He,CR39,0.02748
0.12,168.99,1.01,0.1161,0.1445,4He,CR39,0.02998
0.13,175.278,1.07,0.1179,0.1479,4He,CR39,0.03248
0.14,181.304,1.12,0.1195,0.151,4He,CR39,0.03498
0.15,187.068,1.17,0.1209,0.1539,4He,CR39,0.03748
0.16,192.439,1.22,0.1223,0.1566,4He,CR39,0.03997
0.17,197.548,1.27,0.1235,0.1592,4He,CR39,0.04247
0.18,202.526,1.32,0.1247,0.1615,4He,CR39,0.04497
0.2,211.696,1.42,0.1271,0.1659,4He,CR39,0.04997
0.225,221.783,1.53,0.1299,0.1706,4He,CR39,0.05621
0.25,230.822,1.64,0.1323,0.1749,4He,CR39,0.06246
0.275,238.813,1.75,0.1345,0.1787,4He,CR39,0.06871
0.3,245.756,1.85,0.1365,0.1822,4He,CR39,0.07495
0.325,251.913,1.95,0.1384,0.1854,4He,CR39,0.0812
0.35,257.153,2.04,0.1401,0.1884,4He,CR39,0.08744
0.375,261.869,2.14,0.1416,0.1911,4He,CR39,0.09369
0.4,265.799,2.23,0.1431,0.1938,4He,CR39,0.09994
0.45,271.825,2.42,0.147,0.1986,4He,CR39,0.11243
0.5,276.017,2.6,0.1506,0.203,4He,CR39,0.12492
0.55,278.375,2.78,0.154,0.207,4He,CR39,0.13741
0.6,279.554,2.96,0.1572,0.2109,4He,CR39,0.1499
0.65,279.554,3.13,0.1603,0.2145,4He,CR39,0.16239
0.7,278.637,3.31,0.1633,0.218,4He,CR39,0.17489
0.8,275.1,3.67,0.1729,0.2246,4He,CR39,0.19987
0.9,269.729,4.04,0.1823,0.231,4He,CR39,0.22485
1.0,263.441,4.41,0.1914,0.2371,4He,CR39,0.24984
1.1,256.76,4.8,0.2006,0.2432,4He,CR39,0.27482
1.2,249.948,5.19,0.2097,0.2492,4He,CR39,0.29981
1.3,243.136,5.59,0.2189,0.2553,4He,CR39,0.32479
1.4,236.455,6.01,0.2282,0.2614,4He,CR39,0.34977
1.5,230.036,6.44,0.2376,0.2675,4He,CR39,0.37476
1.6,223.879,6.88,0.2471,0.2737,4He,CR39,0.39974
1.7,217.984,7.33,0.2568,0.2801,4He,CR39,0.42472
1.8,212.351,7.79,0.2665,0.2865,4He,CR39,0.44971
2.0,201.871,8.76,0.3023,0.2998,4He,CR39,0.49968
2.25,189.95,10.03,0.3554,0.3172,4He,CR39,0.56213
2.5,179.339,11.39,0.4069,0.3356,4He,CR39,0.62459
