Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
0.016,56.1859,0.1651,0.0538,0.0456,7Li,CR39,0.00231
0.017,57.8758,0.1754,0.0561,0.048,7Li,CR39,0.00245
0.018,59.5133,0.1858,0.0583,0.0503,7Li,CR39,0.00259
0.02,62.6835,0.2062,0.0625,0.0548,7Li,CR39,0.00288
0.0225,66.4563,0.2314,0.0673,0.0602,7Li,CR39,0.00324
0.025,70.0457,0.2562,0.0717,0.0653,7Li,CR39,0.0036
0.0275,73.4779,0.2805,0.0759,0.0701,7Li,CR39,0.00396
0.03,76.7922,0.3043,0.0797,0.0747,7Li,CR39,0.00432
0.0325,79.9886,0.3278,0.0832,0.079,7Li,CR39,0.00468
0.035,83.0802,0.3508,0.0865,0.0832,7Li,CR39,0.00504
0.0375,86.0801,0.3734,0.0896,0.0871,7Li,CR39,0.0054
0.04,89.0014,0.3956,0.0925,0.0909,7Li,CR39,0.00576
0.045,94.6213,0.4388,0.0979,0.098,7Li,CR39,0.00648
0.05,99.9792,0.4805,0.1026,0.1045,7Li,CR39,0.0072
0.055,105.1144,0.5209,0.1069,0.1105,7Li,CR39,0.00792
0.06,110.04,0.5601,0.1108,0.116,7Li,CR39,0.00864
0.065,114.7822,0.5981,0.1143,0.1212,7Li,CR39,0.00936
0.07,119.3541,0.635,0.1175,0.1261,7Li,CR39,0.01009
0.08,128.0001,0.706,0.1233,0.1348,7Li,CR39,0.01153
0.09,136.109,0.7736,0.1282,0.1426,7Li,CR39,0.01297
0.1,143.576,0.8383,0.1326,0.1496,7Li,CR39,0.01441
0.11,150.65,0.9004,0.1364,0.156,7Li,CR39,0.01585
0.12,157.462,0.9602,0.1397,0.1617,7Li,CR39,0.01729
0.13,163.75,1.02,0.1428,0.167,7Li,CR39,0.01873
0.14,170.038,1.07,0.1455,0.1719,7Li,CR39,0.02017
0.15,176.064,1.13,0.148,0.1764,7Li,CR39,0.02161
0.16,181.828,1.18,0.1503,0.1806,7Li,CR39,0.02305
0.17,187.723,1.23,0.1524,0.1846,7Li,CR39,0.02449
0.18,193.487,1.28,0.1543,0.1883,7Li,CR39,0.02593
0.2,204.753,1.38,0.1581,0.195,7Li,CR39,0.02881
0.225,218.639,1.49,0.1622,0.2023,7Li,CR39,0.03242
0.25,232.263,1.6,0.1657,0.2088,7Li,CR39,0.03602
0.275,245.494,1.7,0.1687,0.2145,7Li,CR39,0.03962
0.3,258.201,1.8,0.1713,0.2195,7Li,CR39,0.04322
0.325,270.646,1.89,0.1736,0.2241,7Li,CR39,0.04682
0.35,282.567,1.98,0.1756,0.2282,7Li,CR39,0.05043
0.375,294.095,2.06,0.1775,0.2319,7Li,CR39,0.05403
0.4,305.099,2.14,0.1791,0.2353,7Li,CR39,0.05763
0.45,325.666,2.3,0.1827,0.2414,7Li,CR39,0.06483
0.5,344.399,2.45,0.1857,0.2467,7Li,CR39,0.07204
0.55,361.429,2.59,0.1883,0.2513,7Li,CR39,0.07924
0.6,376.625,2.72,0.1906,0.2554,7Li,CR39,0.08644
0.65,390.38,2.85,0.1927,0.2591,7Li,CR39,0.09365
0.7,402.563,2.97,0.1945,0.2624,7Li,CR39,0.10085
0.8,423.261,3.21,0.1993,0.2684,7Li,CR39,0.11526
0.9,439.374,3.44,0.2035,0.2735,7Li,CR39,0.12966
1.0,451.819,3.67,0.2073,0.278,7Li,CR39,0.14407
1.1,461.382,3.88,0.2107,0.2822,7Li,CR39,0.15848
1.2,468.325,4.1,0.214,0.2859,7Li,CR39,0.17289
1.3,473.172,4.31,0.217,0.2894,7Li,CR39,0.18729
1.4,476.316,4.52,0.22,0.2927,7Li,CR39,0.2017
1.5,478.15,4.73,0.2228,0.2958,7Li,CR39,0.21611
1.6,478.805,4.94,0.2256,0.2988,7Li,CR39,0.23051
1.7,478.412,5.15,0.2283,0.3017,7Li,CR39,0.24492
1.8,477.233,5.35,0.2309,0.3044,7Li,CR39,0.25933
2.0,473.172,5.77,0.2398,0.3097,7Li,CR39,0.28814
2.25,465.705,6.3,0.2529,0.3159,7Li,CR39,0.32416
2.5,456.535,6.85,0.2657,0.3219,7Li,CR39,0.36018
2.75,446.448,7.4,0.2784,0.3277,7Li,CR39,0.3962
3.0,435.837,7.96,0.2911,0.3335,7Li,CR39,0.43221
3.25,424.964,8.54,0.3037,0.3392,7Li,CR39,0.46823
3.5,414.091,9.14,0.3165,0.345,7Li,CR39,0.50425
3.75,403.218,9.75,0.3294,0.3507,7Li,CR39,0.54027
4.0,392.738,10.38,0.3425,0.3566,7Li,CR39,0.57629
4.5,372.302,11.68,0.3916,0.3685,7Li,CR39,0.64832
5.0,353.438,13.06,0.4397,0.3809,7Li,CR39,0.72036
5.5,335.884,14.51,0.4875,0.3938,7Li,CR39,0.79239
6.0,319.902,16.03,0.5354,0.4074,7Li,CR39,0.86443
6.5,305.23,17.63,0.5835,0.4217,7Li,CR39,0.93646
7.0,291.868,19.31,0.6322,0.4367,7Li,CR39,1.0085
8.0,268.419,22.88,0.8134,0.469,7Li,CR39,1.15257
9.0,248.9,26.74,0.9844,0.5044,7Li,CR39,1.29664
10.0,232.263,30.9,1.15,0.5431,7Li,CR39,1.44071
11.0,217.984,35.34,1.32,0.5851,7Li,CR39,1.58479
12.0,205.67,40.06,1.48,0.6302,7Li,CR39,1.72886
13.0,194.797,45.06,1.64,0.6784,7Li,CR39,1.87293
14.0,185.234,50.32,1.81,0.7296,7Li,CR39,2.017
15.0,177.898,55.82,1.98,0.7835,7Li,CR39,2.16107
