 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in  H- C- O

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
9.99999 eV    1.074E-02  1.432E-01       5 A         4 A         3 A   
10.9999 eV    1.127E-02  1.495E-01       5 A         4 A         3 A   
11.9999 eV    1.177E-02  1.553E-01       5 A         4 A         3 A   
12.9999 eV    1.225E-02  1.608E-01       5 A         4 A         3 A   
13.9999 eV    1.271E-02  1.660E-01       5 A         4 A         3 A   
14.9999 eV    1.316E-02  1.710E-01       6 A         4 A         3 A   
15.9999 eV    1.359E-02  1.757E-01       6 A         4 A         3 A   
16.9999 eV    1.401E-02  1.801E-01       6 A         5 A         3 A   
17.9999 eV    1.441E-02  1.844E-01       6 A         5 A         3 A   
19.9999 eV    1.519E-02  1.924E-01       6 A         5 A         4 A   
22.4999 eV    1.611E-02  2.016E-01       7 A         5 A         4 A   
24.9999 eV    1.699E-02  2.100E-01       7 A         6 A         4 A   
27.4999 eV    1.781E-02  2.178E-01       8 A         6 A         4 A   
29.9999 eV    1.861E-02  2.249E-01       8 A         6 A         4 A   
32.4999 eV    1.937E-02  2.316E-01       9 A         6 A         5 A   
34.9999 eV    2.010E-02  2.378E-01       9 A         7 A         5 A   
37.4999 eV    2.080E-02  2.437E-01       9 A         7 A         5 A   
39.9999 eV    2.148E-02  2.492E-01      10 A         7 A         5 A   
