 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   5.270E-01  1.395E+00     532 A       189 A       135 A   
  13.00 keV   5.485E-01  1.371E+00     575 A       202 A       144 A   
  14.00 keV   5.692E-01  1.348E+00     618 A       214 A       154 A   
  15.00 keV   5.892E-01  1.325E+00     662 A       227 A       163 A   
  16.00 keV   6.086E-01  1.302E+00     705 A       239 A       172 A   
  17.00 keV   6.273E-01  1.281E+00     749 A       252 A       181 A   
  18.00 keV   6.455E-01  1.260E+00     793 A       264 A       190 A   
  20.00 keV   6.804E-01  1.221E+00     882 A       288 A       208 A   
  22.50 keV   7.217E-01  1.175E+00     994 A       318 A       231 A   
  25.00 keV   7.607E-01  1.133E+00    1106 A       346 A       253 A   
  27.50 keV   7.979E-01  1.094E+00    1219 A       374 A       276 A   
  30.00 keV   8.333E-01  1.058E+00    1333 A       402 A       298 A   
  32.50 keV   8.674E-01  1.025E+00    1448 A       428 A       320 A   
  35.00 keV   8.982E-01  9.940E-01    1563 A       455 A       343 A   
  37.50 keV   9.253E-01  9.652E-01    1678 A       480 A       364 A   
  40.00 keV   9.495E-01  9.384E-01    1794 A       505 A       386 A   
  45.00 keV   9.921E-01  8.896E-01    2027 A       554 A       430 A   
  50.00 keV   1.029E+00  8.465E-01    2263 A       602 A       473 A   
  55.00 keV   1.064E+00  8.080E-01    2500 A       648 A       515 A   
  60.00 keV   1.096E+00  7.734E-01    2739 A       693 A       557 A   
  65.00 keV   1.127E+00  7.421E-01    2979 A       737 A       599 A   
  70.00 keV   1.157E+00  7.137E-01    3220 A       779 A       640 A   
  80.00 keV   1.215E+00  6.639E-01    3703 A       861 A       721 A   
  90.00 keV   1.273E+00  6.215E-01    4186 A       938 A       800 A   
 100.00 keV   1.329E+00  5.850E-01    4666 A      1010 A       877 A   
 110.00 keV   1.385E+00  5.532E-01    5144 A      1078 A       952 A   
 120.00 keV   1.441E+00  5.251E-01    5616 A      1142 A      1024 A   
 130.00 keV   1.495E+00  5.002E-01    6084 A      1203 A      1095 A   
 140.00 keV   1.549E+00  4.778E-01    6546 A      1260 A      1163 A   
 150.00 keV   1.602E+00  4.576E-01    7002 A      1314 A      1229 A   
 160.00 keV   1.655E+00  4.393E-01    7452 A      1365 A      1292 A   
 170.00 keV   1.707E+00  4.226E-01    7896 A      1413 A      1354 A   
 180.00 keV   1.758E+00  4.073E-01    8334 A      1459 A      1413 A   
 200.00 keV   1.858E+00  3.802E-01    9190 A      1545 A      1526 A   
 225.00 keV   1.979E+00  3.516E-01    1.02 um     1643 A      1657 A   
 250.00 keV   2.097E+00  3.275E-01    1.12 um     1730 A      1778 A   
 275.00 keV   2.212E+00  3.069E-01    1.22 um     1807 A      1889 A   
 300.00 keV   2.325E+00  2.890E-01    1.31 um     1877 A      1993 A   
 325.00 keV   2.435E+00  2.733E-01    1.40 um     1939 A      2089 A   
 350.00 keV   2.543E+00  2.594E-01    1.49 um     1996 A      2178 A   
 375.00 keV   2.649E+00  2.470E-01    1.57 um     2048 A      2261 A   
 400.00 keV   2.753E+00  2.359E-01    1.66 um     2096 A      2339 A   
 450.00 keV   2.958E+00  2.167E-01    1.81 um     2185 A      2481 A   
 500.00 keV   3.159E+00  2.006E-01    1.96 um     2262 A      2607 A   
 550.00 keV   3.356E+00  1.871E-01    2.10 um     2328 A      2719 A   
 600.00 keV   3.550E+00  1.754E-01    2.24 um     2385 A      2820 A   
 650.00 keV   3.741E+00  1.652E-01    2.37 um     2436 A      2912 A   
 700.00 keV   3.931E+00  1.563E-01    2.49 um     2480 A      2995 A   
