 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C- O

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -5.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  11.00 keV   4.635E-01  7.139E-03    2130 A       525 A       555 A   
  12.00 keV   4.820E-01  6.713E-03    2275 A       538 A       575 A   
  13.00 keV   4.994E-01  6.341E-03    2417 A       550 A       594 A   
  14.00 keV   5.159E-01  6.013E-03    2554 A       560 A       611 A   
  15.00 keV   5.316E-01  5.720E-03    2689 A       570 A       628 A   
  16.00 keV   5.464E-01  5.458E-03    2820 A       579 A       643 A   
  17.00 keV   5.605E-01  5.221E-03    2948 A       588 A       658 A   
  18.00 keV   5.740E-01  5.006E-03    3074 A       596 A       671 A   
  20.00 keV   5.989E-01  4.631E-03    3319 A       610 A       697 A   
  22.50 keV   6.270E-01  4.240E-03    3613 A       627 A       725 A   
  25.00 keV   6.520E-01  3.917E-03    3897 A       641 A       751 A   
  27.50 keV   6.743E-01  3.643E-03    4173 A       654 A       775 A   
  30.00 keV   6.943E-01  3.409E-03    4441 A       666 A       797 A   
  32.50 keV   7.122E-01  3.206E-03    4702 A       676 A       817 A   
  35.00 keV   7.283E-01  3.027E-03    4958 A       686 A       836 A   
  37.50 keV   7.426E-01  2.870E-03    5210 A       695 A       854 A   
  40.00 keV   7.555E-01  2.729E-03    5457 A       703 A       870 A   
  45.00 keV   7.772E-01  2.489E-03    5942 A       720 A       902 A   
  50.00 keV   7.942E-01  2.290E-03    6416 A       735 A       930 A   
  55.00 keV   8.072E-01  2.124E-03    6883 A       749 A       957 A   
  60.00 keV   8.166E-01  1.982E-03    7344 A       762 A       982 A   
  65.00 keV   8.230E-01  1.859E-03    7801 A       774 A      1005 A   
  70.00 keV   8.267E-01  1.751E-03    8256 A       785 A      1028 A   
  80.00 keV   8.275E-01  1.573E-03    9165 A       812 A      1070 A   
  90.00 keV   8.214E-01  1.429E-03    1.01 um      837 A      1110 A   
 100.00 keV   8.103E-01  1.312E-03    1.10 um      861 A      1149 A   
 110.00 keV   7.959E-01  1.213E-03    1.19 um      884 A      1187 A   
 120.00 keV   7.793E-01  1.130E-03    1.29 um      907 A      1224 A   
 130.00 keV   7.613E-01  1.057E-03    1.39 um      930 A      1261 A   
 140.00 keV   7.428E-01  9.946E-04    1.49 um      954 A      1297 A   
 150.00 keV   7.241E-01  9.394E-04    1.59 um      977 A      1334 A   
 160.00 keV   7.055E-01  8.904E-04    1.70 um     1001 A      1372 A   
 170.00 keV   6.874E-01  8.466E-04    1.81 um     1025 A      1409 A   
 180.00 keV   6.697E-01  8.071E-04    1.92 um     1050 A      1448 A   
 200.00 keV   6.364E-01  7.391E-04    2.15 um     1125 A      1526 A   
 225.00 keV   5.986E-01  6.695E-04    2.46 um     1236 A      1629 A   
 250.00 keV   5.649E-01  6.127E-04    2.79 um     1350 A      1737 A   
 275.00 keV   5.350E-01  5.653E-04    3.13 um     1467 A      1850 A   
 300.00 keV   5.084E-01  5.251E-04    3.49 um     1586 A      1969 A   
 325.00 keV   4.847E-01  4.906E-04    3.88 um     1709 A      2094 A   
 350.00 keV   4.635E-01  4.607E-04    4.28 um     1834 A      2225 A   
 375.00 keV   4.443E-01  4.344E-04    4.70 um     1962 A      2362 A   
 400.00 keV   4.270E-01  4.111E-04    5.13 um     2092 A      2504 A   
 450.00 keV   3.968E-01  3.717E-04    6.06 um     2533 A      2807 A   
 500.00 keV   3.714E-01  3.396E-04    7.05 um     2962 A      3130 A   
 550.00 keV   3.497E-01  3.128E-04    8.10 um     3386 A      3475 A   
 600.00 keV   3.309E-01  2.902E-04    9.22 um     3808 A      3840 A   
 650.00 keV   3.145E-01  2.709E-04   10.40 um     4230 A      4224 A   
 700.00 keV   3.001E-01  2.540E-04   11.64 um     4654 A      4626 A   
 800.00 keV   2.759E-01  2.263E-04   14.28 um     6107 A      5480 A   
 900.00 keV   2.564E-01  2.043E-04   17.14 um     7465 A      6399 A   
   1.00 MeV   2.404E-01  1.863E-04   20.21 um     8776 A      7375 A   
   1.10 MeV   2.301E-01  1.715E-04   23.45 um     1.00 um     8396 A   
   1.20 MeV   2.200E-01  1.589E-04   26.83 um     1.13 um     9454 A   
   1.30 MeV   2.092E-01  1.482E-04   30.38 um     1.25 um     1.06 um  
   1.40 MeV   1.995E-01  1.388E-04   34.11 um     1.37 um     1.17 um  
   1.50 MeV   1.907E-01  1.307E-04   38.01 um     1.50 um     1.29 um  
   1.60 MeV   1.826E-01  1.235E-04   42.09 um     1.62 um     1.41 um  
   1.70 MeV   1.752E-01  1.171E-04   46.35 um     1.75 um     1.54 um  
   1.80 MeV   1.683E-01  1.113E-04   50.78 um     1.88 um     1.67 um  
   2.00 MeV   1.561E-01  1.014E-04   60.18 um     2.34 um     1.95 um  
   2.25 MeV   1.431E-01  9.141E-05   72.93 um     3.00 um     2.32 um  
   2.50 MeV   1.322E-01  8.327E-05   86.77 um     3.63 um     2.72 um  
   2.75 MeV   1.230E-01  7.653E-05  101.70 um     4.24 um     3.15 um  
   3.00 MeV   1.151E-01  7.084E-05  117.71 um     4.86 um     3.60 um  
   3.25 MeV   1.082E-01  6.598E-05  134.77 um     5.48 um     4.08 um  
   3.50 MeV   1.022E-01  6.177E-05  152.87 um     6.11 um     4.59 um  
   3.75 MeV   9.691E-02  5.809E-05  172.01 um     6.74 um     5.13 um  
   4.00 MeV   9.216E-02  5.484E-05  192.16 um     7.39 um     5.69 um  
   4.50 MeV   8.406E-02  4.937E-05  235.45 um     9.72 um     6.89 um  
   5.00 MeV   7.738E-02  4.493E-05  282.69 um    11.92 um     8.20 um  
   5.50 MeV   7.177E-02  4.126E-05  333.81 um    14.07 um     9.60 um  
   6.00 MeV   6.699E-02  3.817E-05  388.76 um    16.22 um    11.10 um  
   6.50 MeV   6.286E-02  3.552E-05  447.47 um    18.38 um    12.70 um  
   7.00 MeV   5.925E-02  3.324E-05  509.90 um    20.56 um    14.39 um  
   8.00 MeV   5.324E-02  2.948E-05  645.59 um    28.43 um    18.05 um  
   9.00 MeV   4.843E-02  2.651E-05  795.68 um    35.80 um    22.08 um  
  10.00 MeV   4.448E-02  2.411E-05  959.88 um    43.02 um    26.46 um  
  11.00 MeV   4.118E-02  2.213E-05    1.14 mm    50.23 um    31.18 um  
  12.00 MeV   3.838E-02  2.045E-05    1.33 mm    57.50 um    36.25 um  
  13.00 MeV   3.596E-02  1.903E-05    1.53 mm    64.85 um    41.65 um  
  14.00 MeV   3.386E-02  1.779E-05    1.75 mm    72.32 um    47.38 um  
  15.00 MeV   3.201E-02  1.672E-05    1.98 mm    79.91 um    53.44 um  
  16.00 MeV   3.037E-02  1.577E-05    2.23 mm    87.64 um    59.81 um  
  17.00 MeV   2.891E-02  1.492E-05    2.49 mm    95.49 um    66.51 um  
  18.00 MeV   2.759E-02  1.417E-05    2.76 mm   103.48 um    73.51 um  
  20.00 MeV   2.532E-02  1.288E-05    3.33 mm   132.98 um    88.43 um  
  22.50 MeV   2.300E-02  1.157E-05    4.12 mm   175.15 um   108.77 um  
  25.00 MeV   2.111E-02  1.051E-05    4.99 mm   215.23 um   130.94 um  
  27.50 MeV   1.953E-02  9.640E-06    5.93 mm   254.60 um   154.89 um  
  30.00 MeV   1.820E-02  8.905E-06    6.94 mm   293.85 um   180.57 um  
  32.50 MeV   1.705E-02  8.279E-06    8.02 mm   333.31 um   207.95 um  
  35.00 MeV   1.606E-02  7.737E-06    9.17 mm   373.15 um   236.98 um  
  37.50 MeV   1.519E-02  7.265E-06   10.39 mm   413.46 um   267.65 um  
  40.00 MeV   1.442E-02  6.849E-06   11.68 mm   454.31 um   299.90 um  
  45.00 MeV   1.312E-02  6.150E-06   14.45 mm   604.69 um   369.10 um  
  50.00 MeV   1.206E-02  5.585E-06   17.48 mm   746.12 um   444.33 um  
  55.00 MeV   1.118E-02  5.118E-06   20.76 mm   884.07 um   525.38 um  
  60.00 MeV   1.044E-02  4.726E-06   24.29 mm     1.02 mm   612.07 um  
  65.00 MeV   9.803E-03  4.392E-06   28.06 mm     1.16 mm   704.20 um  
  70.00 MeV   9.253E-03  4.103E-06   32.06 mm     1.30 mm   801.61 um  
  80.00 MeV   8.347E-03  3.630E-06   40.74 mm     1.80 mm     1.01 mm  
  90.00 MeV   7.631E-03  3.257E-06   50.29 mm     2.26 mm     1.24 mm  
 100.00 MeV   7.050E-03  2.957E-06   60.69 mm     2.71 mm     1.49 mm  
 110.00 MeV   6.570E-03  2.708E-06   71.89 mm     3.15 mm     1.75 mm  
 120.00 MeV   6.165E-03  2.500E-06   83.87 mm     3.60 mm     2.03 mm  
 130.00 MeV   5.820E-03  2.322E-06   96.60 mm     4.04 mm     2.33 mm  
 140.00 MeV   5.522E-03  2.169E-06  110.05 mm     4.48 mm     2.64 mm  
 150.00 MeV   5.262E-03  2.035E-06  124.20 mm     4.93 mm     2.97 mm  
 160.00 MeV   5.032E-03  1.917E-06  139.01 mm     5.38 mm     3.31 mm  
 170.00 MeV   4.829E-03  1.813E-06  154.48 mm     5.83 mm     3.66 mm  
 180.00 MeV   4.648E-03  1.720E-06  170.57 mm     6.28 mm     4.02 mm  
 200.00 MeV   4.338E-03  1.560E-06  204.54 mm     7.95 mm     4.78 mm  
 225.00 MeV   4.025E-03  1.399E-06  250.17 mm    10.29 mm     5.79 mm  
 250.00 MeV   3.773E-03  1.269E-06  299.10 mm    12.46 mm     6.86 mm  
 275.00 MeV   3.567E-03  1.162E-06  351.07 mm    14.52 mm     7.98 mm  
 300.00 MeV   3.394E-03  1.072E-06  405.86 mm    16.52 mm     9.14 mm  
 325.00 MeV   3.248E-03  9.954E-07  463.28 mm    18.47 mm    10.35 mm  
 350.00 MeV   3.123E-03  9.293E-07  523.15 mm    20.38 mm    11.59 mm  
 375.00 MeV   3.014E-03  8.717E-07  585.29 mm    22.26 mm    12.86 mm  
 400.00 MeV   2.920E-03  8.211E-07  649.55 mm    24.12 mm    14.16 mm  
 450.00 MeV   2.763E-03  7.360E-07  783.84 mm    30.82 mm    16.83 mm  
 500.00 MeV   2.638E-03  6.674E-07  925.11 mm    36.85 mm    19.57 mm  
 550.00 MeV   2.537E-03  6.108E-07    1.07 m     42.47 mm    22.38 mm  
 600.00 MeV   2.454E-03  5.633E-07    1.23 m     47.78 mm    25.22 mm  
 650.00 MeV   2.385E-03  5.229E-07    1.38 m     52.85 mm    28.10 mm  
