 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- O

 Ion = Beryllium [4] , Mass = 9.012 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   3.323E-01  4.205E-01    1177 A       440 A       330 A   
  13.00 keV   3.459E-01  4.060E-01    1283 A       472 A       356 A   
  14.00 keV   3.589E-01  3.926E-01    1391 A       503 A       383 A   
  15.00 keV   3.715E-01  3.803E-01    1498 A       533 A       409 A   
  16.00 keV   3.837E-01  3.688E-01    1607 A       562 A       435 A   
  17.00 keV   3.955E-01  3.582E-01    1715 A       592 A       462 A   
  18.00 keV   4.070E-01  3.482E-01    1824 A       620 A       488 A   
  20.00 keV   4.211E-01  3.301E-01    2044 A       676 A       539 A   
  22.50 keV   4.387E-01  3.104E-01    2323 A       744 A       603 A   
  25.00 keV   4.566E-01  2.933E-01    2603 A       809 A       666 A   
  27.50 keV   4.749E-01  2.782E-01    2886 A       873 A       728 A   
  30.00 keV   4.935E-01  2.649E-01    3168 A       933 A       789 A   
  32.50 keV   5.123E-01  2.529E-01    3450 A       991 A       849 A   
  35.00 keV   5.313E-01  2.422E-01    3730 A      1047 A       908 A   
  37.50 keV   5.503E-01  2.325E-01    4009 A      1100 A       965 A   
  40.00 keV   5.693E-01  2.236E-01    4286 A      1151 A      1021 A   
  45.00 keV   6.072E-01  2.080E-01    4832 A      1247 A      1130 A   
  50.00 keV   6.447E-01  1.947E-01    5367 A      1335 A      1233 A   
  55.00 keV   6.817E-01  1.833E-01    5890 A      1416 A      1330 A   
  60.00 keV   7.179E-01  1.732E-01    6401 A      1490 A      1423 A   
  65.00 keV   7.533E-01  1.644E-01    6900 A      1558 A      1510 A   
  70.00 keV   7.878E-01  1.565E-01    7388 A      1622 A      1593 A   
  80.00 keV   8.543E-01  1.431E-01    8329 A      1737 A      1746 A   
  90.00 keV   9.174E-01  1.321E-01    9229 A      1836 A      1885 A   
 100.00 keV   9.772E-01  1.228E-01    1.01 um     1924 A      2010 A   
 110.00 keV   1.034E+00  1.149E-01    1.09 um     2002 A      2125 A   
 120.00 keV   1.088E+00  1.080E-01    1.17 um     2071 A      2231 A   
 130.00 keV   1.139E+00  1.020E-01    1.25 um     2134 A      2328 A   
 140.00 keV   1.189E+00  9.671E-02    1.32 um     2191 A      2419 A   
 150.00 keV   1.236E+00  9.200E-02    1.40 um     2243 A      2503 A   
 160.00 keV   1.281E+00  8.777E-02    1.47 um     2290 A      2581 A   
 170.00 keV   1.325E+00  8.396E-02    1.54 um     2334 A      2655 A   
 180.00 keV   1.367E+00  8.050E-02    1.60 um     2374 A      2724 A   
 200.00 keV   1.447E+00  7.445E-02    1.73 um     2450 A      2851 A   
 225.00 keV   1.542E+00  6.817E-02    1.89 um     2533 A      2992 A   
 250.00 keV   1.632E+00  6.295E-02    2.03 um     2605 A      3117 A   
 275.00 keV   1.717E+00  5.855E-02    2.17 um     2667 A      3229 A   
 300.00 keV   1.800E+00  5.478E-02    2.31 um     2722 A      3329 A   
 325.00 keV   1.880E+00  5.151E-02    2.44 um     2771 A      3420 A   
 350.00 keV   1.958E+00  4.864E-02    2.56 um     2814 A      3504 A   
 375.00 keV   2.035E+00  4.610E-02    2.68 um     2854 A      3580 A   
 400.00 keV   2.111E+00  4.383E-02    2.80 um     2889 A      3651 A   
 450.00 keV   2.258E+00  3.996E-02    3.02 um     2959 A      3777 A   
 500.00 keV   2.403E+00  3.677E-02    3.23 um     3019 A      3886 A   
 550.00 keV   2.545E+00  3.409E-02    3.42 um     3069 A      3982 A   
 600.00 keV   2.684E+00  3.181E-02    3.61 um     3113 A      4067 A   
 650.00 keV   2.821E+00  2.983E-02    3.79 um     3152 A      4143 A   
 700.00 keV   2.956E+00  2.811E-02    3.96 um     3186 A      4211 A   
 800.00 keV   3.216E+00  2.523E-02    4.27 um     3259 A      4329 A   
 900.00 keV   3.464E+00  2.293E-02    4.57 um     3319 A      4428 A   
   1.00 MeV   3.696E+00  2.104E-02    4.84 um     3369 A      4512 A   
   1.10 MeV   3.912E+00  1.946E-02    5.10 um     3412 A      4585 A   
   1.20 MeV   4.111E+00  1.812E-02    5.35 um     3449 A      4649 A   
   1.30 MeV   4.292E+00  1.696E-02    5.59 um     3482 A      4705 A   
   1.40 MeV   4.455E+00  1.595E-02    5.81 um     3512 A      4757 A   
   1.50 MeV   4.600E+00  1.506E-02    6.03 um     3539 A      4803 A   
   1.60 MeV   4.729E+00  1.428E-02    6.25 um     3564 A      4845 A   
   1.70 MeV   4.843E+00  1.357E-02    6.45 um     3587 A      4885 A   
   1.80 MeV   4.942E+00  1.294E-02    6.66 um     3609 A      4921 A   
   2.00 MeV   5.102E+00  1.185E-02    7.05 um     3670 A      4988 A   
   2.25 MeV   5.242E+00  1.073E-02    7.53 um     3752 A      5061 A   
   2.50 MeV   5.329E+00  9.819E-03    8.01 um     3828 A      5126 A   
   2.75 MeV   5.379E+00  9.059E-03    8.47 um     3900 A      5186 A   
   3.00 MeV   5.399E+00  8.415E-03    8.93 um     3968 A      5241 A   
   3.25 MeV   5.399E+00  7.861E-03    9.39 um     4035 A      5293 A   
   3.50 MeV   5.382E+00  7.381E-03    9.86 um     4100 A      5342 A   
   3.75 MeV   5.353E+00  6.959E-03   10.32 um     4164 A      5389 A   
   4.00 MeV   5.314E+00  6.585E-03   10.79 um     4228 A      5434 A   
   4.50 MeV   5.216E+00  5.954E-03   11.74 um     4456 A      5521 A   
   5.00 MeV   5.099E+00  5.439E-03   12.71 um     4681 A      5605 A   
   5.50 MeV   4.970E+00  5.010E-03   13.70 um     4905 A      5686 A   
   6.00 MeV   4.835E+00  4.648E-03   14.72 um     5131 A      5766 A   
   6.50 MeV   4.698E+00  4.337E-03   15.76 um     5358 A      5846 A   
   7.00 MeV   4.562E+00  4.068E-03   16.84 um     5589 A      5927 A   
   8.00 MeV   4.300E+00  3.623E-03   19.10 um     6467 A      6090 A   
   9.00 MeV   4.055E+00  3.270E-03   21.49 um     7330 A      6259 A   
  10.00 MeV   3.832E+00  2.983E-03   24.02 um     8189 A      6437 A   
  11.00 MeV   3.629E+00  2.745E-03   26.70 um     9054 A      6624 A   
  12.00 MeV   3.445E+00  2.544E-03   29.53 um     9928 A      6822 A   
  13.00 MeV   3.278E+00  2.371E-03   32.50 um     1.08 um     7031 A   
  14.00 MeV   3.126E+00  2.222E-03   35.63 um     1.17 um     7253 A   
  15.00 MeV   2.988E+00  2.091E-03   38.90 um     1.26 um     7488 A   
  16.00 MeV   2.861E+00  1.976E-03   42.32 um     1.36 um     7737 A   
  17.00 MeV   2.746E+00  1.873E-03   45.88 um     1.45 um     7999 A   
  18.00 MeV   2.639E+00  1.781E-03   49.59 um     1.55 um     8276 A   
  20.00 MeV   2.501E+00  1.623E-03   57.37 um     1.90 um     8867 A   
  22.50 MeV   2.315E+00  1.463E-03   67.76 um     2.41 um     9675 A   
  25.00 MeV   2.137E+00  1.332E-03   79.00 um     2.90 um     1.06 um  
  27.50 MeV   1.988E+00  1.224E-03   91.12 um     3.37 um     1.15 um  
  30.00 MeV   1.860E+00  1.133E-03  104.12 um     3.85 um     1.26 um  
  32.50 MeV   1.750E+00  1.055E-03  117.97 um     4.33 um     1.37 um  
  35.00 MeV   1.654E+00  9.881E-04  132.66 um     4.81 um     1.50 um  
  37.50 MeV   1.569E+00  9.292E-04  148.17 um     5.30 um     1.63 um  
  40.00 MeV   1.493E+00  8.772E-04  164.50 um     5.79 um     1.77 um  
  45.00 MeV   1.364E+00  7.897E-04  199.52 um     7.64 um     2.06 um  
  50.00 MeV   1.257E+00  7.187E-04  237.70 um     9.37 um     2.39 um  
  55.00 MeV   1.167E+00  6.599E-04  278.98 um    11.06 um     2.75 um  
  60.00 MeV   1.089E+00  6.104E-04  323.33 um    12.74 um     3.13 um  
  65.00 MeV   1.021E+00  5.681E-04  370.74 um    14.42 um     3.53 um  
  70.00 MeV   9.613E-01  5.315E-04  421.19 um    16.12 um     3.97 um  
  80.00 MeV   8.604E-01  4.714E-04  531.13 um    22.44 um     4.91 um  
  90.00 MeV   7.783E-01  4.240E-04  653.31 um    28.38 um     5.96 um  
