 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- C- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   4.326E-01  7.303E-02    1672 A       539 A       497 A   
  13.00 keV   4.505E-01  6.957E-02    1797 A       562 A       524 A   
  14.00 keV   4.678E-01  6.646E-02    1921 A       583 A       550 A   
  15.00 keV   4.845E-01  6.366E-02    2042 A       604 A       574 A   
  16.00 keV   5.007E-01  6.112E-02    2161 A       622 A       598 A   
  17.00 keV   5.163E-01  5.880E-02    2278 A       640 A       620 A   
  18.00 keV   5.315E-01  5.668E-02    2393 A       657 A       642 A   
  20.00 keV   5.607E-01  5.291E-02    2617 A       688 A       682 A   
  22.50 keV   5.951E-01  4.894E-02    2888 A       723 A       728 A   
  25.00 keV   6.273E-01  4.559E-02    3150 A       753 A       771 A   
  27.50 keV   6.578E-01  4.273E-02    3402 A       781 A       810 A   
  30.00 keV   6.866E-01  4.024E-02    3648 A       806 A       846 A   
  32.50 keV   7.138E-01  3.806E-02    3886 A       828 A       879 A   
  35.00 keV   7.397E-01  3.613E-02    4117 A       848 A       910 A   
  37.50 keV   7.642E-01  3.441E-02    4343 A       867 A       939 A   
  40.00 keV   7.876E-01  3.286E-02    4564 A       885 A       967 A   
  45.00 keV   8.312E-01  3.019E-02    4991 A       917 A      1017 A   
  50.00 keV   8.713E-01  2.796E-02    5401 A       945 A      1063 A   
  55.00 keV   9.087E-01  2.608E-02    5797 A       970 A      1104 A   
  60.00 keV   9.439E-01  2.445E-02    6181 A       992 A      1142 A   
  65.00 keV   9.776E-01  2.304E-02    6553 A      1012 A      1177 A   
  70.00 keV   1.010E+00  2.179E-02    6914 A      1031 A      1210 A   
  80.00 keV   1.072E+00  1.970E-02    7609 A      1065 A      1268 A   
  90.00 keV   1.131E+00  1.801E-02    8270 A      1094 A      1320 A   
 100.00 keV   1.186E+00  1.661E-02    8902 A      1119 A      1366 A   
 110.00 keV   1.240E+00  1.543E-02    9508 A      1141 A      1407 A   
 120.00 keV   1.290E+00  1.442E-02    1.01 um     1161 A      1445 A   
 130.00 keV   1.338E+00  1.355E-02    1.07 um     1179 A      1479 A   
 140.00 keV   1.384E+00  1.278E-02    1.12 um     1195 A      1510 A   
 150.00 keV   1.428E+00  1.210E-02    1.17 um     1209 A      1539 A   
 160.00 keV   1.469E+00  1.150E-02    1.22 um     1223 A      1566 A   
 170.00 keV   1.508E+00  1.096E-02    1.27 um     1235 A      1592 A   
 180.00 keV   1.546E+00  1.047E-02    1.32 um     1247 A      1615 A   
 200.00 keV   1.616E+00  9.627E-03    1.42 um     1271 A      1659 A   
 225.00 keV   1.693E+00  8.757E-03    1.53 um     1299 A      1706 A   
 250.00 keV   1.762E+00  8.042E-03    1.64 um     1323 A      1749 A   
 275.00 keV   1.823E+00  7.444E-03    1.75 um     1345 A      1787 A   
 300.00 keV   1.876E+00  6.934E-03    1.85 um     1365 A      1822 A   
 325.00 keV   1.923E+00  6.495E-03    1.95 um     1384 A      1854 A   
 350.00 keV   1.963E+00  6.112E-03    2.04 um     1401 A      1884 A   
 375.00 keV   1.999E+00  5.774E-03    2.14 um     1416 A      1911 A   
 400.00 keV   2.029E+00  5.475E-03    2.23 um     1431 A      1938 A   
 450.00 keV   2.075E+00  4.967E-03    2.42 um     1470 A      1986 A   
 500.00 keV   2.107E+00  4.550E-03    2.60 um     1506 A      2030 A   
 550.00 keV   2.125E+00  4.203E-03    2.78 um     1540 A      2070 A   
 600.00 keV   2.134E+00  3.908E-03    2.96 um     1572 A      2109 A   
 650.00 keV   2.134E+00  3.654E-03    3.13 um     1603 A      2145 A   
 700.00 keV   2.127E+00  3.434E-03    3.31 um     1633 A      2180 A   
 800.00 keV   2.100E+00  3.068E-03    3.67 um     1729 A      2246 A   
 900.00 keV   2.059E+00  2.777E-03    4.04 um     1823 A      2310 A   
   1.00 MeV   2.011E+00  2.539E-03    4.41 um     1914 A      2371 A   
   1.10 MeV   1.960E+00  2.342E-03    4.80 um     2006 A      2432 A   
   1.20 MeV   1.908E+00  2.174E-03    5.19 um     2097 A      2492 A   
   1.30 MeV   1.856E+00  2.030E-03    5.59 um     2189 A      2553 A   
   1.40 MeV   1.805E+00  1.905E-03    6.01 um     2282 A      2614 A   
   1.50 MeV   1.756E+00  1.796E-03    6.44 um     2376 A      2675 A   
   1.60 MeV   1.709E+00  1.699E-03    6.88 um     2471 A      2737 A   
   1.70 MeV   1.664E+00  1.612E-03    7.33 um     2568 A      2801 A   
   1.80 MeV   1.621E+00  1.535E-03    7.79 um     2665 A      2865 A   
   2.00 MeV   1.541E+00  1.401E-03    8.76 um     3023 A      2998 A   
   2.25 MeV   1.450E+00  1.266E-03   10.03 um     3554 A      3172 A   
   2.50 MeV   1.369E+00  1.155E-03   11.39 um     4069 A      3356 A   
   2.75 MeV   1.296E+00  1.063E-03   12.82 um     4578 A      3550 A   
   3.00 MeV   1.230E+00  9.856E-04   14.33 um     5086 A      3756 A   
   3.25 MeV   1.170E+00  9.191E-04   15.92 um     5595 A      3973 A   
   3.50 MeV   1.116E+00  8.615E-04   17.58 um     6107 A      4201 A   
   3.75 MeV   1.067E+00  8.110E-04   19.33 um     6623 A      4441 A   
   4.00 MeV   1.023E+00  7.665E-04   21.15 um     7146 A      4692 A   
   4.50 MeV   9.443E-01  6.912E-04   25.04 um     9078 A      5230 A   
   5.00 MeV   8.776E-01  6.301E-04   29.22 um     1.09 um     5814 A   
   5.50 MeV   8.203E-01  5.794E-04   33.72 um     1.27 um     6443 A   
   6.00 MeV   7.705E-01  5.366E-04   38.52 um     1.45 um     7116 A   
   6.50 MeV   7.268E-01  4.999E-04   43.61 um     1.62 um     7832 A   
   7.00 MeV   6.882E-01  4.682E-04   49.00 um     1.80 um     8591 A   
   8.00 MeV   6.228E-01  4.160E-04   60.66 um     2.46 um     1.02 um  
   9.00 MeV   5.785E-01  3.747E-04   73.37 um     3.06 um     1.20 um  
  10.00 MeV   5.348E-01  3.412E-04   87.08 um     3.64 um     1.40 um  
  11.00 MeV   4.967E-01  3.135E-04  101.89 um     4.21 um     1.60 um  
  12.00 MeV   4.641E-01  2.901E-04  117.78 um     4.79 um     1.82 um  
  13.00 MeV   4.360E-01  2.701E-04  134.73 um     5.38 um     2.06 um  
  14.00 MeV   4.115E-01  2.528E-04  152.74 um     5.97 um     2.31 um  
  15.00 MeV   3.898E-01  2.377E-04  171.79 um     6.57 um     2.57 um  
  16.00 MeV   3.705E-01  2.244E-04  191.87 um     7.18 um     2.85 um  
  17.00 MeV   3.532E-01  2.125E-04  212.96 um     7.80 um     3.14 um  
  18.00 MeV   3.376E-01  2.019E-04  235.05 um     8.43 um     3.44 um  
  20.00 MeV   3.105E-01  1.837E-04  282.18 um    10.80 um     4.08 um  
  22.50 MeV   2.827E-01  1.653E-04  346.55 um    14.18 um     4.96 um  
  25.00 MeV   2.599E-01  1.503E-04  416.92 um    17.39 um     5.91 um  
  27.50 MeV   2.408E-01  1.380E-04  493.16 um    20.53 um     6.93 um  
  30.00 MeV   2.245E-01  1.276E-04  575.19 um    23.65 um     8.03 um  
  32.50 MeV   2.105E-01  1.187E-04  662.93 um    26.79 um     9.20 um  
  35.00 MeV   1.983E-01  1.110E-04  756.30 um    29.95 um    10.44 um  
  37.50 MeV   1.875E-01  1.043E-04  855.23 um    33.15 um    11.76 um  
  40.00 MeV   1.779E-01  9.838E-05  959.66 um    36.39 um    13.14 um  
  45.00 MeV   1.617E-01  8.844E-05    1.18 mm    48.52 um    16.10 um  
  50.00 MeV   1.484E-01  8.039E-05    1.43 mm    59.92 um    19.33 um  
  55.00 MeV   1.373E-01  7.373E-05    1.70 mm    71.05 um    22.83 um  
  60.00 MeV   1.279E-01  6.813E-05    1.99 mm    82.12 um    26.57 um  
  65.00 MeV   1.198E-01  6.336E-05    2.29 mm    93.21 um    30.57 um  
  70.00 MeV   1.127E-01  5.923E-05    2.62 mm   104.39 um    34.81 um  
  80.00 MeV   1.011E-01  5.245E-05    3.34 mm   145.82 um    44.02 um  
  90.00 MeV   9.180E-02  4.712E-05    4.13 mm   184.41 um    54.17 um  
 100.00 MeV   8.423E-02  4.280E-05    5.00 mm   222.08 um    65.24 um  
 110.00 MeV   7.793E-02  3.924E-05    5.94 mm   259.58 um    77.19 um  
 120.00 MeV   7.260E-02  3.624E-05    6.95 mm   297.25 um    90.02 um  
 130.00 MeV   6.802E-02  3.368E-05    8.04 mm   335.30 um   103.69 um  
 140.00 MeV   6.406E-02  3.148E-05    9.20 mm   373.81 um   118.20 um  
 150.00 MeV   6.058E-02  2.955E-05   10.42 mm   412.84 um   133.53 um  
 160.00 MeV   5.750E-02  2.786E-05   11.71 mm   452.42 um   149.66 um  
 170.00 MeV   5.476E-02  2.635E-05   13.07 mm   492.56 um   166.56 um  
 180.00 MeV   5.231E-02  2.501E-05   14.50 mm   533.26 um   184.24 um  
 200.00 MeV   4.808E-02  2.270E-05   17.54 mm   687.27 um   221.87 um  
 225.00 MeV   4.379E-02  2.038E-05   21.70 mm   906.99 um   273.02 um  
 250.00 MeV   4.030E-02  1.850E-05   26.24 mm     1.11 mm   328.54 um  
 275.00 MeV   3.740E-02  1.695E-05   31.16 mm     1.32 mm   388.27 um  
 300.00 MeV   3.496E-02  1.564E-05   36.43 mm     1.52 mm   452.05 um  
 325.00 MeV   3.288E-02  1.453E-05   42.06 mm     1.71 mm   519.73 um  
 350.00 MeV   3.107E-02  1.357E-05   48.03 mm     1.91 mm   591.17 um  
 375.00 MeV   2.949E-02  1.274E-05   54.33 mm     2.12 mm   666.25 um  
 400.00 MeV   2.810E-02  1.200E-05   60.96 mm     2.32 mm   744.82 um  
 450.00 MeV   2.576E-02  1.077E-05   75.14 mm     3.07 mm   912.08 um  
 500.00 MeV   2.386E-02  9.770E-06   90.54 mm     3.77 mm     1.09 mm  
 550.00 MeV   2.229E-02  8.947E-06  107.08 mm     4.45 mm     1.28 mm  
