 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- C- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.75 keV   4.077E-01  1.484E+00     142 A        57 A        42 A   
   4.00 keV   4.211E-01  1.483E+00     150 A        60 A        44 A   
   4.50 keV   4.466E-01  1.479E+00     166 A        65 A        48 A   
   5.00 keV   4.708E-01  1.473E+00     181 A        70 A        51 A   
   5.50 keV   4.938E-01  1.464E+00     197 A        75 A        55 A   
   6.00 keV   5.157E-01  1.455E+00     212 A        80 A        59 A   
   6.50 keV   5.368E-01  1.444E+00     228 A        85 A        62 A   
   7.00 keV   5.570E-01  1.432E+00     243 A        90 A        66 A   
   8.00 keV   5.955E-01  1.408E+00     274 A       100 A        73 A   
   9.00 keV   6.316E-01  1.383E+00     305 A       109 A        80 A   
  10.00 keV   6.658E-01  1.358E+00     336 A       119 A        87 A   
  11.00 keV   6.983E-01  1.333E+00     368 A       128 A        93 A   
  12.00 keV   7.293E-01  1.309E+00     399 A       136 A       100 A   
  13.00 keV   7.591E-01  1.285E+00     430 A       145 A       106 A   
  14.00 keV   7.878E-01  1.262E+00     461 A       154 A       113 A   
  15.00 keV   8.154E-01  1.239E+00     492 A       162 A       119 A   
  16.00 keV   8.422E-01  1.218E+00     524 A       170 A       126 A   
  17.00 keV   8.681E-01  1.197E+00     555 A       179 A       132 A   
  18.00 keV   8.933E-01  1.177E+00     587 A       187 A       138 A   
  20.00 keV   9.416E-01  1.138E+00     649 A       202 A       151 A   
  22.50 keV   9.987E-01  1.094E+00     728 A       221 A       166 A   
  25.00 keV   1.053E+00  1.054E+00     807 A       239 A       181 A   
  27.50 keV   1.104E+00  1.017E+00     885 A       257 A       196 A   
  30.00 keV   1.153E+00  9.826E-01     964 A       274 A       211 A   
  32.50 keV   1.196E+00  9.510E-01    1042 A       290 A       225 A   
  35.00 keV   1.221E+00  9.216E-01    1121 A       306 A       239 A   
  37.50 keV   1.247E+00  8.944E-01    1200 A       322 A       253 A   
  40.00 keV   1.273E+00  8.689E-01    1279 A       337 A       267 A   
  45.00 keV   1.325E+00  8.229E-01    1438 A       367 A       295 A   
  50.00 keV   1.376E+00  7.822E-01    1598 A       395 A       322 A   
  55.00 keV   1.426E+00  7.460E-01    1757 A       422 A       348 A   
  60.00 keV   1.475E+00  7.136E-01    1916 A       448 A       374 A   
  65.00 keV   1.523E+00  6.843E-01    2074 A       473 A       399 A   
  70.00 keV   1.569E+00  6.577E-01    2231 A       497 A       424 A   
  80.00 keV   1.656E+00  6.111E-01    2544 A       542 A       472 A   
  90.00 keV   1.738E+00  5.716E-01    2852 A       584 A       518 A   
 100.00 keV   1.815E+00  5.376E-01    3157 A       623 A       562 A   
 110.00 keV   1.887E+00  5.080E-01    3457 A       659 A       604 A   
 120.00 keV   1.955E+00  4.820E-01    3753 A       693 A       644 A   
 130.00 keV   2.019E+00  4.588E-01    4044 A       724 A       683 A   
 140.00 keV   2.080E+00  4.381E-01    4333 A       754 A       720 A   
 150.00 keV   2.138E+00  4.195E-01    4617 A       782 A       756 A   
 160.00 keV   2.193E+00  4.025E-01    4898 A       808 A       790 A   
 170.00 keV   2.245E+00  3.871E-01    5175 A       833 A       824 A   
 180.00 keV   2.296E+00  3.730E-01    5449 A       857 A       856 A   
 200.00 keV   2.392E+00  3.480E-01    5988 A       903 A       917 A   
 225.00 keV   2.505E+00  3.216E-01    6645 A       955 A       988 A   
 250.00 keV   2.614E+00  2.994E-01    7285 A      1003 A      1054 A   
 275.00 keV   2.721E+00  2.804E-01    7907 A      1045 A      1116 A   
 300.00 keV   2.826E+00  2.639E-01    8513 A      1084 A      1173 A   
 325.00 keV   2.932E+00  2.495E-01    9103 A      1119 A      1227 A   
 350.00 keV   3.037E+00  2.367E-01    9677 A      1152 A      1277 A   
 375.00 keV   3.142E+00  2.254E-01    1.02 um     1182 A      1325 A   
 400.00 keV   3.247E+00  2.151E-01    1.08 um     1209 A      1369 A   
 450.00 keV   3.456E+00  1.975E-01    1.18 um     1262 A      1451 A   
 500.00 keV   3.663E+00  1.829E-01    1.28 um     1308 A      1524 A   
 550.00 keV   3.868E+00  1.704E-01    1.38 um     1348 A      1590 A   
 600.00 keV   4.071E+00  1.597E-01    1.47 um     1383 A      1650 A   
 650.00 keV   4.271E+00  1.504E-01    1.55 um     1414 A      1704 A   
 700.00 keV   4.468E+00  1.423E-01    1.64 um     1441 A      1753 A   
 800.00 keV   4.853E+00  1.285E-01    1.79 um     1496 A      1840 A   
 900.00 keV   5.227E+00  1.174E-01    1.94 um     1541 A      1914 A   
   1.00 MeV   5.589E+00  1.083E-01    2.08 um     1579 A      1979 A   
   1.10 MeV   5.939E+00  1.005E-01    2.21 um     1612 A      2035 A   
   1.20 MeV   6.277E+00  9.393E-02    2.33 um     1640 A      2085 A   
   1.30 MeV   6.603E+00  8.821E-02    2.44 um     1664 A      2129 A   
   1.40 MeV   6.916E+00  8.320E-02    2.56 um     1686 A      2169 A   
   1.50 MeV   7.217E+00  7.878E-02    2.66 um     1705 A      2205 A   
   1.60 MeV   7.505E+00  7.484E-02    2.76 um     1723 A      2238 A   
   1.70 MeV   7.780E+00  7.131E-02    2.86 um     1738 A      2268 A   
   1.80 MeV   8.043E+00  6.812E-02    2.96 um     1753 A      2296 A   
   2.00 MeV   8.532E+00  6.259E-02    3.14 um     1788 A      2346 A   
   2.25 MeV   9.076E+00  5.692E-02    3.35 um     1830 A      2399 A   
   2.50 MeV   9.549E+00  5.226E-02    3.56 um     1866 A      2445 A   
   2.75 MeV   9.956E+00  4.835E-02    3.75 um     1898 A      2485 A   
   3.00 MeV   1.030E+01  4.503E-02    3.94 um     1927 A      2521 A   
   3.25 MeV   1.060E+01  4.217E-02    4.12 um     1953 A      2554 A   
   3.50 MeV   1.085E+01  3.967E-02    4.30 um     1977 A      2583 A   
   3.75 MeV   1.106E+01  3.748E-02    4.47 um     2000 A      2611 A   
   4.00 MeV   1.123E+01  3.553E-02    4.64 um     2021 A      2636 A   
   4.50 MeV   1.149E+01  3.222E-02    4.97 um     2088 A      2683 A   
   5.00 MeV   1.167E+01  2.951E-02    5.30 um     2150 A      2724 A   
   5.50 MeV   1.178E+01  2.725E-02    5.63 um     2208 A      2763 A   
   6.00 MeV   1.184E+01  2.533E-02    5.95 um     2264 A      2798 A   
   6.50 MeV   1.186E+01  2.369E-02    6.27 um     2317 A      2832 A   
   7.00 MeV   1.186E+01  2.225E-02    6.59 um     2369 A      2863 A   
   8.00 MeV   1.178E+01  1.988E-02    7.23 um     2552 A      2923 A   
   9.00 MeV   1.165E+01  1.799E-02    7.88 um     2725 A      2979 A   
  10.00 MeV   1.149E+01  1.644E-02    8.54 um     2891 A      3032 A   
  11.00 MeV   1.130E+01  1.516E-02    9.21 um     3053 A      3083 A   
  12.00 MeV   1.109E+01  1.407E-02    9.89 um     3211 A      3133 A   
  13.00 MeV   1.088E+01  1.314E-02   10.59 um     3368 A      3183 A   
  14.00 MeV   1.067E+01  1.233E-02   11.29 um     3523 A      3232 A   
  15.00 MeV   1.046E+01  1.162E-02   12.01 um     3677 A      3280 A   
  16.00 MeV   1.026E+01  1.099E-02   12.75 um     3831 A      3329 A   
  17.00 MeV   1.005E+01  1.043E-02   13.50 um     3984 A      3378 A   
  18.00 MeV   9.859E+00  9.930E-03   14.27 um     4138 A      3427 A   
  20.00 MeV   9.485E+00  9.065E-03   15.84 um     4717 A      3527 A   
  22.50 MeV   9.052E+00  8.184E-03   17.90 um     5561 A      3655 A   
  25.00 MeV   8.657E+00  7.468E-03   20.06 um     6359 A      3787 A   
  27.50 MeV   8.295E+00  6.873E-03   22.31 um     7128 A      3925 A   
  30.00 MeV   7.964E+00  6.371E-03   24.65 um     7880 A      4068 A   
  32.50 MeV   7.682E+00  5.940E-03   27.09 um     8618 A      4216 A   
  35.00 MeV   7.484E+00  5.567E-03   29.61 um     9340 A      4370 A   
  37.50 MeV   7.260E+00  5.241E-03   32.19 um     1.00 um     4528 A   
  40.00 MeV   7.017E+00  4.952E-03   34.86 um     1.08 um     4691 A   
  45.00 MeV   6.575E+00  4.465E-03   40.48 um     1.34 um     5036 A   
  50.00 MeV   6.193E+00  4.070E-03   46.46 um     1.59 um     5404 A   
  55.00 MeV   5.859E+00  3.742E-03   52.79 um     1.83 um     5796 A   
  60.00 MeV   5.563E+00  3.465E-03   59.48 um     2.06 um     6212 A   
  65.00 MeV   5.299E+00  3.228E-03   66.50 um     2.29 um     6650 A   
  70.00 MeV   5.061E+00  3.023E-03   73.87 um     2.52 um     7110 A   
  80.00 MeV   4.649E+00  2.686E-03   89.60 um     3.37 um     8097 A   
  90.00 MeV   4.302E+00  2.419E-03  106.67 um     4.15 um     9169 A   
 100.00 MeV   4.007E+00  2.202E-03  125.05 um     4.90 um     1.03 um  
 110.00 MeV   3.751E+00  2.023E-03  144.74 um     5.64 um     1.16 um  
 120.00 MeV   3.527E+00  1.872E-03  165.72 um     6.38 um     1.29 um  
 130.00 MeV   3.330E+00  1.743E-03  187.99 um     7.12 um     1.43 um  
 140.00 MeV   3.154E+00  1.631E-03  211.54 um     7.87 um     1.57 um  
 150.00 MeV   2.997E+00  1.534E-03  236.36 um     8.63 um     1.73 um  
 160.00 MeV   2.855E+00  1.447E-03  262.46 um     9.39 um     1.89 um  
 170.00 MeV   2.726E+00  1.371E-03  289.81 um    10.16 um     2.06 um  
 180.00 MeV   2.609E+00  1.302E-03  318.43 um    10.95 um     2.23 um  
 200.00 MeV   2.404E+00  1.185E-03  379.38 um    13.95 um     2.61 um  
 225.00 MeV   2.191E+00  1.066E-03  462.52 um    18.27 um     3.12 um  
