 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- C- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   7.725E-01  1.045E+00     443 A       152 A       112 A   
  13.00 keV   8.040E-01  1.022E+00     477 A       162 A       120 A   
  14.00 keV   8.344E-01  1.000E+00     512 A       171 A       127 A   
  15.00 keV   8.636E-01  9.795E-01     547 A       180 A       134 A   
  16.00 keV   8.920E-01  9.595E-01     582 A       189 A       141 A   
  17.00 keV   9.194E-01  9.404E-01     617 A       198 A       148 A   
  18.00 keV   9.461E-01  9.221E-01     652 A       207 A       156 A   
  20.00 keV   9.973E-01  8.879E-01     722 A       223 A       169 A   
  22.50 keV   1.058E+00  8.490E-01     808 A       243 A       187 A   
  25.00 keV   1.115E+00  8.139E-01     895 A       262 A       203 A   
  27.50 keV   1.169E+00  7.820E-01     981 A       280 A       219 A   
  30.00 keV   1.213E+00  7.529E-01    1066 A       297 A       235 A   
  32.50 keV   1.255E+00  7.263E-01    1152 A       314 A       251 A   
  35.00 keV   1.298E+00  7.018E-01    1237 A       330 A       266 A   
  37.50 keV   1.339E+00  6.792E-01    1321 A       345 A       281 A   
  40.00 keV   1.380E+00  6.582E-01    1405 A       360 A       296 A   
  45.00 keV   1.454E+00  6.206E-01    1572 A       388 A       324 A   
  50.00 keV   1.521E+00  5.876E-01    1737 A       415 A       352 A   
  55.00 keV   1.581E+00  5.586E-01    1901 A       440 A       378 A   
  60.00 keV   1.634E+00  5.327E-01    2063 A       463 A       404 A   
  65.00 keV   1.682E+00  5.095E-01    2223 A       485 A       429 A   
  70.00 keV   1.726E+00  4.885E-01    2383 A       507 A       452 A   
  80.00 keV   1.804E+00  4.520E-01    2699 A       547 A       498 A   
  90.00 keV   1.873E+00  4.214E-01    3012 A       584 A       542 A   
 100.00 keV   1.935E+00  3.951E-01    3321 A       619 A       583 A   
 110.00 keV   1.992E+00  3.724E-01    3627 A       651 A       622 A   
 120.00 keV   2.047E+00  3.525E-01    3930 A       681 A       660 A   
 130.00 keV   2.099E+00  3.349E-01    4229 A       709 A       696 A   
 140.00 keV   2.150E+00  3.192E-01    4525 A       736 A       731 A   
 150.00 keV   2.200E+00  3.051E-01    4817 A       761 A       765 A   
 160.00 keV   2.249E+00  2.923E-01    5106 A       785 A       797 A   
 170.00 keV   2.297E+00  2.808E-01    5391 A       808 A       828 A   
 180.00 keV   2.346E+00  2.702E-01    5673 A       829 A       858 A   
 200.00 keV   2.442E+00  2.515E-01    6226 A       871 A       915 A   
 225.00 keV   2.564E+00  2.319E-01    6896 A       918 A       981 A   
 250.00 keV   2.687E+00  2.154E-01    7544 A       960 A      1042 A   
 275.00 keV   2.812E+00  2.014E-01    8169 A       997 A      1098 A   
 300.00 keV   2.938E+00  1.893E-01    8773 A      1031 A      1150 A   
 325.00 keV   3.064E+00  1.787E-01    9357 A      1061 A      1198 A   
 350.00 keV   3.190E+00  1.693E-01    9921 A      1088 A      1243 A   
 375.00 keV   3.314E+00  1.610E-01    1.05 um     1113 A      1284 A   
 400.00 keV   3.437E+00  1.536E-01    1.10 um     1135 A      1323 A   
 450.00 keV   3.676E+00  1.407E-01    1.20 um     1179 A      1393 A   
 500.00 keV   3.907E+00  1.301E-01    1.30 um     1217 A      1456 A   
 550.00 keV   4.129E+00  1.211E-01    1.39 um     1249 A      1511 A   
 600.00 keV   4.341E+00  1.134E-01    1.47 um     1278 A      1561 A   
 650.00 keV   4.545E+00  1.066E-01    1.56 um     1303 A      1606 A   
 700.00 keV   4.740E+00  1.008E-01    1.64 um     1325 A      1647 A   
 800.00 keV   5.108E+00  9.088E-02    1.79 um     1372 A      1719 A   
 900.00 keV   5.449E+00  8.292E-02    1.93 um     1410 A      1781 A   
   1.00 MeV   5.765E+00  7.635E-02    2.06 um     1443 A      1835 A   
   1.10 MeV   6.061E+00  7.083E-02    2.19 um     1472 A      1882 A   
   1.20 MeV   6.338E+00  6.611E-02    2.31 um     1497 A      1925 A   
   1.30 MeV   6.597E+00  6.204E-02    2.42 um     1519 A      1963 A   
   1.40 MeV   6.840E+00  5.847E-02    2.54 um     1540 A      1997 A   
