 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- C- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   7.170E-01  7.925E-01     519 A       182 A       135 A   
  13.00 keV   7.462E-01  7.719E-01     561 A       193 A       144 A   
  14.00 keV   7.744E-01  7.524E-01     603 A       204 A       153 A   
  15.00 keV   8.016E-01  7.341E-01     644 A       215 A       162 A   
  16.00 keV   8.279E-01  7.167E-01     686 A       225 A       171 A   
  17.00 keV   8.534E-01  7.002E-01     728 A       235 A       179 A   
  18.00 keV   8.781E-01  6.847E-01     769 A       245 A       188 A   
  20.00 keV   9.256E-01  6.558E-01     852 A       265 A       205 A   
  22.50 keV   9.818E-01  6.235E-01     955 A       288 A       226 A   
  25.00 keV   1.033E+00  5.948E-01    1058 A       309 A       246 A   
  27.50 keV   1.079E+00  5.690E-01    1159 A       330 A       266 A   
  30.00 keV   1.121E+00  5.457E-01    1260 A       349 A       285 A   
  32.50 keV   1.160E+00  5.245E-01    1361 A       368 A       303 A   
  35.00 keV   1.197E+00  5.053E-01    1461 A       386 A       321 A   
  37.50 keV   1.232E+00  4.876E-01    1560 A       403 A       339 A   
  40.00 keV   1.265E+00  4.713E-01    1659 A       419 A       356 A   
  45.00 keV   1.327E+00  4.422E-01    1855 A       451 A       390 A   
  50.00 keV   1.383E+00  4.171E-01    2049 A       480 A       422 A   
  55.00 keV   1.436E+00  3.951E-01    2241 A       508 A       452 A   
  60.00 keV   1.486E+00  3.756E-01    2430 A       533 A       482 A   
  65.00 keV   1.533E+00  3.583E-01    2617 A       558 A       510 A   
  70.00 keV   1.578E+00  3.427E-01    2802 A       580 A       537 A   
  80.00 keV   1.662E+00  3.157E-01    3166 A       623 A       589 A   
  90.00 keV   1.741E+00  2.933E-01    3522 A       662 A       638 A   
 100.00 keV   1.814E+00  2.742E-01    3870 A       697 A       683 A   
