 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   3.542E-01  8.120E-02    2352 A       802 A       731 A   
  13.00 keV   3.692E-01  7.734E-02    2539 A       842 A       775 A   
  14.00 keV   3.836E-01  7.388E-02    2722 A       879 A       818 A   
  15.00 keV   3.975E-01  7.077E-02    2903 A       913 A       858 A   
  16.00 keV   4.111E-01  6.794E-02    3081 A       946 A       897 A   
  17.00 keV   4.242E-01  6.536E-02    3257 A       977 A       935 A   
  18.00 keV   4.370E-01  6.300E-02    3430 A      1007 A       971 A   
  20.00 keV   4.616E-01  5.881E-02    3768 A      1061 A      1039 A   
  22.50 keV   4.908E-01  5.440E-02    4178 A      1122 A      1117 A   
  25.00 keV   5.186E-01  5.067E-02    4575 A      1177 A      1189 A   
  27.50 keV   5.451E-01  4.749E-02    4959 A      1226 A      1256 A   
  30.00 keV   5.706E-01  4.472E-02    5332 A      1270 A      1317 A   
  32.50 keV   5.951E-01  4.230E-02    5694 A      1311 A      1375 A   
  35.00 keV   6.188E-01  4.015E-02    6046 A      1347 A      1428 A   
  37.50 keV   6.417E-01  3.824E-02    6388 A      1381 A      1478 A   
  40.00 keV   6.639E-01  3.652E-02    6722 A      1412 A      1526 A   
  45.00 keV   7.066E-01  3.356E-02    7367 A      1469 A      1612 A   
  50.00 keV   7.471E-01  3.108E-02    7983 A      1518 A      1690 A   
  55.00 keV   7.858E-01  2.898E-02    8573 A      1562 A      1760 A   
  60.00 keV   8.229E-01  2.718E-02    9142 A      1600 A      1824 A   
  65.00 keV   8.586E-01  2.561E-02    9689 A      1635 A      1883 A   
  70.00 keV   8.931E-01  2.422E-02    1.02 um     1666 A      1936 A   
  80.00 keV   9.586E-01  2.190E-02    1.12 um     1722 A      2033 A   
  90.00 keV   1.020E+00  2.002E-02    1.22 um     1769 A      2117 A   
 100.00 keV   1.079E+00  1.846E-02    1.31 um     1810 A      2190 A   
 110.00 keV   1.134E+00  1.715E-02    1.40 um     1845 A      2256 A   
 120.00 keV   1.187E+00  1.603E-02    1.48 um     1876 A      2315 A   
 130.00 keV   1.238E+00  1.506E-02    1.56 um     1904 A      2369 A   
 140.00 keV   1.286E+00  1.421E-02    1.63 um     1928 A      2418 A   
 150.00 keV   1.333E+00  1.346E-02    1.71 um     1951 A      2463 A   
 160.00 keV   1.377E+00  1.279E-02    1.78 um     1971 A      2505 A   
