 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- C- O

 Ion = Beryllium [4] , Mass = 9.012 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   4.740E-01  3.858E-01     852 A       303 A       233 A   
  13.00 keV   4.934E-01  3.724E-01     925 A       322 A       250 A   
  14.00 keV   5.120E-01  3.600E-01     997 A       341 A       267 A   
  15.00 keV   5.300E-01  3.485E-01    1070 A       359 A       284 A   
  16.00 keV   5.473E-01  3.379E-01    1142 A       376 A       300 A   
  17.00 keV   5.642E-01  3.280E-01    1214 A       393 A       316 A   
  18.00 keV   5.805E-01  3.188E-01    1286 A       409 A       332 A   
  20.00 keV   5.889E-01  3.021E-01    1431 A       441 A       363 A   
  22.50 keV   6.062E-01  2.839E-01    1614 A       481 A       401 A   
  25.00 keV   6.286E-01  2.681E-01    1799 A       518 A       438 A   
  27.50 keV   6.541E-01  2.542E-01    1983 A       553 A       475 A   
  30.00 keV   6.814E-01  2.419E-01    2166 A       587 A       510 A   
  32.50 keV   7.097E-01  2.309E-01    2346 A       619 A       544 A   
  35.00 keV   7.385E-01  2.210E-01    2524 A       648 A       578 A   
  37.50 keV   7.675E-01  2.121E-01    2699 A       676 A       610 A   
  40.00 keV   7.963E-01  2.039E-01    2872 A       703 A       641 A   
  45.00 keV   8.528E-01  1.896E-01    3208 A       752 A       700 A   
  50.00 keV   9.073E-01  1.774E-01    3533 A       796 A       755 A   
  55.00 keV   9.593E-01  1.669E-01    3848 A       835 A       806 A   
  60.00 keV   1.009E+00  1.578E-01    4154 A       871 A       854 A   
  65.00 keV   1.055E+00  1.497E-01    4451 A       904 A       899 A   
  70.00 keV   1.100E+00  1.425E-01    4740 A       934 A       941 A   
  80.00 keV   1.181E+00  1.302E-01    5298 A       989 A      1019 A   
  90.00 keV   1.253E+00  1.201E-01    5832 A      1037 A      1088 A   
 100.00 keV   1.318E+00  1.116E-01    6346 A      1079 A      1151 A   
 110.00 keV   1.377E+00  1.044E-01    6844 A      1116 A      1209 A   
 120.00 keV   1.431E+00  9.811E-02    7328 A      1150 A      1262 A   
 130.00 keV   1.481E+00  9.265E-02    7799 A      1181 A      1312 A   
 140.00 keV   1.528E+00  8.782E-02    8258 A      1209 A      1358 A   
 150.00 keV   1.573E+00  8.353E-02    8707 A      1235 A      1401 A   
 160.00 keV   1.617E+00  7.968E-02    9146 A      1259 A      1442 A   
 170.00 keV   1.659E+00  7.620E-02    9576 A      1282 A      1480 A   
 180.00 keV   1.700E+00  7.305E-02    9997 A      1303 A      1516 A   
 200.00 keV   1.779E+00  6.754E-02    1.08 um     1343 A      1584 A   
 225.00 keV   1.875E+00  6.183E-02    1.18 um     1389 A      1659 A   
 250.00 keV   1.967E+00  5.709E-02    1.27 um     1428 A      1727 A   
 275.00 keV   2.056E+00  5.308E-02    1.36 um     1463 A      1788 A   
 300.00 keV   2.143E+00  4.965E-02    1.45 um     1494 A      1843 A   
 325.00 keV   2.227E+00  4.668E-02    1.54 um     1522 A      1894 A   
 350.00 keV   2.310E+00  4.407E-02    1.62 um     1547 A      1941 A   
 375.00 keV   2.390E+00  4.177E-02    1.69 um     1570 A      1984 A   
 400.00 keV   2.469E+00  3.971E-02    1.77 um     1591 A      2024 A   
 450.00 keV   2.623E+00  3.620E-02    1.92 um     1634 A      2096 A   
 500.00 keV   2.771E+00  3.330E-02    2.06 um     1670 A      2159 A   
 550.00 keV   2.915E+00  3.087E-02    2.19 um     1702 A      2215 A   
 600.00 keV   3.053E+00  2.880E-02    2.31 um     1730 A      2265 A   
 650.00 keV   3.186E+00  2.701E-02    2.43 um     1755 A      2310 A   
 700.00 keV   3.315E+00  2.544E-02    2.55 um     1777 A      2351 A   
 800.00 keV   3.558E+00  2.284E-02    2.77 um     1829 A      2423 A   
 900.00 keV   3.782E+00  2.075E-02    2.97 um     1872 A      2484 A   
   1.00 MeV   3.987E+00  1.904E-02    3.17 um     1909 A      2538 A   
   1.10 MeV   4.172E+00  1.760E-02    3.35 um     1942 A      2585 A   
   1.20 MeV   4.339E+00  1.639E-02    3.53 um     1971 A      2626 A   
   1.30 MeV   4.487E+00  1.534E-02    3.70 um     1997 A      2664 A   
   1.40 MeV   4.618E+00  1.442E-02    3.87 um     2021 A      2699 A   
   1.50 MeV   4.732E+00  1.362E-02    4.03 um     2043 A      2731 A   
   1.60 MeV   4.832E+00  1.291E-02    4.19 um     2064 A      2760 A   
   1.70 MeV   4.917E+00  1.227E-02    4.35 um     2083 A      2788 A   
   1.80 MeV   4.990E+00  1.170E-02    4.50 um     2102 A      2813 A   
   2.00 MeV   5.102E+00  1.071E-02    4.80 um     2158 A      2861 A   
   2.25 MeV   5.190E+00  9.699E-03    5.17 um     2234 A      2915 A   
   2.50 MeV   5.235E+00  8.874E-03    5.53 um     2306 A      2964 A   
   2.75 MeV   5.247E+00  8.186E-03    5.90 um     2374 A      3010 A   
   3.00 MeV   5.235E+00  7.603E-03    6.26 um     2439 A      3053 A   
   3.25 MeV   5.206E+00  7.103E-03    6.62 um     2504 A      3093 A   
   3.50 MeV   5.164E+00  6.668E-03    6.99 um     2567 A      3133 A   
   3.75 MeV   5.114E+00  6.286E-03    7.36 um     2629 A      3170 A   
   4.00 MeV   5.057E+00  5.949E-03    7.74 um     2691 A      3208 A   
   4.50 MeV   4.930E+00  5.377E-03    8.50 um     2916 A      3280 A   
   5.00 MeV   4.795E+00  4.912E-03    9.28 um     3135 A      3350 A   
   5.50 MeV   4.657E+00  4.525E-03   10.09 um     3351 A      3420 A   
   6.00 MeV   4.519E+00  4.197E-03   10.92 um     3565 A      3489 A   
   6.50 MeV   4.385E+00  3.916E-03   11.78 um     3779 A      3560 A   
   7.00 MeV   4.255E+00  3.673E-03   12.66 um     3994 A      3630 A   
   8.00 MeV   4.010E+00  3.271E-03   14.51 um     4797 A      3776 A   
   9.00 MeV   3.787E+00  2.952E-03   16.46 um     5562 A      3928 A   
  10.00 MeV   3.585E+00  2.693E-03   18.53 um     6309 A      4087 A   
  11.00 MeV   3.402E+00  2.478E-03   20.72 um     7048 A      4255 A   
  12.00 MeV   3.236E+00  2.296E-03   23.02 um     7785 A      4432 A   
  13.00 MeV   3.086E+00  2.140E-03   25.43 um     8525 A      4619 A   
  14.00 MeV   2.948E+00  2.005E-03   27.96 um     9269 A      4816 A   
  15.00 MeV   2.823E+00  1.887E-03   30.61 um     1.00 um     5023 A   
  16.00 MeV   2.708E+00  1.783E-03   33.36 um     1.08 um     5240 A   
  17.00 MeV   2.602E+00  1.690E-03   36.24 um     1.15 um     5468 A   
  18.00 MeV   2.504E+00  1.607E-03   39.23 um     1.23 um     5707 A   
  20.00 MeV   2.366E+00  1.465E-03   45.50 um     1.52 um     6214 A   
  22.50 MeV   2.187E+00  1.320E-03   53.88 um     1.94 um     6899 A   
  25.00 MeV   2.025E+00  1.202E-03   62.95 um     2.33 um     7646 A   
  27.50 MeV   1.888E+00  1.105E-03   72.71 um     2.71 um     8455 A   
  30.00 MeV   1.769E+00  1.022E-03   83.15 um     3.10 um     9326 A   
  32.50 MeV   1.665E+00  9.521E-04   94.27 um     3.48 um     1.03 um  
  35.00 MeV   1.573E+00  8.913E-04  106.06 um     3.86 um     1.12 um  
  37.50 MeV   1.491E+00  8.381E-04  118.52 um     4.25 um     1.23 um  
  40.00 MeV   1.417E+00  7.912E-04  131.64 um     4.65 um     1.34 um  
  45.00 MeV   1.291E+00  7.122E-04  159.85 um     6.14 um     1.58 um  
  50.00 MeV   1.186E+00  6.482E-04  190.70 um     7.55 um     1.84 um  
  55.00 MeV   1.097E+00  5.951E-04  224.16 um     8.93 um     2.12 um  
  60.00 MeV   1.020E+00  5.505E-04  260.23 um    10.30 um     2.43 um  
  65.00 MeV   9.542E-01  5.123E-04  298.90 um    11.68 um     2.75 um  
  70.00 MeV   8.963E-01  4.793E-04  340.16 um    13.08 um     3.10 um  
  80.00 MeV   7.995E-01  4.251E-04  430.32 um    18.31 um     3.86 um  
  90.00 MeV   7.222E-01  3.823E-04  530.77 um    23.21 um     4.70 um  
 100.00 MeV   6.590E-01  3.476E-04  641.41 um    28.04 um     5.63 um  
 110.00 MeV   6.065E-01  3.190E-04  762.13 um    32.88 um     6.64 um  
 120.00 MeV   5.623E-01  2.948E-04  892.83 um    37.77 um     7.74 um  
 130.00 MeV   5.246E-01  2.742E-04    1.03 mm    42.74 um     8.91 um  
 140.00 MeV   4.921E-01  2.564E-04    1.18 mm    47.79 um    10.17 um  
 150.00 MeV   4.638E-01  2.409E-04    1.34 mm    52.93 um    11.50 um  
 160.00 MeV   4.390E-01  2.272E-04    1.51 mm    58.16 um    12.92 um  
 170.00 MeV   4.170E-01  2.151E-04    1.69 mm    63.47 um    14.40 um  
 180.00 MeV   3.975E-01  2.042E-04    1.88 mm    68.87 um    15.96 um  
 200.00 MeV   3.641E-01  1.856E-04    2.28 mm    89.40 um    19.31 um  
 225.00 MeV   3.305E-01  1.667E-04    2.83 mm   118.72 um    23.88 um  
 250.00 MeV   3.030E-01  1.515E-04    3.43 mm   146.39 um    28.88 um  
 275.00 MeV   2.801E-01  1.389E-04    4.09 mm   173.47 um    34.30 um  
 300.00 MeV   2.607E-01  1.283E-04    4.79 mm   200.42 um    40.12 um  
 325.00 MeV   2.441E-01  1.192E-04    5.55 mm   227.45 um    46.33 um  
 350.00 MeV   2.298E-01  1.114E-04    6.36 mm   254.68 um    52.94 um  
 375.00 MeV   2.172E-01  1.046E-04    7.21 mm   282.19 um    59.92 um  
 400.00 MeV   2.061E-01  9.865E-05    8.11 mm   310.01 um    67.27 um  
 450.00 MeV   1.873E-01  8.857E-05   10.05 mm   414.87 um    83.06 um  
 500.00 MeV   1.721E-01  8.043E-05   12.18 mm   512.99 um   100.26 um  
 550.00 MeV   1.595E-01  7.370E-05   14.48 mm   608.38 um   118.81 um  
 600.00 MeV   1.489E-01  6.805E-05   16.96 mm   702.73 um   138.67 um  
 650.00 MeV   1.398E-01  6.323E-05   19.60 mm   796.89 um   159.78 um  
 700.00 MeV   1.320E-01  5.908E-05   22.41 mm   891.31 um   182.13 um  
 800.00 MeV   1.191E-01  5.226E-05   28.50 mm     1.24 mm   230.34 um  
 900.00 MeV   1.089E-01  4.689E-05   35.20 mm     1.56 mm   283.01 um  
   1.00 GeV   1.007E-01  4.256E-05   42.50 mm     1.87 mm   339.88 um  
   1.10 GeV   9.384E-02  3.898E-05   50.35 mm     2.18 mm   400.70 um  
   1.20 GeV   8.812E-02  3.598E-05   58.74 mm     2.49 mm   465.27 um  
   1.30 GeV   8.324E-02  3.342E-05   67.65 mm     2.79 mm   533.36 um  
   1.40 GeV   7.903E-02  3.121E-05   77.06 mm     3.09 mm   604.81 um  
   1.50 GeV   7.536E-02  2.929E-05   86.95 mm     3.40 mm   679.42 um  
   1.60 GeV   7.214E-02  2.759E-05   97.31 mm     3.70 mm   757.03 um  
   1.70 GeV   6.928E-02  2.609E-05  108.10 mm     4.01 mm   837.48 um  
   1.80 GeV   6.673E-02  2.475E-05  119.33 mm     4.31 mm   920.63 um  
   2.00 GeV   6.238E-02  2.245E-05  142.99 mm     5.47 mm     1.09 mm  
   2.25 GeV   5.800E-02  2.013E-05  174.72 mm     7.08 mm     1.32 mm  
   2.50 GeV   5.448E-02  1.826E-05  208.67 mm     8.56 mm     1.57 mm  
   2.75 GeV   5.160E-02  1.672E-05  244.66 mm     9.97 mm     1.82 mm  
   3.00 GeV   4.920E-02  1.542E-05  282.53 mm    11.32 mm     2.09 mm  
   3.25 GeV   4.717E-02  1.432E-05  322.14 mm    12.64 mm     2.36 mm  
   3.50 GeV   4.544E-02  1.337E-05  363.35 mm    13.93 mm     2.64 mm  
   3.75 GeV   4.394E-02  1.254E-05  406.06 mm    15.19 mm     2.92 mm  
   4.00 GeV   4.263E-02  1.181E-05  450.15 mm    16.43 mm     3.22 mm  
   4.50 GeV   4.047E-02  1.059E-05  542.04 mm    20.96 mm     3.81 mm  
   5.00 GeV   3.876E-02  9.600E-06  638.40 mm    25.02 mm     4.43 mm  
   5.50 GeV   3.739E-02  8.786E-06  738.65 mm    28.77 mm     5.05 mm  
   6.00 GeV   3.626E-02  8.103E-06  842.30 mm    32.31 mm     5.68 mm  
   6.50 GeV   3.533E-02  7.521E-06  948.92 mm    35.67 mm     6.32 mm  
   7.00 GeV   3.455E-02  7.020E-06    1.06 m     38.88 mm     6.96 mm  
   8.00 GeV   3.332E-02  6.199E-06    1.28 m     50.27 mm     8.24 mm  
   9.00 GeV   3.242E-02  5.554E-06    1.52 m     60.07 mm     9.51 mm  
  10.00 GeV   3.174E-02  5.034E-06    1.75 m     68.88 mm    10.77 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  3.7621E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
