 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- C- O

 Ion = Boron [5] , Mass = 11.009 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   7.003E-01  5.955E-01     608 A       207 A       157 A   
  13.00 keV   7.289E-01  5.778E-01     657 A       220 A       168 A   
  14.00 keV   7.564E-01  5.612E-01     706 A       232 A       178 A   
  15.00 keV   7.830E-01  5.457E-01     755 A       244 A       188 A   
  16.00 keV   8.087E-01  5.312E-01     804 A       255 A       199 A   
  17.00 keV   8.335E-01  5.176E-01     852 A       266 A       209 A   
  18.00 keV   8.577E-01  5.047E-01     900 A       277 A       219 A   
  20.00 keV   9.041E-01  4.812E-01     996 A       297 A       238 A   
  22.50 keV   9.535E-01  4.552E-01    1115 A       321 A       261 A   
  25.00 keV   9.878E-01  4.322E-01    1233 A       344 A       284 A   
  27.50 keV   1.031E+00  4.119E-01    1350 A       366 A       305 A   
  30.00 keV   1.077E+00  3.937E-01    1466 A       386 A       326 A   
  32.50 keV   1.125E+00  3.773E-01    1581 A       405 A       347 A   
  35.00 keV   1.171E+00  3.624E-01    1694 A       423 A       366 A   
  37.50 keV   1.216E+00  3.488E-01    1805 A       440 A       385 A   
  40.00 keV   1.259E+00  3.364E-01    1914 A       456 A       404 A   
  45.00 keV   1.337E+00  3.144E-01    2128 A       486 A       439 A   
  50.00 keV   1.407E+00  2.955E-01    2336 A       513 A       471 A   
  55.00 keV   1.469E+00  2.790E-01    2540 A       538 A       502 A   
  60.00 keV   1.524E+00  2.646E-01    2740 A       561 A       531 A   
  65.00 keV   1.573E+00  2.518E-01    2936 A       582 A       559 A   
  70.00 keV   1.618E+00  2.403E-01    3130 A       602 A       585 A   
  80.00 keV   1.695E+00  2.206E-01    3509 A       640 A       634 A   
  90.00 keV   1.761E+00  2.042E-01    3881 A       674 A       680 A   
 100.00 keV   1.818E+00  1.904E-01    4246 A       705 A       722 A   
 110.00 keV   1.870E+00  1.786E-01    4604 A       733 A       762 A   
 120.00 keV   1.918E+00  1.683E-01    4957 A       760 A       799 A   
 130.00 keV   1.962E+00  1.593E-01    5305 A       784 A       835 A   
 140.00 keV   2.005E+00  1.513E-01    5649 A       807 A       869 A   
 150.00 keV   2.047E+00  1.442E-01    5987 A       829 A       901 A   
 160.00 keV   2.088E+00  1.378E-01    6321 A       850 A       932 A   
 170.00 keV   2.128E+00  1.319E-01    6650 A       869 A       962 A   
 180.00 keV   2.169E+00  1.267E-01    6975 A       887 A       990 A   
 200.00 keV   2.252E+00  1.174E-01    7610 A       923 A      1043 A   
 225.00 keV   2.357E+00  1.077E-01    8379 A       963 A      1105 A   
 250.00 keV   2.464E+00  9.971E-02    9120 A       999 A      1161 A   
 275.00 keV   2.571E+00  9.290E-02    9835 A      1031 A      1212 A   
 300.00 keV   2.677E+00  8.705E-02    1.05 um     1060 A      1259 A   
 325.00 keV   2.783E+00  8.196E-02    1.12 um     1085 A      1302 A   
 350.00 keV   2.887E+00  7.749E-02    1.18 um     1109 A      1343 A   
 375.00 keV   2.990E+00  7.353E-02    1.25 um     1130 A      1380 A   
 400.00 keV   3.090E+00  6.999E-02    1.31 um     1149 A      1415 A   
 450.00 keV   3.284E+00  6.392E-02    1.42 um     1189 A      1478 A   
 500.00 keV   3.469E+00  5.891E-02    1.53 um     1223 A      1533 A   
 550.00 keV   3.646E+00  5.469E-02    1.64 um     1252 A      1583 A   
 600.00 keV   3.814E+00  5.109E-02    1.74 um     1278 A      1628 A   
 650.00 keV   3.974E+00  4.797E-02    1.83 um     1301 A      1668 A   
 700.00 keV   4.126E+00  4.523E-02    1.92 um     1322 A      1705 A   
 800.00 keV   4.410E+00  4.068E-02    2.10 um     1369 A      1771 A   
 900.00 keV   4.669E+00  3.702E-02    2.27 um     1409 A      1827 A   
   1.00 MeV   4.904E+00  3.401E-02    2.42 um     1443 A      1876 A   
   1.10 MeV   5.119E+00  3.148E-02    2.57 um     1474 A      1920 A   
   1.20 MeV   5.314E+00  2.934E-02    2.72 um     1501 A      1959 A   
   1.30 MeV   5.492E+00  2.748E-02    2.86 um     1525 A      1995 A   
   1.40 MeV   5.653E+00  2.587E-02    2.99 um     1547 A      2027 A   
   1.50 MeV   5.798E+00  2.445E-02    3.13 um     1568 A      2057 A   
   1.60 MeV   5.929E+00  2.318E-02    3.26 um     1587 A      2085 A   
   1.70 MeV   6.047E+00  2.205E-02    3.38 um     1605 A      2111 A   
   1.80 MeV   6.152E+00  2.104E-02    3.51 um     1622 A      2136 A   
   2.00 MeV   6.329E+00  1.928E-02    3.75 um     1671 A      2181 A   
   2.25 MeV   6.496E+00  1.748E-02    4.05 um     1737 A      2232 A   
   2.50 MeV   6.616E+00  1.601E-02    4.34 um     1797 A      2277 A   
   2.75 MeV   6.697E+00  1.478E-02    4.62 um     1853 A      2319 A   
   3.00 MeV   6.749E+00  1.374E-02    4.90 um     1906 A      2359 A   
   3.25 MeV   6.778E+00  1.284E-02    5.18 um     1957 A      2395 A   
   3.50 MeV   6.789E+00  1.206E-02    5.47 um     2006 A      2430 A   
   3.75 MeV   6.786E+00  1.138E-02    5.75 um     2053 A      2464 A   
   4.00 MeV   6.772E+00  1.077E-02    6.03 um     2099 A      2496 A   
