 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- C- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   7.963E-01  1.045E+00     439 A       151 A       111 A   
  13.00 keV   8.288E-01  1.022E+00     474 A       160 A       118 A   
  14.00 keV   8.601E-01  1.000E+00     508 A       169 A       126 A   
  15.00 keV   8.903E-01  9.795E-01     543 A       178 A       133 A   
  16.00 keV   9.195E-01  9.595E-01     577 A       187 A       140 A   
  17.00 keV   9.478E-01  9.404E-01     612 A       195 A       147 A   
  18.00 keV   9.752E-01  9.221E-01     646 A       204 A       154 A   
  20.00 keV   1.028E+00  8.879E-01     715 A       220 A       167 A   
  22.50 keV   1.090E+00  8.490E-01     800 A       239 A       184 A   
  25.00 keV   1.149E+00  8.139E-01     885 A       258 A       200 A   
  27.50 keV   1.205E+00  7.820E-01     970 A       275 A       216 A   
  30.00 keV   1.250E+00  7.529E-01    1054 A       292 A       232 A   
  32.50 keV   1.294E+00  7.263E-01    1138 A       308 A       247 A   
  35.00 keV   1.338E+00  7.018E-01    1221 A       324 A       262 A   
  37.50 keV   1.381E+00  6.792E-01    1304 A       339 A       277 A   
  40.00 keV   1.422E+00  6.582E-01    1387 A       353 A       291 A   
  45.00 keV   1.499E+00  6.206E-01    1550 A       381 A       319 A   
  50.00 keV   1.568E+00  5.876E-01    1712 A       406 A       345 A   
  55.00 keV   1.629E+00  5.586E-01    1872 A       430 A       371 A   
  60.00 keV   1.684E+00  5.327E-01    2030 A       453 A       396 A   
  65.00 keV   1.734E+00  5.095E-01    2188 A       474 A       420 A   
  70.00 keV   1.779E+00  4.885E-01    2344 A       495 A       443 A   
  80.00 keV   1.860E+00  4.520E-01    2653 A       534 A       487 A   
  90.00 keV   1.930E+00  4.214E-01    2959 A       570 A       529 A   
 100.00 keV   1.994E+00  3.951E-01    3261 A       603 A       569 A   
 110.00 keV   2.053E+00  3.724E-01    3559 A       634 A       607 A   
 120.00 keV   2.110E+00  3.525E-01    3854 A       663 A       644 A   
 130.00 keV   2.164E+00  3.349E-01    4146 A       690 A       679 A   
 140.00 keV   2.216E+00  3.192E-01    4435 A       716 A       712 A   
 150.00 keV   2.267E+00  3.051E-01    4720 A       740 A       744 A   
 160.00 keV   2.318E+00  2.923E-01    5001 A       763 A       775 A   
 170.00 keV   2.368E+00  2.808E-01    5279 A       784 A       805 A   
 180.00 keV   2.418E+00  2.702E-01    5553 A       805 A       834 A   
 200.00 keV   2.517E+00  2.515E-01    6092 A       845 A       889 A   
 225.00 keV   2.642E+00  2.319E-01    6744 A       890 A       952 A   
 250.00 keV   2.770E+00  2.154E-01    7375 A       930 A      1011 A   
 275.00 keV   2.898E+00  2.014E-01    7983 A       966 A      1065 A   
 300.00 keV   3.028E+00  1.893E-01    8571 A       998 A      1114 A   
 325.00 keV   3.158E+00  1.787E-01    9138 A      1027 A      1160 A   
 350.00 keV   3.287E+00  1.693E-01    9687 A      1053 A      1203 A   
 375.00 keV   3.415E+00  1.610E-01    1.02 um     1077 A      1243 A   
 400.00 keV   3.541E+00  1.536E-01    1.07 um     1098 A      1280 A   
 450.00 keV   3.788E+00  1.407E-01    1.17 um     1140 A      1348 A   
 500.00 keV   4.026E+00  1.301E-01    1.26 um     1176 A      1407 A   
 550.00 keV   4.254E+00  1.211E-01    1.35 um     1207 A      1460 A   
 600.00 keV   4.473E+00  1.134E-01    1.44 um     1234 A      1508 A   
 650.00 keV   4.682E+00  1.066E-01    1.52 um     1258 A      1551 A   
 700.00 keV   4.883E+00  1.008E-01    1.59 um     1280 A      1590 A   
 800.00 keV   5.262E+00  9.088E-02    1.74 um     1325 A      1659 A   
 900.00 keV   5.612E+00  8.292E-02    1.88 um     1362 A      1718 A   
   1.00 MeV   5.938E+00  7.635E-02    2.01 um     1393 A      1770 A   
