 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- C- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   7.518E-01  1.309E+00     396 A       135 A        99 A   
  13.00 keV   7.825E-01  1.285E+00     427 A       144 A       105 A   
  14.00 keV   8.120E-01  1.262E+00     458 A       152 A       112 A   
  15.00 keV   8.406E-01  1.239E+00     489 A       160 A       118 A   
  16.00 keV   8.681E-01  1.218E+00     520 A       169 A       125 A   
  17.00 keV   8.948E-01  1.197E+00     551 A       177 A       131 A   
  18.00 keV   9.208E-01  1.177E+00     582 A       184 A       137 A   
  20.00 keV   9.706E-01  1.138E+00     644 A       200 A       149 A   
  22.50 keV   1.029E+00  1.094E+00     722 A       218 A       164 A   
  25.00 keV   1.085E+00  1.054E+00     799 A       236 A       179 A   
  27.50 keV   1.138E+00  1.017E+00     877 A       253 A       194 A   
  30.00 keV   1.189E+00  9.826E-01     954 A       270 A       208 A   
  32.50 keV   1.233E+00  9.510E-01    1031 A       286 A       222 A   
  35.00 keV   1.259E+00  9.216E-01    1108 A       301 A       236 A   
  37.50 keV   1.285E+00  8.944E-01    1186 A       316 A       250 A   
  40.00 keV   1.312E+00  8.689E-01    1264 A       331 A       264 A   
  45.00 keV   1.366E+00  8.229E-01    1421 A       360 A       290 A   
  50.00 keV   1.419E+00  7.822E-01    1577 A       388 A       316 A   
  55.00 keV   1.470E+00  7.460E-01    1734 A       414 A       342 A   
  60.00 keV   1.521E+00  7.136E-01    1889 A       440 A       367 A   
  65.00 keV   1.570E+00  6.843E-01    2045 A       464 A       392 A   
  70.00 keV   1.617E+00  6.577E-01    2199 A       487 A       416 A   
  80.00 keV   1.707E+00  6.111E-01    2505 A       531 A       462 A   
  90.00 keV   1.791E+00  5.716E-01    2807 A       571 A       507 A   
 100.00 keV   1.870E+00  5.376E-01    3105 A       608 A       550 A   
 110.00 keV   1.945E+00  5.080E-01    3398 A       643 A       590 A   
 120.00 keV   2.015E+00  4.820E-01    3687 A       675 A       629 A   
