 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Hydrogen in  H- C- O

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  11.00 keV   4.778E-01  7.139E-03    2081 A       507 A       537 A   
  12.00 keV   4.969E-01  6.713E-03    2222 A       520 A       557 A   
  13.00 keV   5.149E-01  6.341E-03    2360 A       531 A       574 A   
  14.00 keV   5.319E-01  6.013E-03    2494 A       541 A       591 A   
  15.00 keV   5.480E-01  5.720E-03    2624 A       551 A       607 A   
  16.00 keV   5.633E-01  5.458E-03    2752 A       559 A       622 A   
  17.00 keV   5.779E-01  5.221E-03    2877 A       567 A       635 A   
  18.00 keV   5.917E-01  5.006E-03    2999 A       575 A       649 A   
  20.00 keV   6.174E-01  4.631E-03    3237 A       589 A       673 A   
  22.50 keV   6.464E-01  4.240E-03    3523 A       605 A       700 A   
  25.00 keV   6.721E-01  3.917E-03    3799 A       618 A       725 A   
  27.50 keV   6.951E-01  3.643E-03    4066 A       631 A       748 A   
  30.00 keV   7.157E-01  3.409E-03    4326 A       642 A       769 A   
  32.50 keV   7.342E-01  3.206E-03    4580 A       652 A       788 A   
  35.00 keV   7.508E-01  3.027E-03    4829 A       661 A       806 A   
  37.50 keV   7.656E-01  2.870E-03    5073 A       669 A       823 A   
  40.00 keV   7.789E-01  2.729E-03    5313 A       677 A       839 A   
  45.00 keV   8.013E-01  2.489E-03    5783 A       694 A       869 A   
  50.00 keV   8.188E-01  2.290E-03    6244 A       708 A       896 A   
  55.00 keV   8.322E-01  2.124E-03    6697 A       721 A       921 A   
  60.00 keV   8.419E-01  1.982E-03    7144 A       734 A       945 A   
  65.00 keV   8.485E-01  1.859E-03    7588 A       745 A       968 A   
  70.00 keV   8.523E-01  1.751E-03    8030 A       756 A       989 A   
  80.00 keV   8.531E-01  1.573E-03    8912 A       781 A      1030 A   
  90.00 keV   8.468E-01  1.429E-03    9799 A       805 A      1068 A   
 100.00 keV   8.354E-01  1.312E-03    1.07 um      828 A      1105 A   
 110.00 keV   8.205E-01  1.213E-03    1.16 um      851 A      1141 A   
 120.00 keV   8.033E-01  1.130E-03    1.25 um      873 A      1176 A   
 130.00 keV   7.849E-01  1.057E-03    1.35 um      895 A      1211 A   
 140.00 keV   7.657E-01  9.946E-04    1.45 um      918 A      1246 A   
 150.00 keV   7.465E-01  9.394E-04    1.55 um      940 A      1282 A   
 160.00 keV   7.273E-01  8.904E-04    1.65 um      963 A      1317 A   
 170.00 keV   7.086E-01  8.466E-04    1.76 um      987 A      1353 A   
 180.00 keV   6.904E-01  8.071E-04    1.86 um     1010 A      1390 A   
 200.00 keV   6.560E-01  7.391E-04    2.09 um     1083 A      1465 A   
 225.00 keV   6.170E-01  6.695E-04    2.39 um     1191 A      1562 A   
 250.00 keV   5.823E-01  6.127E-04    2.70 um     1301 A      1665 A   
 275.00 keV   5.515E-01  5.653E-04    3.04 um     1414 A      1773 A   
 300.00 keV   5.241E-01  5.251E-04    3.39 um     1530 A      1887 A   
 325.00 keV   4.996E-01  4.906E-04    3.76 um     1649 A      2006 A   
 350.00 keV   4.777E-01  4.607E-04    4.15 um     1770 A      2131 A   
 375.00 keV   4.579E-01  4.344E-04    4.56 um     1894 A      2262 A   
 400.00 keV   4.400E-01  4.111E-04    4.98 um     2020 A      2398 A   
 450.00 keV   4.089E-01  3.717E-04    5.88 um     2447 A      2687 A   
 500.00 keV   3.826E-01  3.396E-04    6.84 um     2863 A      2996 A   
 550.00 keV   3.601E-01  3.128E-04    7.87 um     3274 A      3326 A   
 600.00 keV   3.407E-01  2.902E-04    8.95 um     3684 A      3675 A   
 650.00 keV   3.237E-01  2.709E-04   10.10 um     4093 A      4042 A   
 700.00 keV   3.087E-01  2.540E-04   11.30 um     4505 A      4426 A   
 800.00 keV   2.833E-01  2.263E-04   13.87 um     5921 A      5246 A   
 900.00 keV   2.628E-01  2.043E-04   16.66 um     7246 A      6129 A   
