 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Lithium in  H- C- O

 Ion = Lithium [3] , Mass = 7.016 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   3.75 keV   2.144E-01  3.439E-01     363 A       168 A       123 A   
   4.00 keV   2.215E-01  3.371E-01     388 A       178 A       130 A   
   4.50 keV   2.349E-01  3.244E-01     439 A       196 A       145 A   
   5.00 keV   2.476E-01  3.127E-01     489 A       215 A       159 A   
   5.50 keV   2.597E-01  3.019E-01     540 A       232 A       174 A   
   6.00 keV   2.713E-01  2.919E-01     592 A       250 A       188 A   
   6.50 keV   2.823E-01  2.827E-01     643 A       267 A       202 A   
   7.00 keV   2.930E-01  2.742E-01     695 A       283 A       216 A   
   8.00 keV   3.132E-01  2.588E-01     799 A       315 A       244 A   
   9.00 keV   3.322E-01  2.453E-01     904 A       346 A       272 A   
  10.00 keV   3.502E-01  2.334E-01    1008 A       375 A       299 A   
  11.00 keV   3.673E-01  2.228E-01    1113 A       403 A       325 A   
  12.00 keV   3.836E-01  2.133E-01    1217 A       430 A       351 A   
  13.00 keV   3.993E-01  2.046E-01    1321 A       456 A       376 A   
  14.00 keV   4.144E-01  1.968E-01    1424 A       481 A       401 A   
  15.00 keV   4.284E-01  1.896E-01    1527 A       505 A       425 A   
  16.00 keV   4.421E-01  1.831E-01    1629 A       528 A       448 A   
  17.00 keV   4.554E-01  1.770E-01    1731 A       550 A       472 A   
  18.00 keV   4.683E-01  1.714E-01    1832 A       571 A       494 A   
  20.00 keV   4.932E-01  1.613E-01    2032 A       611 A       538 A   
  22.50 keV   5.229E-01  1.505E-01    2279 A       658 A       590 A   
  25.00 keV   5.511E-01  1.413E-01    2521 A       701 A       639 A   
  27.50 keV   5.782E-01  1.333E-01    2759 A       741 A       686 A   
  30.00 keV   6.042E-01  1.262E-01    2993 A       778 A       730 A   
  32.50 keV   6.294E-01  1.200E-01    3222 A       812 A       772 A   
  35.00 keV   6.537E-01  1.144E-01    3446 A       844 A       812 A   
  37.50 keV   6.773E-01  1.094E-01    3667 A       873 A       850 A   
  40.00 keV   7.003E-01  1.049E-01    3883 A       901 A       887 A   
  45.00 keV   7.445E-01  9.702E-02    4305 A       953 A       955 A   
  50.00 keV   7.867E-01  9.037E-02    4712 A       998 A      1018 A   
  55.00 keV   8.271E-01  8.468E-02    5106 A      1039 A      1075 A   
  60.00 keV   8.659E-01  7.974E-02    5487 A      1076 A      1129 A   
  65.00 keV   9.031E-01  7.542E-02    5858 A      1110 A      1179 A   
  70.00 keV   9.391E-01  7.159E-02    6217 A      1140 A      1225 A   
  80.00 keV   1.007E+00  6.510E-02    6908 A      1196 A      1310 A   
  90.00 keV   1.071E+00  5.981E-02    7566 A      1243 A      1384 A   
 100.00 keV   1.130E+00  5.539E-02    8195 A      1285 A      1451 A   
 110.00 keV   1.186E+00  5.165E-02    8799 A      1321 A      1512 A   
 120.00 keV   1.238E+00  4.842E-02    9381 A      1353 A      1567 A   
 130.00 keV   1.289E+00  4.562E-02    9942 A      1382 A      1618 A   
 140.00 keV   1.337E+00  4.315E-02    1.05 um     1409 A      1665 A   
 150.00 keV   1.385E+00  4.096E-02    1.10 um     1432 A      1708 A   
 160.00 keV   1.431E+00  3.901E-02    1.15 um     1454 A      1749 A   
 170.00 keV   1.477E+00  3.725E-02    1.20 um     1474 A      1786 A   
 180.00 keV   1.522E+00  3.566E-02    1.25 um     1493 A      1822 A   
 200.00 keV   1.611E+00  3.288E-02    1.34 um     1528 A      1886 A   
 225.00 keV   1.720E+00  3.001E-02    1.45 um     1568 A      1956 A   
 250.00 keV   1.827E+00  2.765E-02    1.56 um     1601 A      2018 A   
 275.00 keV   1.930E+00  2.566E-02    1.66 um     1630 A      2072 A   
 300.00 keV   2.031E+00  2.395E-02    1.75 um     1655 A      2120 A   
 325.00 keV   2.128E+00  2.248E-02    1.84 um     1677 A      2164 A   
 350.00 keV   2.222E+00  2.120E-02    1.93 um     1696 A      2203 A   
 375.00 keV   2.312E+00  2.006E-02    2.01 um     1714 A      2239 A   
 400.00 keV   2.399E+00  1.905E-02    2.09 um     1730 A      2271 A   
 450.00 keV   2.560E+00  1.733E-02    2.24 um     1764 A      2329 A   
 500.00 keV   2.708E+00  1.591E-02    2.38 um     1792 A      2380 A   
 550.00 keV   2.841E+00  1.473E-02    2.52 um     1818 A      2424 A   
 600.00 keV   2.960E+00  1.372E-02    2.65 um     1840 A      2463 A   
 650.00 keV   3.068E+00  1.285E-02    2.77 um     1860 A      2498 A   
 700.00 keV   3.163E+00  1.209E-02    2.89 um     1878 A      2530 A   
 800.00 keV   3.324E+00  1.083E-02    3.13 um     1924 A      2587 A   
 900.00 keV   3.450E+00  9.823E-03    3.35 um     1965 A      2636 A   
   1.00 MeV   3.547E+00  8.999E-03    3.57 um     2001 A      2679 A   
   1.10 MeV   3.619E+00  8.312E-03    3.78 um     2035 A      2719 A   
   1.20 MeV   3.672E+00  7.728E-03    3.99 um     2066 A      2755 A   
   1.30 MeV   3.708E+00  7.226E-03    4.19 um     2096 A      2788 A   
   1.40 MeV   3.731E+00  6.790E-03    4.40 um     2125 A      2820 A   
   1.50 MeV   3.743E+00  6.406E-03    4.60 um     2152 A      2850 A   
   1.60 MeV   3.745E+00  6.066E-03    4.81 um     2179 A      2878 A   
   1.70 MeV   3.740E+00  5.763E-03    5.01 um     2206 A      2905 A   
   1.80 MeV   3.728E+00  5.491E-03    5.21 um     2232 A      2932 A   
   2.00 MeV   3.690E+00  5.021E-03    5.62 um     2319 A      2982 A   
   2.25 MeV   3.625E+00  4.541E-03    6.14 um     2449 A      3043 A   
   2.50 MeV   3.546E+00  4.150E-03    6.67 um     2576 A      3101 A   
   2.75 MeV   3.460E+00  3.825E-03    7.22 um     2702 A      3157 A   
   3.00 MeV   3.371E+00  3.550E-03    7.78 um     2828 A      3214 A   
   3.25 MeV   3.281E+00  3.314E-03    8.35 um     2955 A      3270 A   
   3.50 MeV   3.192E+00  3.109E-03    8.94 um     3083 A      3326 A   
   3.75 MeV   3.104E+00  2.929E-03    9.54 um     3213 A      3382 A   
   4.00 MeV   3.019E+00  2.770E-03   10.17 um     3344 A      3440 A   
   4.50 MeV   2.857E+00  2.501E-03   11.46 um     3839 A      3558 A   
   5.00 MeV   2.707E+00  2.283E-03   12.84 um     4324 A      3681 A   
   5.50 MeV   2.570E+00  2.101E-03   14.28 um     4806 A      3810 A   
   6.00 MeV   2.446E+00  1.948E-03   15.80 um     5289 A      3945 A   
   6.50 MeV   2.333E+00  1.816E-03   17.40 um     5774 A      4088 A   
   7.00 MeV   2.230E+00  1.702E-03   19.07 um     6264 A      4238 A   
   8.00 MeV   2.050E+00  1.515E-03   22.64 um     8086 A      4562 A   
   9.00 MeV   1.900E+00  1.366E-03   26.50 um     9803 A      4918 A   
  10.00 MeV   1.773E+00  1.245E-03   30.66 um     1.15 um     5308 A   
  11.00 MeV   1.664E+00  1.145E-03   35.10 um     1.31 um     5730 A   
  12.00 MeV   1.570E+00  1.060E-03   39.82 um     1.48 um     6183 A   
  13.00 MeV   1.487E+00  9.878E-04   44.81 um     1.64 um     6668 A   
  14.00 MeV   1.414E+00  9.252E-04   50.07 um     1.81 um     7183 A   
  15.00 MeV   1.358E+00  8.703E-04   55.58 um     1.97 um     7725 A   
  16.00 MeV   1.302E+00  8.220E-04   61.31 um     2.14 um     8293 A   
  17.00 MeV   1.246E+00  7.789E-04   67.30 um     2.31 um     8888 A   
  18.00 MeV   1.191E+00  7.404E-04   73.56 um     2.48 um     9510 A   
  20.00 MeV   1.097E+00  6.742E-04   86.91 um     3.12 um     1.08 um  
  22.50 MeV   9.997E-01  6.071E-04  105.13 um     4.06 um     1.27 um  
  25.00 MeV   9.200E-01  5.526E-04  125.03 um     4.96 um     1.47 um  
  27.50 MeV   8.532E-01  5.076E-04  146.56 um     5.83 um     1.68 um  
  30.00 MeV   7.963E-01  4.696E-04  169.70 um     6.70 um     1.91 um  
  32.50 MeV   7.472E-01  4.371E-04  194.44 um     7.58 um     2.16 um  
  35.00 MeV   7.043E-01  4.091E-04  220.73 um     8.46 um     2.42 um  
  37.50 MeV   6.665E-01  3.845E-04  248.58 um     9.35 um     2.70 um  
  40.00 MeV   6.330E-01  3.629E-04  277.94 um    10.25 um     2.99 um  
  45.00 MeV   5.759E-01  3.265E-04  341.15 um    13.64 um     3.62 um  
  50.00 MeV   5.290E-01  2.969E-04  410.28 um    16.82 um     4.31 um  
  55.00 MeV   4.898E-01  2.725E-04  485.25 um    19.93 um     5.05 um  
  60.00 MeV   4.565E-01  2.520E-04  565.95 um    23.01 um     5.84 um  
  65.00 MeV   4.278E-01  2.344E-04  652.29 um    26.10 um     6.69 um  
  70.00 MeV   4.027E-01  2.192E-04  744.22 um    29.21 um     7.59 um  
  80.00 MeV   3.612E-01  1.943E-04  944.32 um    40.77 um     9.54 um  
  90.00 MeV   3.281E-01  1.747E-04    1.17 mm    51.54 um    11.70 um  
 100.00 MeV   3.010E-01  1.588E-04    1.41 mm    62.05 um    14.05 um  
 110.00 MeV   2.784E-01  1.456E-04    1.67 mm    72.52 um    16.59 um  
 120.00 MeV   2.593E-01  1.346E-04    1.96 mm    83.04 um    19.32 um  
 130.00 MeV   2.428E-01  1.251E-04    2.26 mm    93.66 um    22.23 um  
 140.00 MeV   2.285E-01  1.170E-04    2.58 mm   104.43 um    25.32 um  
 150.00 MeV   2.159E-01  1.099E-04    2.93 mm   115.35 um    28.59 um  
 160.00 MeV   2.048E-01  1.036E-04    3.29 mm   126.43 um    32.03 um  
 170.00 MeV   1.949E-01  9.802E-05    3.67 mm   137.68 um    35.65 um  
 180.00 MeV   1.860E-01  9.305E-05    4.07 mm   149.10 um    39.43 um  
 200.00 MeV   1.707E-01  8.453E-05    4.93 mm   192.52 um    47.50 um  
 225.00 MeV   1.551E-01  7.591E-05    6.10 mm   254.64 um    58.51 um  
 250.00 MeV   1.423E-01  6.894E-05    7.39 mm   313.32 um    70.50 um  
 275.00 MeV   1.318E-01  6.319E-05    8.78 mm   370.70 um    83.46 um  
 300.00 MeV   1.228E-01  5.835E-05   10.28 mm   427.70 um    97.34 um  
 325.00 MeV   1.152E-01  5.423E-05   11.88 mm   484.79 um   112.13 um  
 350.00 MeV   1.086E-01  5.067E-05   13.59 mm   542.23 um   127.81 um  
 375.00 MeV   1.028E-01  4.757E-05   15.40 mm   600.15 um   144.35 um  
 400.00 MeV   9.763E-02  4.483E-05   17.30 mm   658.66 um   161.73 um  
 450.00 MeV   8.898E-02  4.024E-05   21.40 mm   878.63 um   198.97 um  
 500.00 MeV   8.195E-02  3.653E-05   25.87 mm     1.08 mm   239.36 um  
 550.00 MeV   7.613E-02  3.346E-05   30.70 mm     1.28 mm   282.77 um  
 600.00 MeV   7.122E-02  3.089E-05   35.88 mm     1.48 mm   329.07 um  
 650.00 MeV   6.703E-02  2.870E-05   41.40 mm     1.68 mm   378.16 um  
 700.00 MeV   6.340E-02  2.680E-05   47.26 mm     1.87 mm   429.91 um  
 800.00 MeV   5.744E-02  2.370E-05   59.91 mm     2.59 mm   541.07 um  
 900.00 MeV   5.274E-02  2.126E-05   73.77 mm     3.25 mm   661.78 um  
   1.00 GeV   4.894E-02  1.929E-05   88.80 mm     3.89 mm   791.34 um  
   1.10 GeV   4.580E-02  1.766E-05  104.92 mm     4.51 mm   929.14 um  
   1.20 GeV   4.317E-02  1.630E-05  122.08 mm     5.13 mm     1.07 mm  
   1.30 GeV   4.093E-02  1.514E-05  140.24 mm     5.74 mm     1.23 mm  
   1.40 GeV   3.899E-02  1.413E-05  159.35 mm     6.35 mm     1.39 mm  
   1.50 GeV   3.731E-02  1.326E-05  179.36 mm     6.96 mm     1.55 mm  
   1.60 GeV   3.583E-02  1.249E-05  200.23 mm     7.57 mm     1.72 mm  
   1.70 GeV   3.452E-02  1.181E-05  221.93 mm     8.17 mm     1.90 mm  
   1.80 GeV   3.335E-02  1.120E-05  244.43 mm     8.78 mm     2.08 mm  
   2.00 GeV   3.137E-02  1.016E-05  291.62 mm    11.04 mm     2.46 mm  
   2.25 GeV   2.938E-02  9.107E-06  354.49 mm    14.19 mm     2.96 mm  
   2.50 GeV   2.778E-02  8.259E-06  421.29 mm    17.06 mm     3.47 mm  
   2.75 GeV   2.648E-02  7.559E-06  491.64 mm    19.77 mm     4.01 mm  
   3.00 GeV   2.540E-02  6.972E-06  565.21 mm    22.35 mm     4.56 mm  
   3.25 GeV   2.450E-02  6.472E-06  641.70 mm    24.85 mm     5.12 mm  
   3.50 GeV   2.372E-02  6.041E-06  720.85 mm    27.27 mm     5.70 mm  
   3.75 GeV   2.306E-02  5.666E-06  802.43 mm    29.63 mm     6.28 mm  
   4.00 GeV   2.248E-02  5.336E-06  886.23 mm    31.93 mm     6.87 mm  
   4.50 GeV   2.154E-02  4.781E-06    1.06 m     40.29 mm     8.07 mm  
   5.00 GeV   2.080E-02  4.334E-06    1.24 m     47.71 mm     9.28 mm  
   5.50 GeV   2.022E-02  3.966E-06    1.43 m     54.52 mm    10.50 mm  
   6.00 GeV   1.974E-02  3.657E-06    1.62 m     60.88 mm    11.72 mm  
   6.50 GeV   1.935E-02  3.394E-06    1.81 m     66.87 mm    12.94 mm  
   7.00 GeV   1.903E-02  3.167E-06    2.01 m     72.57 mm    14.15 mm  
   8.00 GeV   1.854E-02  2.796E-06    2.42 m     92.61 mm    16.54 mm  
   9.00 GeV   1.820E-02  2.505E-06    2.83 m    109.73 mm    18.89 mm  
  10.00 GeV   1.795E-02  2.270E-06    3.26 m    124.97 mm    21.19 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  5.4065E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
