 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O

 Ion = Boron [5] , Mass = 11.009 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   4.909E-01  6.446E-01     844 A       303 A       223 A   
  13.00 keV   5.110E-01  6.258E-01     916 A       324 A       239 A   
  14.00 keV   5.303E-01  6.082E-01     988 A       344 A       256 A   
  15.00 keV   5.489E-01  5.917E-01    1061 A       363 A       272 A   
  16.00 keV   5.669E-01  5.762E-01    1133 A       383 A       289 A   
  17.00 keV   5.843E-01  5.617E-01    1206 A       401 A       305 A   
  18.00 keV   6.013E-01  5.480E-01    1279 A       420 A       321 A   
  20.00 keV   6.338E-01  5.228E-01    1426 A       456 A       353 A   
  22.50 keV   6.718E-01  4.950E-01    1608 A       499 A       392 A   
  25.00 keV   7.086E-01  4.704E-01    1791 A       540 A       430 A   
  27.50 keV   7.460E-01  4.485E-01    1972 A       578 A       467 A   
  30.00 keV   7.824E-01  4.289E-01    2152 A       615 A       504 A   
  32.50 keV   8.170E-01  4.113E-01    2331 A       650 A       539 A   
  35.00 keV   8.494E-01  3.952E-01    2508 A       684 A       574 A   
  37.50 keV   8.798E-01  3.806E-01    2684 A       716 A       608 A   
  40.00 keV   9.082E-01  3.672E-01    2858 A       746 A       641 A   
  45.00 keV   9.596E-01  3.434E-01    3204 A       804 A       704 A   
  50.00 keV   1.005E+00  3.229E-01    3545 A       858 A       765 A   
  55.00 keV   1.046E+00  3.051E-01    3881 A       908 A       823 A   
  60.00 keV   1.083E+00  2.894E-01    4215 A       955 A       878 A   
  65.00 keV   1.118E+00  2.755E-01    4545 A      1000 A       931 A   
  70.00 keV   1.150E+00  2.630E-01    4871 A      1042 A       983 A   
  80.00 keV   1.210E+00  2.416E-01    5515 A      1121 A      1080 A   
  90.00 keV   1.266E+00  2.239E-01    6146 A      1193 A      1171 A   
 100.00 keV   1.318E+00  2.088E-01    6765 A      1259 A      1256 A   
 110.00 keV   1.369E+00  1.959E-01    7372 A      1319 A      1336 A   
 120.00 keV   1.418E+00  1.847E-01    7967 A      1374 A      1412 A   
 130.00 keV   1.467E+00  1.749E-01    8550 A      1425 A      1484 A   
 140.00 keV   1.514E+00  1.661E-01    9121 A      1473 A      1552 A   
 150.00 keV   1.562E+00  1.583E-01    9681 A      1517 A      1616 A   
 160.00 keV   1.608E+00  1.513E-01    1.02 um     1558 A      1678 A   
 170.00 keV   1.654E+00  1.450E-01    1.08 um     1596 A      1736 A   
