 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Januar 12, 2026 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- C- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  12.00 keV   4.459E-01  7.303E-02    1643 A       525 A       485 A   
  13.00 keV   4.644E-01  6.957E-02    1766 A       548 A       511 A   
  14.00 keV   4.822E-01  6.646E-02    1887 A       568 A       536 A   
  15.00 keV   4.994E-01  6.366E-02    2005 A       588 A       560 A   
  16.00 keV   5.161E-01  6.112E-02    2121 A       606 A       583 A   
  17.00 keV   5.322E-01  5.880E-02    2235 A       623 A       604 A   
  18.00 keV   5.479E-01  5.668E-02    2347 A       639 A       625 A   
  20.00 keV   5.779E-01  5.291E-02    2566 A       669 A       664 A   
  22.50 keV   6.133E-01  4.894E-02    2830 A       702 A       709 A   
  25.00 keV   6.466E-01  4.559E-02    3085 A       731 A       749 A   
  27.50 keV   6.780E-01  4.273E-02    3331 A       758 A       787 A   
  30.00 keV   7.077E-01  4.024E-02    3570 A       781 A       821 A   
  32.50 keV   7.358E-01  3.806E-02    3802 A       803 A       853 A   
  35.00 keV   7.624E-01  3.613E-02    4027 A       822 A       883 A   
  37.50 keV   7.877E-01  3.441E-02    4247 A       840 A       911 A   
  40.00 keV   8.118E-01  3.286E-02    4462 A       857 A       938 A   
  45.00 keV   8.567E-01  3.019E-02    4877 A       888 A       986 A   
  50.00 keV   8.980E-01  2.796E-02    5276 A       915 A      1030 A   
  55.00 keV   9.365E-01  2.608E-02    5661 A       938 A      1069 A   
  60.00 keV   9.729E-01  2.445E-02    6034 A       960 A      1106 A   
  65.00 keV   1.008E+00  2.304E-02    6395 A       979 A      1139 A   
  70.00 keV   1.041E+00  2.179E-02    6747 A       996 A      1170 A   
  80.00 keV   1.105E+00  1.970E-02    7422 A      1029 A      1226 A   
  90.00 keV   1.165E+00  1.801E-02    8064 A      1057 A      1276 A   
 100.00 keV   1.223E+00  1.661E-02    8678 A      1081 A      1320 A   
 110.00 keV   1.277E+00  1.543E-02    9267 A      1102 A      1359 A   
 120.00 keV   1.330E+00  1.442E-02    9833 A      1121 A      1395 A   
 130.00 keV   1.379E+00  1.355E-02    1.04 um     1138 A      1427 A   
 140.00 keV   1.426E+00  1.278E-02    1.09 um     1153 A      1458 A   
 150.00 keV   1.471E+00  1.210E-02    1.14 um     1167 A      1485 A   
 160.00 keV   1.514E+00  1.150E-02    1.19 um     1180 A      1511 A   
 170.00 keV   1.554E+00  1.096E-02    1.24 um     1192 A      1535 A   
 180.00 keV   1.593E+00  1.047E-02    1.29 um     1203 A      1558 A   
 200.00 keV   1.664E+00  9.627E-03    1.38 um     1226 A      1599 A   
 225.00 keV   1.744E+00  8.757E-03    1.49 um     1253 A      1645 A   
 250.00 keV   1.815E+00  8.042E-03    1.60 um     1276 A      1685 A   
 275.00 keV   1.877E+00  7.444E-03    1.70 um     1297 A      1722 A   
 300.00 keV   1.932E+00  6.934E-03    1.80 um     1317 A      1755 A   
 325.00 keV   1.980E+00  6.495E-03    1.89 um     1334 A      1786 A   
 350.00 keV   2.022E+00  6.112E-03    1.99 um     1350 A      1814 A   
 375.00 keV   2.057E+00  5.774E-03    2.08 um     1366 A      1841 A   
 400.00 keV   2.088E+00  5.475E-03    2.17 um     1380 A      1866 A   
 450.00 keV   2.135E+00  4.967E-03    2.35 um     1418 A      1912 A   
 500.00 keV   2.167E+00  4.550E-03    2.53 um     1453 A      1954 A   
 550.00 keV   2.186E+00  4.203E-03    2.70 um     1485 A      1993 A   
 600.00 keV   2.193E+00  3.908E-03    2.88 um     1517 A      2029 A   
 650.00 keV   2.193E+00  3.654E-03    3.05 um     1547 A      2064 A   
 700.00 keV   2.185E+00  3.434E-03    3.22 um     1576 A      2097 A   
 800.00 keV   2.154E+00  3.068E-03    3.57 um     1670 A      2161 A   
 900.00 keV   2.110E+00  2.777E-03    3.93 um     1761 A      2222 A   
   1.00 MeV   2.058E+00  2.539E-03    4.30 um     1851 A      2281 A   
   1.10 MeV   2.003E+00  2.342E-03    4.67 um     1941 A      2339 A   
   1.20 MeV   1.947E+00  2.174E-03    5.06 um     2031 A      2398 A   
   1.30 MeV   1.892E+00  2.030E-03    5.45 um     2122 A      2456 A   
   1.40 MeV   1.837E+00  1.905E-03    5.86 um     2214 A      2515 A   
   1.50 MeV   1.785E+00  1.796E-03    6.28 um     2307 A      2575 A   
   1.60 MeV   1.735E+00  1.699E-03    6.71 um     2401 A      2635 A   
   1.70 MeV   1.687E+00  1.612E-03    7.16 um     2497 A      2697 A   
   1.80 MeV   1.641E+00  1.535E-03    7.62 um     2595 A      2760 A   
   2.00 MeV   1.556E+00  1.401E-03    8.57 um     2953 A      2890 A   
   2.25 MeV   1.461E+00  1.266E-03    9.84 um     3485 A      3062 A   
   2.50 MeV   1.376E+00  1.155E-03   11.18 um     4002 A      3244 A   
   2.75 MeV   1.301E+00  1.063E-03   12.61 um     4514 A      3437 A   
   3.00 MeV   1.233E+00  9.856E-04   14.11 um     5024 A      3641 A   
   3.25 MeV   1.173E+00  9.191E-04   15.70 um     5535 A      3857 A   
   3.50 MeV   1.118E+00  8.615E-04   17.36 um     6050 A      4085 A   
   3.75 MeV   1.069E+00  8.110E-04   19.10 um     6569 A      4325 A   
   4.00 MeV   1.024E+00  7.665E-04   20.93 um     7093 A      4576 A   
   4.50 MeV   9.448E-01  6.912E-04   24.80 um     9034 A      5115 A   
   5.00 MeV   8.779E-01  6.301E-04   28.99 um     1.09 um     5700 A   
   5.50 MeV   8.205E-01  5.794E-04   33.48 um     1.27 um     6330 A   
   6.00 MeV   7.706E-01  5.366E-04   38.28 um     1.44 um     7005 A   
   6.50 MeV   7.269E-01  4.999E-04   43.38 um     1.62 um     7723 A   
   7.00 MeV   6.882E-01  4.682E-04   48.77 um     1.80 um     8484 A   
   8.00 MeV   6.228E-01  4.160E-04   60.42 um     2.45 um     1.01 um  
   9.00 MeV   5.785E-01  3.747E-04   73.13 um     3.06 um     1.19 um  
  10.00 MeV   5.348E-01  3.412E-04   86.85 um     3.64 um     1.39 um  
  11.00 MeV   4.967E-01  3.135E-04  101.65 um     4.21 um     1.59 um  
  12.00 MeV   4.641E-01  2.901E-04  117.54 um     4.79 um     1.81 um  
  13.00 MeV   4.360E-01  2.701E-04  134.50 um     5.38 um     2.05 um  
  14.00 MeV   4.115E-01  2.528E-04  152.51 um     5.97 um     2.30 um  
  15.00 MeV   3.898E-01  2.377E-04  171.56 um     6.57 um     2.56 um  
  16.00 MeV   3.705E-01  2.244E-04  191.63 um     7.18 um     2.84 um  
  17.00 MeV   3.532E-01  2.125E-04  212.72 um     7.80 um     3.13 um  
  18.00 MeV   3.376E-01  2.019E-04  234.81 um     8.43 um     3.43 um  
  20.00 MeV   3.105E-01  1.837E-04  281.94 um    10.80 um     4.07 um  
  22.50 MeV   2.827E-01  1.653E-04  346.32 um    14.18 um     4.95 um  
  25.00 MeV   2.599E-01  1.503E-04  416.68 um    17.39 um     5.90 um  
  27.50 MeV   2.408E-01  1.380E-04  492.92 um    20.53 um     6.92 um  
  30.00 MeV   2.245E-01  1.276E-04  574.96 um    23.65 um     8.02 um  
  32.50 MeV   2.105E-01  1.187E-04  662.70 um    26.79 um     9.19 um  
  35.00 MeV   1.983E-01  1.110E-04  756.07 um    29.95 um    10.44 um  
  37.50 MeV   1.875E-01  1.043E-04  855.00 um    33.15 um    11.75 um  
  40.00 MeV   1.779E-01  9.838E-05  959.43 um    36.39 um    13.13 um  
  45.00 MeV   1.617E-01  8.844E-05    1.18 mm    48.52 um    16.10 um  
  50.00 MeV   1.484E-01  8.039E-05    1.43 mm    59.92 um    19.33 um  
  55.00 MeV   1.373E-01  7.373E-05    1.70 mm    71.05 um    22.82 um  
  60.00 MeV   1.279E-01  6.813E-05    1.99 mm    82.12 um    26.57 um  
  65.00 MeV   1.198E-01  6.336E-05    2.29 mm    93.21 um    30.56 um  
  70.00 MeV   1.127E-01  5.923E-05    2.62 mm   104.39 um    34.80 um  
  80.00 MeV   1.011E-01  5.245E-05    3.34 mm   145.82 um    44.01 um  
  90.00 MeV   9.180E-02  4.712E-05    4.13 mm   184.41 um    54.16 um  
 100.00 MeV   8.423E-02  4.280E-05    5.00 mm   222.08 um    65.23 um  
 110.00 MeV   7.793E-02  3.924E-05    5.94 mm   259.58 um    77.18 um  
 120.00 MeV   7.260E-02  3.624E-05    6.95 mm   297.25 um    90.01 um  
 130.00 MeV   6.802E-02  3.368E-05    8.04 mm   335.30 um   103.69 um  
 140.00 MeV   6.406E-02  3.148E-05    9.20 mm   373.81 um   118.20 um  
 150.00 MeV   6.058E-02  2.955E-05   10.42 mm   412.84 um   133.52 um  
 160.00 MeV   5.750E-02  2.786E-05   11.71 mm   452.42 um   149.65 um  
 170.00 MeV   5.476E-02  2.635E-05   13.07 mm   492.56 um   166.56 um  
 180.00 MeV   5.231E-02  2.501E-05   14.50 mm   533.26 um   184.24 um  
 200.00 MeV   4.808E-02  2.270E-05   17.54 mm   687.27 um   221.87 um  
 225.00 MeV   4.379E-02  2.038E-05   21.70 mm   906.99 um   273.01 um  
 250.00 MeV   4.030E-02  1.850E-05   26.24 mm     1.11 mm   328.53 um  
 275.00 MeV   3.740E-02  1.695E-05   31.16 mm     1.32 mm   388.26 um  
 300.00 MeV   3.496E-02  1.564E-05   36.43 mm     1.52 mm   452.05 um  
 325.00 MeV   3.288E-02  1.453E-05   42.06 mm     1.71 mm   519.73 um  
 350.00 MeV   3.107E-02  1.357E-05   48.03 mm     1.91 mm   591.17 um  
 375.00 MeV   2.949E-02  1.274E-05   54.33 mm     2.12 mm   666.24 um  
 400.00 MeV   2.810E-02  1.200E-05   60.96 mm     2.32 mm   744.81 um  
 450.00 MeV   2.576E-02  1.077E-05   75.14 mm     3.07 mm   912.07 um  
 500.00 MeV   2.386E-02  9.770E-06   90.54 mm     3.77 mm     1.09 mm  
 550.00 MeV   2.229E-02  8.947E-06  107.08 mm     4.45 mm     1.28 mm  
 600.00 MeV   2.097E-02  8.256E-06  124.73 mm     5.11 mm     1.49 mm  
 650.00 MeV   1.985E-02  7.667E-06  143.44 mm     5.76 mm     1.70 mm  
 700.00 MeV   1.888E-02  7.159E-06  163.15 mm     6.41 mm     1.92 mm  
 800.00 MeV   1.729E-02  6.327E-06  205.39 mm     8.78 mm     2.40 mm  
 900.00 MeV   1.605E-02  5.673E-06  251.21 mm    10.93 mm     2.90 mm  
   1.00 GeV   1.505E-02  5.145E-06  300.33 mm    12.97 mm     3.44 mm  
   1.10 GeV   1.422E-02  4.710E-06  352.51 mm    14.94 mm     4.00 mm  
   1.20 GeV   1.354E-02  4.345E-06  407.51 mm    16.87 mm     4.58 mm  
   1.30 GeV   1.295E-02  4.034E-06  465.14 mm    18.75 mm     5.19 mm  
   1.40 GeV   1.246E-02  3.765E-06  525.22 mm    20.61 mm     5.81 mm  
   1.50 GeV   1.203E-02  3.532E-06  587.57 mm    22.44 mm     6.45 mm  
   1.60 GeV   1.165E-02  3.326E-06  652.05 mm    24.25 mm     7.10 mm  
   1.70 GeV   1.132E-02  3.144E-06  718.52 mm    26.03 mm     7.77 mm  
   1.80 GeV   1.102E-02  2.981E-06  786.84 mm    27.79 mm     8.44 mm  
   2.00 GeV   1.053E-02  2.703E-06  928.53 mm    34.31 mm     9.82 mm  
   2.25 GeV   1.004E-02  2.422E-06    1.11 m     43.25 mm    11.59 mm  
   2.50 GeV   9.656E-03  2.196E-06    1.31 m     51.26 mm    13.38 mm  
   2.75 GeV   9.348E-03  2.009E-06    1.51 m     58.65 mm    15.20 mm  
   3.00 GeV   9.098E-03  1.852E-06    1.72 m     65.60 mm    17.03 mm  
   3.25 GeV   8.891E-03  1.719E-06    1.93 m     72.19 mm    18.86 mm  
   3.50 GeV   8.719E-03  1.604E-06    2.14 m     78.48 mm    20.69 mm  
   3.75 GeV   8.574E-03  1.504E-06    2.37 m     84.51 mm    22.52 mm  
   4.00 GeV   8.452E-03  1.416E-06    2.59 m     90.31 mm    24.33 mm  
   4.50 GeV   8.259E-03  1.269E-06    3.05 m    111.12 mm    27.93 mm  
   5.00 GeV   8.116E-03  1.150E-06    3.51 m    129.29 mm    31.46 mm  
   5.50 GeV   8.010E-03  1.052E-06    3.99 m    145.67 mm    34.93 mm  
   6.00 GeV   7.930E-03  9.696E-07    4.46 m    160.72 mm    38.32 mm  
   6.50 GeV   7.869E-03  8.996E-07    4.95 m    174.72 mm    41.63 mm  
   7.00 GeV   7.825E-03  8.393E-07    5.43 m    187.84 mm    44.86 mm  
   8.00 GeV   7.768E-03  7.407E-07    6.41 m    233.47 mm    51.10 mm  
   9.00 GeV   7.740E-03  6.633E-07    7.40 m    271.93 mm    57.05 mm  
  10.00 GeV   7.732E-03  6.009E-07    8.38 m    305.74 mm    62.73 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  1.0623E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
